onset	duration	Trials	Runs	Cond_1_200_2_150_HasBeenChangedTo200_150	order_1_first_2_lastForThisIdPerson_	ProbR	ID_1_PlayerA_2_playerB_	AnsTimePAS1_rtStage1_playerA___3Seconds	AnsTimePBS1	PAChoS1_1Left_2Right_	PBChoS1	MissingPAS1_0None_	MissingPBS1	AnsTimePAS2	AnsTimePBS2	PAChoS2	PBChoS2	MissingPAS2	MissingPBS2	TriOn	DecEndS1	IsiOnS1	FbOnS1	DecEndS2	FbOffS2	TriEnd	Jitter	rwPA_rewardToPa_	rwPB	randa	randb
0.0018	23.0008	1	1	200	1	25	2	0	0	1	0	0	0	0	0.554	0	1	0	0	0.0018	3.0449	3.0449	17.1129	7.6312	17.1011	23.0026	6	100	100	0.5212	0.7195
23.1022	23.0011	2	1	150	1	30	2	0	0	1	0	0	0	0	0.6035	0	1	0	0	23.1022	26.1071	26.1072	40.1836	30.7511	40.1717	46.1033	6	0	150	0.1617	0.4387
46.1446	23.0001	3	1	200	2	10	2	0	1.6892	0	1	0	0	0	0	1	0	0	0	46.1446	47.8567	47.8732	63.2138	56.1807	63.2019	69.1447	6	0	0	0.7928	0.9833
69.1618	21.0001	4	1	150	2	20	2	0	2.1555	0	2	0	0	0	0	1	0	0	0	69.1618	71.3537	71.3702	86.2444	79.2103	86.2325	90.1619	4	150	0	0.5201	0.1161
90.1795	23.0001	5	1	200	1	75	2	0	0	2	0	0	0	0	0.6379	0	2	0	0	90.1795	93.1968	93.1968	107.2492	97.8645	107.2372	113.1796	6	100	100	0.3839	0.5962
113.1989	20.0001	6	1	150	1	85	2	0	0	2	0	0	0	0	0.756	0	2	0	0	113.1989	116.2157	116.2157	130.2532	120.9867	130.2412	133.199	3	0	150	0.8649	0.3192
133.2166	24.0001	7	1	200	2	65	2	0	1.8328	0	2	0	0	0	0	2	0	0	0	133.2166	135.0849	135.0909	150.285	143.2508	150.273	157.2167	7	0	0	0.1769	0.9851
157.236	25.0001	8	1	150	2	85	2	0	1.9689	0	2	0	0	0	0	1	0	0	0	157.236	159.238	159.2544	174.3152	167.2812	174.3032	182.2361	8	0	150	0.2606	0.4692
182.2534	23.0001	9	1	200	1	70	2	0	0	2	0	0	0	0	0.4898	0	2	0	0	182.2534	185.2694	185.2694	199.3183	189.7856	199.3063	205.2535	6	0	0	0.5623	0.7808
205.2709	23.0001	10	1	150	1	15	2	0	0	1	0	0	0	0	0.719	0	2	0	0	205.2709	208.286	208.286	222.3486	213.0319	222.3369	228.271	6	150	0	0.6078	0.4139
228.2898	23.0001	11	1	200	2	60	2	0	2.06	0	2	0	0	0	0	2	0	0	0	228.2898	230.3799	230.3853	245.3529	238.3188	245.3409	251.2899	6	100	100	0.8385	0.1088
251.3069	24.0001	12	1	150	2	20	2	0	1.9127	0	1	0	0	0	0	1	0	0	0	251.3069	253.2496	253.2556	268.3701	261.3361	268.3581	275.307	7	150	0	0.4622	0.5047
275.3263	24.0002	13	1	200	1	80	2	0	0	2	0	0	0	0	0.4101	0	2	0	0	275.3263	278.343	278.343	292.4003	282.7745	292.3883	299.3265	7	100	100	0.4586	0.2929
299.3443	21.0001	14	1	150	1	40	2	0	0	1	0	0	0	0	0.9148	0	2	0	0	299.3443	302.362	302.362	316.4038	307.296	316.3918	320.3444	4	150	0	0.0916	0.8384
320.3625	25.0001	15	1	200	2	30	2	0	1.8003	0	1	0	0	0	0	1	0	0	0	320.3625	322.1892	322.2012	337.4352	330.4013	337.4233	345.3626	8	100	100	0.1196	0.5065
345.3821	24.0001	16	1	150	2	10	2	0	1.702	0	2	0	0	0	0	2	0	0	0	345.3821	347.1205	347.1244	362.4517	355.4176	362.4397	369.3822	7	0	150	0.7053	0.5028
369.3998	19.0001	17	1	200	1	80	2	0	0	2	0	0	0	0	0.5078	0	2	0	0	369.3998	372.4158	372.4158	386.4686	376.9404	386.4566	388.3999	2	0	0	0.2405	0.9676
388.418	22.0001	18	1	150	1	75	2	0	0	2	0	0	0	0	0.6804	0	2	0	0	388.418	391.4344	391.4344	405.4875	396.132	405.4754	410.4181	5	0	150	0.0304	0.0855
