onset	duration	Trials	Runs	Cond_1_200_2_150_HasBeenChangedTo200_150	order_1_first_2_lastForThisIdPerson_	ProbR	ID_1_PlayerA_2_playerB_	AnsTimePAS1_rtStage1_playerA___3Seconds	AnsTimePBS1	PAChoS1_1Left_2Right_	PBChoS1	MissingPAS1_0None_	MissingPBS1	AnsTimePAS2	AnsTimePBS2	PAChoS2	PBChoS2	MissingPAS2	MissingPBS2	TriOn	DecEndS1	IsiOnS1	FbOnS1	DecEndS2	FbOffS2	TriEnd	Jitter	rwPA_rewardToPa_	rwPB	randa	randb
0.0002	22.0006	85	4	200	1	60	2	0	0	2	0	0	0	0	0.5336	0	2	0	0	0.0002	3.0205	3.0206	17.0802	7.5779	17.0688	22.0008	5	0	0	0.7531	0.7061
22.0062	22.0007	86	4	150	1	35	2	0	0	1	0	0	0	0	0.4574	0	1	0	0	22.0062	25.0104	25.0104	39.0711	29.4926	39.0593	44.0069	5	150	0	0.3196	0.8338
44.0269	20.0007	87	4	200	2	85	2	0	0.7931	0	2	0	0	0	0	2	0	0	0	44.0269	44.862	44.8684	61.1022	54.0682	61.0902	64.0276	3	100	100	0.4463	0.3552
64.0501	22.0007	88	4	150	2	20	2	0	1.1671	0	2	0	0	0	0	2	0	0	0	64.0501	65.2546	65.26	81.1206	74.0869	81.1088	86.0508	5	0	150	0.8632	0.0142
86.0723	23.0033	89	4	200	1	90	2	0	0	2	0	0	0	0	0.6352	0	2	0	0	86.0723	89.1003	89.1003	103.152	93.7649	103.1404	109.0756	6	100	100	0.4652	0.5784
109.1071	22.0007	90	4	150	1	80	2	0	0	2	0	0	0	0	0.5872	0	1	0	0	109.1071	112.1142	112.1143	126.1688	116.7202	126.1569	131.1078	5	150	0	0.6579	0.4723
131.1256	23.0001	91	4	200	2	40	2	0	0.7753	0	1	0	0	0	0	1	0	0	0	131.1256	131.9286	131.9395	148.1999	141.1658	148.1878	154.1257	6	100	100	0.5805	0.509
154.1433	23.0001	92	4	150	2	90	2	0	1.4246	0	1	0	0	0	0	1	0	0	0	154.1433	155.5955	155.6098	171.2171	164.1831	171.2051	177.1434	6	0	150	0.8384	0.292
177.163	25.0001	93	4	200	1	75	2	0	0	2	0	0	0	0	0.6174	0	2	0	0	177.163	180.1774	180.1775	194.2343	184.8293	194.2223	202.1631	8	100	100	0.1557	0.0684
202.1817	22	94	4	150	1	80	2	0	0	2	0	0	0	0	1.4646	0	2	0	0	202.1817	205.1969	205.1969	219.2508	210.6929	219.2388	224.1817	5	0	150	0.4234	0.5151
224.1997	26	95	4	200	2	20	2	0	1.0808	0	1	0	0	0	0	1	0	0	0	224.1997	225.3165	225.3281	241.2684	234.2345	241.2565	250.1997	9	100	100	0.6406	0.7541
250.2185	24.0001	96	4	150	2	35	2	0	1.1794	0	1	0	0	0	0	1	0	0	0	250.2185	251.4309	251.4373	267.2845	260.2504	267.2725	274.2186	7	150	0	0.5468	0.6335
274.2368	23.0001	97	4	200	1	40	2	0	0	1	0	0	0	0	0.7564	0	1	0	0	274.2368	277.2535	277.2535	291.3148	282.0352	291.3027	297.2369	6	100	100	0.2285	0.1595
297.2569	21.0001	98	4	150	1	15	2	0	0	1	0	0	0	0	0.6189	0	1	0	0	297.2569	300.2733	300.2733	314.3187	304.9151	314.3066	318.257	4	0	150	0.1834	0.4431
318.2754	24.0001	99	4	200	2	75	2	0	0.8097	0	2	0	0	0	0	2	0	0	0	318.2754	319.1136	319.1297	335.35	328.316	335.3379	342.2755	7	100	100	0.9354	0.4902
342.2949	24	100	4	150	2	10	2	0	0.7779	0	2	0	0	0	0	2	0	0	0	342.2949	343.1119	343.1199	359.3669	352.3328	359.3549	366.2949	7	0	150	0.1201	0.4497
366.3155	21.0001	101	4	200	1	65	2	0	0	2	0	0	0	0	0.6892	0	2	0	0	366.3155	369.3317	369.3318	383.3705	374.0639	383.3585	387.3156	4	0	0	0.4006	0.8435
387.3354	21	102	4	150	1	25	2	0	0	1	0	0	0	0	0.6886	0	2	0	0	387.3354	390.3512	390.3512	404.3886	395.0551	404.3765	408.3354	4	150	0	0.5671	0.7424
408.3547	25.0001	103	4	200	2	10	2	0	1.2815	0	1	0	0	0	0	1	0	0	0	408.3547	409.6687	409.6795	425.4199	418.3859	425.4079	433.3548	8	100	100	0.3624	0.5683
433.3733	24.0002	104	4	150	2	70	2	0	0.998	0	1	0	0	0	0	1	0	0	0	433.3733	434.4016	434.416	450.463	443.4158	450.451	457.3735	7	0	150	0.125	0.2
457.3927	21.0001	105	4	200	1	25	2	0	0	1	0	0	0	0	0.4696	0	1	0	0	457.3927	460.4102	460.4102	474.4666	464.9139	474.4546	478.3928	4	0	0	0.5543	0.9767
478.4132	24.0001	106	4	150	1	15	2	0	0	1	0	0	0	0	0.7131	0	2	0	0	478.4132	481.4293	481.4293	495.4714	486.1619	495.4593	502.4133	7	150	0	0.1922	0.686
502.4324	24.0001	107	4	200	2	85	2	0	1.01	0	2	0	0	0	0	2	0	0	0	502.4324	503.4786	503.4944	519.5149	512.4807	519.5029	526.4325	7	100	100	0.466	0.2755
526.4512	24.0001	108	4	150	2	30	2	0	1.1246	0	1	0	0	0	0	1	0	0	0	526.4512	527.6099	527.6179	543.5184	536.4843	543.5063	550.4513	7	0	150	0.9492	0.9329
550.4709	19.0001	109	4	200	1	65	2	0	0	2	0	0	0	0	0.674	0	2	0	0	550.4709	553.4868	553.4868	567.5352	558.1867	567.5233	569.471	2	100	100	0.8982	0.1699
569.4896	21.0001	110	4	150	1	30	2	0	0	1	0	0	0	0	1.001	0	1	0	0	569.4896	572.5071	572.5071	586.5675	577.5328	586.5555	590.4897	4	0	150	0.9304	0.3336
590.5104	20.0001	111	4	200	2	60	2	0	1.202	0	2	0	0	0	0	2	0	0	0	590.5104	591.7412	591.7517	607.5856	600.5515	607.5736	610.5105	3	100	100	0.654	0.051
610.5293	20.0001	112	4	150	2	70	2	0	0.9346	0	1	0	0	0	0	1	0	0	0	610.5293	611.4922	611.5037	627.604	620.57	627.592	630.5294	3	0	150	0.2216	0.7582
