onset	duration	Trials	Runs	Cond_1_200_2_150_HasBeenChangedTo200_150	order_1_first_2_lastForThisIdPerson_	ProbR	ID_1_PlayerA_2_playerB_	AnsTimePAS1_rtStage1_playerA___3Seconds	AnsTimePBS1	PAChoS1_1Left_2Right_	PBChoS1	MissingPAS1_0None_	MissingPBS1	AnsTimePAS2	AnsTimePBS2	PAChoS2	PBChoS2	MissingPAS2	MissingPBS2	TriOn	DecEndS1	IsiOnS1	FbOnS1	DecEndS2	FbOffS2	TriEnd	Jitter	rwPA_rewardToPa_	rwPB	randa	randb
0.0002	20.0009	57	3	200	1	40	2	0	0	1	0	0	0	0	0.5046	0	1	0	0	0.0002	3.0211	3.0211	17.0728	7.5415	17.0614	20.0011	3	0	0	0.0498	0.8698
20.0243	23.0007	58	3	150	1	65	2	0	0	1	0	0	0	0	0.5838	0	1	0	0	20.0243	23.0434	23.0434	37.1045	27.6525	37.0928	43.025	6	150	0	0.8838	0.9579
43.0577	23.0006	59	3	200	2	10	2	0	0.8958	0	1	0	0	0	0	1	0	0	0	43.0577	43.9843	43.9946	60.1217	53.0881	60.1099	66.0583	6	100	100	0.7252	0.4259
66.0788	23.0008	60	3	150	2	90	2	0	1.5651	0	2	0	0	0	0	2	0	0	0	66.0788	67.6709	67.6783	83.1524	76.1186	83.1404	89.0796	6	150	0	0.0151	0.743
89.1025	22.0033	61	3	200	1	40	2	0	0	1	0	0	0	0	0.5711	0	1	0	0	89.1025	92.1313	92.1313	106.1967	96.7317	106.1854	111.1058	5	100	100	0.1432	0.0607
111.1336	24.0007	62	3	150	1	70	2	0	0	1	0	0	0	0	0.9058	0	2	0	0	111.1336	114.1433	114.1434	128.2005	119.0705	128.1885	135.1343	7	150	0	0.354	0.8262
135.1532	26.0001	63	3	200	2	25	2	0	1.0364	0	1	0	0	0	0	1	0	0	0	135.1532	136.2074	136.2236	152.2173	145.1833	152.2054	161.1533	9	100	100	0.1016	0.1
161.1711	22.0001	64	3	150	2	65	2	0	1.1582	0	2	0	0	0	0	2	0	0	0	161.1711	162.3586	162.3729	178.2468	171.2128	178.2347	183.1712	5	150	0	0.7802	0.0369
183.1894	21.0001	65	3	200	1	35	2	0	0	1	0	0	0	0	0.5047	0	1	0	0	183.1894	186.2072	186.2073	200.2643	190.7464	200.2523	204.1895	4	0	0	0.9028	0.7488
204.2095	25.0001	66	3	150	1	80	2	0	0	1	0	0	0	0	1.5916	0	2	0	0	204.2095	207.2271	207.2271	221.269	212.8382	221.2571	229.2096	8	0	150	0.4646	0.2712
229.2275	21.0001	67	3	200	2	90	2	0	0.8867	0	2	0	0	0	0	2	0	0	0	229.2275	230.1525	230.1586	246.2989	239.2649	246.2868	250.2276	4	100	100	0.7846	0.7926
