onset	duration	Trials	Runs	Cond_1_200_2_150_HasBeenChangedTo200_150	order_1_first_2_lastForThisIdPerson_	ProbR	ID_1_PlayerA_2_playerB_	AnsTimePAS1_rtStage1_playerA___3Seconds	AnsTimePBS1	PAChoS1_1Left_2Right_	PBChoS1	MissingPAS1_0None_	MissingPBS1	AnsTimePAS2	AnsTimePBS2	PAChoS2	PBChoS2	MissingPAS2	MissingPBS2	TriOn	DecEndS1	IsiOnS1	FbOnS1	DecEndS2	FbOffS2	TriEnd	Jitter	rwPA_rewardToPa_	rwPB	randa	randb
0.0002	23.0007	1	1	200	1	25	2	0	0	1	0	0	0	0	0.7084	0	1	0	0	0.0002	3.0219	3.0219	17.0824	7.7551	17.0714	23.0009	6	100	100	0.5212	0.7195
23.0396	23.0007	2	1	150	1	30	2	0	0	1	0	0	0	0	0.6187	0	1	0	0	23.0396	26.0581	26.0581	40.1131	30.696	40.1013	46.0403	6	0	150	0.1617	0.4387
46.0617	23.0007	3	1	200	2	10	2	0	0.8488	0	1	0	0	0	0	2	0	0	0	46.0617	46.9463	46.95	63.1305	56.0964	63.1186	69.0624	6	0	0	0.7928	0.9833
69.0829	21.0007	4	1	150	2	20	2	0	1.0837	0	1	0	0	0	0	2	0	0	0	69.0829	70.1986	70.2072	86.1611	79.1272	86.1493	90.0836	4	0	150	0.5201	0.1161
90.1039	23.0035	5	1	200	1	75	2	0	0	2	0	0	0	0	0.683	0	2	0	0	90.1039	93.1287	93.1287	107.1931	97.8404	107.1818	113.1074	6	100	100	0.3839	0.5962
113.139	20.0007	6	1	150	1	85	2	0	0	1	0	0	0	0	0.8557	0	1	0	0	113.139	116.146	116.1461	130.1966	121.0164	130.1845	133.1397	3	150	0	0.8649	0.3192
133.1566	24.0001	7	1	200	2	65	2	0	0.9753	0	2	0	0	0	0	2	0	0	0	133.1566	134.1574	134.168	150.2285	143.1943	150.2164	157.1567	7	0	0	0.1769	0.9851
157.1754	25.0001	8	1	150	2	85	2	0	0.7577	0	2	0	0	0	0	2	0	0	0	157.1754	157.97	157.985	174.2454	167.211	174.2334	182.1755	8	150	0	0.2606	0.4692
182.193	23	9	1	200	1	70	2	0	0	2	0	0	0	0	1.1654	0	2	0	0	182.193	185.2114	185.2115	199.2752	190.4049	199.2632	205.193	6	0	0	0.5623	0.7808
205.2106	23.0001	10	1	150	1	15	2	0	0	0	0	1	0	0	0	0	0	0	0	205.2106	208.2272	208.2272	222.2393	-6813.9071	-6813.9071	228.2107	6	0	0	0.6078	0.4139
228.2303	23.0001	11	1	200	2	60	2	0	1.8027	0	2	0	0	0	0	2	0	0	0	228.2303	230.0797	230.0892	245.2966	238.2625	245.2845	251.2304	6	100	100	0.8385	0.1088
251.2477	24.0001	12	1	150	2	20	2	0	1.2073	0	2	0	0	0	0	2	0	0	0	251.2477	252.4883	252.4933	268.3139	261.2798	268.3019	275.2478	7	0	150	0.4622	0.5047
275.2652	24.0001	13	1	200	1	80	2	0	0	2	0	0	0	0	0.7859	0	2	0	0	275.2652	278.2824	278.2824	292.3442	283.0943	292.3321	299.2653	7	100	100	0.4586	0.2929
299.2827	21.0001	14	1	150	1	40	2	0	0	1	0	0	0	0	1.0877	0	2	0	0	299.2827	302.2992	302.2992	316.3478	307.4131	316.3358	320.2828	4	150	0	0.0916	0.8384
320.3002	25	15	1	200	2	30	2	0	1.0502	0	1	0	0	0	0	1	0	0	0	320.3002	321.3831	321.3988	337.3793	330.3452	337.3672	345.3002	8	100	100	0.1196	0.5065
345.3197	24.0001	16	1	150	2	10	2	0	1.8115	0	2	0	0	0	0	1	0	0	0	345.3197	347.1616	347.175	362.3959	355.3616	362.3837	369.3198	7	150	0	0.7053	0.5028
369.3375	19	17	1	200	1	80	2	0	0	2	0	0	0	0	0.6028	0	2	0	0	369.3375	372.3534	372.3534	386.4127	376.9802	386.4007	388.3375	2	0	0	0.2405	0.9676
388.3551	22.0001	18	1	150	1	75	2	0	0	2	0	0	0	0	1.0775	0	2	0	0	388.3551	391.3721	391.3721	405.4317	396.4869	405.4196	410.3552	5	0	150	0.0304	0.0855
410.3748	24.0001	19	1	200	2	65	2	0	1.1826	0	2	0	0	0	0	2	0	0	0	410.3748	411.586	411.5885	427.4361	420.402	427.4241	434.3749	7	0	0	0.4122	0.8945
434.3927	21.0001	20	1	150	2	60	2	0	1.4652	0	2	0	0	0	0	2	0	0	0	434.3927	435.885	435.8991	451.4664	444.4323	451.4544	455.3928	4	150	0	0.8023	0.2692
455.4113	22.0001	21	1	200	1	90	2	0	0	2	0	0	0	0	0.7115	0	2	0	0	455.4113	458.4266	458.4266	472.4712	463.1601	472.4591	477.4114	5	100	100	0.2534	0.4844
477.4289	22.0001	22	1	150	1	90	2	0	0	2	0	0	0	0	0.8405	0	1	0	0	477.4289	480.4453	480.4453	494.5156	485.3071	494.5035	499.429	5	150	0	0.0492	0.276
499.4466	22.0001	23	1	200	2	15	2	0	1.0234	0	1	0	0	0	0	1	0	0	0	499.4466	500.497	500.5129	516.5198	509.4858	516.508	521.4467	5	100	100	0.1339	0.2056
521.4668	22.0001	24	1	150	2	25	2	0	1.4084	0	1	0	0	0	0	2	0	0	0	521.4668	522.9132	522.9175	538.5379	531.5036	538.5257	543.4669	5	0	150	0.5054	0.1239
543.4846	20.0001	25	1	200	1	70	2	0	0	2	0	0	0	0	1.2909	0	2	0	0	543.4846	546.5	546.5	560.5555	551.8105	560.5434	563.4847	3	100	100	0.8368	0.6167
563.5025	20.0001	26	1	150	1	35	2	0	0	2	0	0	0	0	0.6419	0	2	0	0	563.5025	566.5201	566.5201	580.574	571.18	580.562	583.5026	3	150	0	0.0569	0.0408
583.523	21.0001	27	1	200	2	40	2	0	1.6575	0	1	0	0	0	0	1	0	0	0	583.523	585.2171	585.2252	600.5926	593.5585	600.5806	604.5231	4	100	100	0.291	0.4634
604.541	26.0001	28	1	150	2	35	2	0	1.4817	0	2	0	0	0	0	2	0	0	0	604.541	606.0592	606.0701	621.6107	614.5762	621.5987	630.5411	9	0	150	0.2717	0.9382
