onset	duration	Trials	Runs	Cond_1_200_2_150_HasBeenChangedTo200_150	order_1_first_2_lastForThisIdPerson_	ProbR	ID_1_PlayerA_2_playerB_	AnsTimePAS1_rtStage1_playerA___3Seconds	AnsTimePBS1	PAChoS1_1Left_2Right_	PBChoS1	MissingPAS1_0None_	MissingPBS1	AnsTimePAS2	AnsTimePBS2	PAChoS2	PBChoS2	MissingPAS2	MissingPBS2	TriOn	DecEndS1	IsiOnS1	FbOnS1	DecEndS2	FbOffS2	TriEnd	Jitter	rwPA_rewardToPa_	rwPB	randa	randb	Unknown1	Unknown2
0.0002	22.0007	85	4	200	1	60	2	0	0	2	0	0	0	0	0.7269	0	2	0	0	0.0002	3.0212	3.0213	17.0668	7.7712	17.0555	22.0009	5	0	0	0.7531	0.7061	1.2397	1.2262
22.0354	22.0008	86	4	150	1	35	2	0	0	1	0	0	0	0	0.8348	0	2	0	0	22.0354	25.0524	25.0525	39.0979	29.9101	39.0861	44.0362	5	150	0	0.3196	0.8338	1.2396	1.6394
44.0562	20.0007	87	4	200	2	85	2	0	0.997	0	2	0	0	0	0	2	0	0	0	44.0562	45.0929	45.1085	61.1289	54.0952	61.1171	64.0569	3	100	100	0.4463	0.3552	1.2529	1.6395
64.0792	22.0007	88	4	150	2	20	2	0	1.2414	0	1	0	0	0	0	2	0	0	0	64.0792	65.3557	65.3669	81.1475	74.1135	81.1357	86.0799	5	0	150	0.8632	0.0142	1.2398	1.6264
86.1014	23.0034	89	4	200	1	90	2	0	0	2	0	0	0	0	1.1963	0	2	0	0	86.1014	89.1288	89.1288	103.2053	94.3664	103.1944	109.1048	6	100	100	0.4652	0.5784	1.2531	1.4523
109.1404	22.0007	90	4	150	1	80	2	0	0	2	0	0	0	0	0.8792	0	2	0	0	109.1404	112.1506	112.1506	126.2089	117.0525	126.1972	131.1411	5	0	150	0.6579	0.4723	1.4396	1.4261
131.1611	23	91	4	200	2	40	2	0	1.0001	0	1	0	0	0	0	1	0	0	0	131.1611	132.1938	132.2065	148.2402	141.2057	148.2282	154.1611	6	100	100	0.5805	0.509	1.2399	1.4264
154.1786	23.0001	92	4	150	2	90	2	0	1.061	0	2	0	0	0	0	1	0	0	0	154.1786	155.2721	155.2768	171.2443	164.2103	171.2322	177.1787	6	0	150	0.8384	0.292	1.8523	1.2265
177.1988	25.0001	93	4	200	1	75	2	0	0	2	0	0	0	0	1.0606	0	2	0	0	177.1988	180.2162	180.2164	194.2616	185.3134	194.2496	202.1989	8	100	100	0.1557	0.0684	1.2398	1.426
202.217	22	94	4	150	1	80	2	0	0	2	0	0	0	0	0.7792	0	2	0	0	202.217	205.2344	205.2344	219.2781	210.0481	219.2661	224.217	5	0	150	0.4234	0.5151	1.2398	1.8393
