onset	duration	Trials	Runs	Cond_1_200_2_150_HasBeenChangedTo200_150	order_1_first_2_lastForThisIdPerson_	ProbR	ID_1_PlayerA_2_playerB_	AnsTimePAS1_rtStage1_playerA___3Seconds	AnsTimePBS1	PAChoS1_1Left_2Right_	PBChoS1	MissingPAS1_0None_	MissingPBS1	AnsTimePAS2	AnsTimePBS2	PAChoS2	PBChoS2	MissingPAS2	MissingPBS2	TriOn	DecEndS1	IsiOnS1	FbOnS1	DecEndS2	FbOffS2	TriEnd	Jitter	rwPA_rewardToPa_	rwPB	randa	randb	Unknown1	Unknown2
0.0002	20.0007	29	2	200	1	40	2	0	0	1	0	0	0	0	0.4848	0	1	0	0	0.0002	3.0208	3.0208	17.0753	7.5243	17.064	20.0009	3	100	100	0.6093	0.5562	1.2398	1.2262
20.0227	20.0007	30	2	150	1	60	2	0	0	1	0	0	0	0	0.5571	0	1	0	0	20.0227	23.042	23.042	37.0937	27.6151	37.0819	40.0234	3	150	0	0.8624	0.9777	1.2398	1.2261
40.0431	24.0007	31	2	200	2	40	2	0	0.6868	0	1	0	0	0	0	1	0	0	0	40.0431	40.7658	40.7719	57.1121	50.0782	57.1003	64.0438	7	0	0	0.387	0.9365	1.2526	1.4397
64.0631	22.0007	32	2	150	2	70	2	0	0.5384	0	2	0	0	0	0	2	0	0	0	64.0631	64.6345	64.642	81.1289	74.0952	81.1171	86.0638	5	150	0	0.2155	0.2635	2.0657	1.4265
86.0859	21.0036	33	2	200	1	10	2	0	0	1	0	0	0	0	0.4688	0	1	0	0	86.0859	89.1155	89.1156	103.187	93.6201	103.1758	107.0895	4	100	100	0.4946	0.3662	1.6533	1.2523
107.1213	26.0007	34	2	150	1	25	2	0	0	2	0	0	0	0	0.4157	0	1	0	0	107.1213	110.1294	110.1294	124.1912	114.5711	124.1792	133.122	9	0	150	0.6515	0.6494	1.2395	1.2261
133.1392	22.0001	35	2	200	2	70	2	0	0.5581	0	2	0	0	0	0	2	0	0	0	133.1392	133.7322	133.747	150.2205	143.1865	150.2084	155.1393	5	100	100	0.9488	0.5226	2.0525	1.4262
155.1584	22.0001	36	2	150	2	35	2	0	0.4967	0	2	0	0	0	0	2	0	0	0	155.1584	155.6885	155.698	172.2247	165.1908	172.2128	177.1585	5	0	150	0.7967	0.5675	1.2395	1.2264
177.1754	23.0001	37	2	200	1	20	2	0	0	1	0	0	0	0	0.4793	0	1	0	0	177.1754	180.1929	180.193	194.2557	184.7128	194.2437	200.1755	6	100	100	0.0052	0.6745	1.2398	1.2262
200.1949	22.0001	38	2	150	1	80	2	0	0	2	0	0	0	0	0.5198	0	2	0	0	200.1949	203.2104	203.2104	217.273	207.7569	217.2609	222.195	5	0	150	0.2028	0.6775	1.2397	1.2262
222.2126	21.0001	39	2	200	2	90	2	0	0.488	0	2	0	0	0	0	2	0	0	0	222.2126	222.7457	222.7505	239.2772	232.2433	239.2652	243.2127	4	100	100	0.6702	0.0349	1.2395	1.8395
243.2302	23.0001	40	2	150	2	30	2	0	0.4662	0	1	0	0	0	0	2	0	0	0	243.2302	243.7283	243.7418	260.3086	253.2745	260.2966	266.2303	6	0	150	0.3698	0.7722	1.2395	1.2263
266.2503	25.0001	41	2	200	1	75	2	0	0	2	0	0	0	0	0.4351	0	2	0	0	266.2503	269.2667	269.2667	283.3126	273.7251	283.3004	291.2504	8	0	0	0.4082	0.9245	1.2398	1.4261
291.2682	21.0001	42	2	150	1	85	2	0	0	2	0	0	0	0	0.4723	0	2	0	0	291.2682	294.2837	294.2837	308.3289	298.7788	308.3168	312.2683	4	0	150	0.8866	0.589	1.6397	1.2262
312.2862	22.0001	43	2	200	2	10	2	0	0.5318	0	1	0	0	0	0	1	0	0	0	312.2862	312.8458	312.8601	329.3603	322.3263	329.3482	334.2863	5	100	100	0.9762	0.7818	1.2394	1.2265
334.307	23.0002	44	2	150	2	85	2	0	0.4876	0	2	0	0	0	0	2	0	0	0	334.307	334.8327	334.8377	351.3778	344.3436	351.3658	357.3072	6	0	150	0.5893	0.9133	1.2397	1.2264
357.3256	23.0001	45	2	200	1	15	2	0	0	1	0	0	0	0	0.3995	0	1	0	0	357.3256	360.3412	360.3412	374.3951	364.7722	374.383	380.3257	6	100	100	0.9111	0.6735	1.2395	1.2261
