onset	duration	Trials	Runs	Cond_1_200_2_150_HasBeenChangedTo200_150	order_1_first_2_lastForThisIdPerson_	ProbR	ID_1_PlayerA_2_playerB_	AnsTimePAS1_rtStage1_playerA___3Seconds	AnsTimePBS1	PAChoS1_1Left_2Right_	PBChoS1	MissingPAS1_0None_	MissingPBS1	AnsTimePAS2	AnsTimePBS2	PAChoS2	PBChoS2	MissingPAS2	MissingPBS2	TriOn	DecEndS1	IsiOnS1	FbOnS1	DecEndS2	FbOffS2	TriEnd	Jitter	rwPA_rewardToPa_	rwPB	randa	randb
0.0003	22.0008	85	4	200	1	60	1	0.7742	0	2	0	0	0	0	0	0	2	0	0	0.0003	0.8002	0.8122	17.0593	10.0323	17.048	22.0011	5	0	0	0.7531	0.7061
22.036	22.0007	86	4	150	1	35	1	0.7372	0	2	0	0	0	0	0	0	2	0	0	22.036	22.8076	22.8165	39.1036	32.0647	39.0917	44.0367	5	150	0	0.3196	0.8338
44.0598	20.0007	87	4	200	2	85	1	0	0	0	2	0	0	0.682	0	2	0	0	0	44.0598	47.078	47.078	61.1213	51.7808	61.1094	64.0605	3	100	100	0.4463	0.3552
64.082	22.0007	88	4	150	2	20	1	0	0	0	1	0	0	0.4168	0	1	0	0	0	64.082	67.0981	67.0981	81.1398	71.5338	81.1279	86.0827	5	150	0	0.8632	0.0142
86.1047	23.0035	89	4	200	1	90	1	0.7413	0	2	0	0	0	0	0	0	2	0	0	86.1047	86.8924	86.897	103.1845	96.1422	103.1733	109.1082	6	100	100	0.4652	0.5784
109.1388	22.0006	90	4	150	1	80	1	0.7105	0	1	0	0	0	0	0	0	2	0	0	109.1388	109.8785	109.8876	126.1879	119.1595	126.1759	131.1394	5	0	150	0.6579	0.4723
131.1585	23.0001	91	4	200	2	40	1	0	0	0	2	0	0	0.6892	0	2	0	0	0	131.1585	134.175	134.175	148.2189	138.8854	148.2068	154.1586	6	0	0	0.5805	0.509
154.1768	23.0001	92	4	150	2	90	1	0	0	0	2	0	0	2.2663	0	1	0	0	0	154.1768	157.1922	157.1922	171.2361	163.48	171.2242	177.1769	6	0	150	0.8384	0.292
177.1973	25.0001	93	4	200	1	75	1	0.6308	0	2	0	0	0	0	0	0	2	0	0	177.1973	177.8647	177.8732	194.2533	187.2264	194.2414	202.1974	8	100	100	0.1557	0.0684
202.2158	22.0001	94	4	150	1	80	1	2.4673	0	1	0	0	0	0	0	0	2	0	0	202.2158	204.7173	204.7288	219.2832	212.2441	219.2711	224.2159	5	0	150	0.4234	0.5151
