onset	duration	Trials	Runs	Cond_1_200_2_150_HasBeenChangedTo200_150	order_1_first_2_lastForThisIdPerson_	ProbR	ID_1_PlayerA_2_playerB_	AnsTimePAS1_rtStage1_playerA___3Seconds	AnsTimePBS1	PAChoS1_1Left_2Right_	PBChoS1	MissingPAS1_0None_	MissingPBS1	AnsTimePAS2	AnsTimePBS2	PAChoS2	PBChoS2	MissingPAS2	MissingPBS2	TriOn	DecEndS1	IsiOnS1	FbOnS1	DecEndS2	FbOffS2	TriEnd	Jitter	rwPA_rewardToPa_	rwPB	randa	randb
0.0016	23.0006	1	1	200	1	25	2	0	0	1	0	0	0	0	0.5521	0	1	0	0	0.0016	3.0462	3.0463	17.1145	7.6314	17.1025	23.0022	6	100	100	0.5212	0.7195
23.1174	23.0009	2	1	150	1	30	2	0	0	1	0	0	0	0	2.3587	0	1	0	0	23.1174	26.1273	26.1274	40.1987	32.5212	40.187	46.1183	6	0	150	0.1617	0.4387
46.1537	23.0001	3	1	200	2	10	2	0	1.158	0	1	0	0	0	0	1	0	0	0	46.1537	47.3407	47.3552	63.2156	56.1819	63.2036	69.1538	6	0	0	0.7928	0.9833
69.171	21.0001	4	1	150	2	20	2	0	1.0318	0	1	0	0	0	0	2	0	0	0	69.171	70.2318	70.2391	86.2329	79.199	86.2209	90.1711	4	0	150	0.5201	0.1161
90.1898	23.0001	5	1	200	1	75	2	0	0	0	0	1	0	0	0	0	0	0	0	90.1898	93.2065	93.2065	107.211	-14295.1251	-14295.1251	113.1899	6	0	0	0.3839	0.5962
113.2084	20.0001	6	1	150	1	85	2	0	0	2	0	0	0	0	2.6476	0	1	0	0	113.2084	116.2246	116.2246	130.2683	122.8934	130.2562	133.2085	3	150	0	0.8649	0.3192
133.2253	24.0002	7	1	200	2	65	2	0	1.0134	0	2	0	0	0	0	2	0	0	0	133.2253	134.2673	134.2796	150.3001	143.266	150.2881	157.2255	7	0	0	0.1769	0.9851
157.2453	25.0001	8	1	150	2	85	2	0	0.9575	0	2	0	0	0	0	1	0	0	0	157.2453	158.2281	158.2432	174.317	167.2828	174.3048	182.2454	8	0	150	0.2606	0.4692
182.2624	23.0001	9	1	200	1	70	2	0	0	2	0	0	0	0	0.5678	0	2	0	0	182.2624	185.2791	185.2791	199.32	189.8657	199.3081	205.2625	6	0	0	0.5623	0.7808
205.2815	23.0001	10	1	150	1	15	2	0	0	2	0	0	0	0	2.8523	0	2	0	0	205.2815	208.2946	208.2946	222.3506	215.1809	222.3386	228.2816	6	150	0	0.6078	0.4139
228.2998	23.0001	11	1	200	2	60	2	0	1.1678	0	2	0	0	0	0	2	0	0	0	228.2998	229.5027	229.5074	245.3679	238.3336	245.3559	251.2999	6	100	100	0.8385	0.1088
251.3174	24.0001	12	1	150	2	20	2	0	0	0	0	0	1	0	0	0	0	0	0	251.3174	254.3334	254.3373	268.3451	-14295.1251	-14295.1251	275.3175	7	0	0	0.4622	0.5047
275.3369	24	13	1	200	1	80	2	0	0	2	0	0	0	0	0.6291	0	2	0	0	275.3369	278.3543	278.3543	292.4154	283.0347	292.4034	299.3369	7	100	100	0.4586	0.2929
299.3544	21.0001	14	1	150	1	40	2	0	0	2	0	0	0	0	1.7553	0	1	0	0	299.3544	302.3701	302.3701	316.4189	308.1521	316.4068	320.3545	4	150	0	0.0916	0.8384
320.3736	25.0001	15	1	200	2	30	2	0	0.7684	0	1	0	0	0	0	1	0	0	0	320.3736	321.1726	321.1767	337.437	330.4029	337.4249	345.3737	8	100	100	0.1196	0.5065
345.3917	24	16	1	150	2	10	2	0	2.305	0	1	0	0	0	0	1	0	0	0	345.3917	347.7253	347.7391	362.4667	355.4327	362.4547	369.3917	7	150	0	0.7053	0.5028
369.4094	19.0001	17	1	200	1	80	2	0	0	2	0	0	0	0	1.1775	0	2	0	0	369.4094	372.4253	372.4253	386.4836	377.6252	386.4715	388.4095	2	0	0	0.2405	0.9676
388.4296	22.0001	18	1	150	1	75	2	0	0	2	0	0	0	0	0.5766	0	2	0	0	388.4296	391.4456	391.4456	405.5025	396.0431	405.4905	410.4297	5	0	150	0.0304	0.0855
410.4478	24.0001	19	1	200	2	65	2	0	0.6989	0	2	0	0	0	0	2	0	0	0	410.4478	411.1731	411.1799	427.5201	420.4862	427.5081	434.4479	7	0	0	0.4122	0.8945
434.4656	21.0001	20	1	150	2	60	2	0	1.9544	0	2	0	0	0	0	2	0	0	0	434.4656	436.4585	436.5029	451.537	444.5029	451.525	455.4657	4	150	0	0.8023	0.2692
455.4838	22.0001	21	1	200	1	90	2	0	0	0	0	1	0	0	0	0	0	0	0	455.4838	458.4994	458.4994	472.5018	-14295.1251	-14295.1251	477.4839	5	0	0	0.2534	0.4844
477.5014	22.0001	22	1	150	1	90	2	0	0	2	0	0	0	0	0.9167	0	2	0	0	477.5014	480.5259	480.5259	494.5861	485.4669	494.5741	499.5015	5	0	150	0.0492	0.276
499.5196	22.0001	23	1	200	2	15	2	0	0.9975	0	1	0	0	0	0	1	0	0	0	499.5196	500.5414	500.5567	516.5904	509.5561	516.5784	521.5197	5	100	100	0.1339	0.2056
521.5383	22.0001	24	1	150	2	25	2	0	0.5076	0	1	0	0	0	0	2	0	0	0	521.5383	522.0827	522.0946	538.6214	531.5741	538.6094	543.5384	5	0	150	0.5054	0.1239
543.5564	20.0001	25	1	200	1	70	2	0	0	2	0	0	0	0	0.5768	0	2	0	0	543.5564	546.5733	546.5733	560.6258	551.1667	560.6138	563.5565	3	100	100	0.8368	0.6167
563.5762	20.0001	26	1	150	1	35	2	0	0	1	0	0	0	0	0.9916	0	1	0	0	563.5762	566.5922	566.5922	580.631	571.6002	580.619	583.5763	3	0	150	0.0569	0.0408
583.5941	21.0001	27	1	200	2	40	2	0	1.0705	0	1	0	0	0	0	1	0	0	0	583.5941	584.7001	584.709	600.6761	593.6287	600.6639	604.5942	4	100	100	0.291	0.4634
604.6116	26.0001	28	1	150	2	35	2	0	1.2251	0	2	0	0	0	0	2	0	0	0	604.6116	605.8728	605.887	621.6809	614.6468	621.6689	630.6117	9	0	150	0.2717	0.9382
