onset	duration	Trials	Runs	Cond_1_200_2_150_HasBeenChangedTo200_150	order_1_first_2_lastForThisIdPerson_	ProbR	ID_1_PlayerA_2_playerB_	AnsTimePAS1_rtStage1_playerA___3Seconds	AnsTimePBS1	PAChoS1_1Left_2Right_	PBChoS1	MissingPAS1_0None_	MissingPBS1	AnsTimePAS2	AnsTimePBS2	PAChoS2	PBChoS2	MissingPAS2	MissingPBS2	TriOn	DecEndS1	IsiOnS1	FbOnS1	DecEndS2	FbOffS2	TriEnd	Jitter	rwPA_rewardToPa_	rwPB	randa	randb
0	20.0003	29	2	200	1	40	1	0.9813	0	1	0	0	0	0	0	0	1	0	0	0	0.9922	0.9984	17.0395	10.0271	17.0371	20.0003	3	100	100	0.6093	0.5562
20.0064	20.0002	30	2	150	1	60	1	0.9888	0	1	0	0	0	0	0	0	2	0	0	20.0064	21.0044	21.0164	37.0442	30.0318	37.0416	40.0066	3	150	0	0.8624	0.9777
40.0119	24.0002	31	2	200	2	40	1	0	0	0	1	0	0	0.5333	0	1	0	0	0	40.0119	43.0181	43.0181	57.0489	47.5599	57.0463	64.0121	7	0	0	0.387	0.9365
64.0177	22.0002	32	2	150	2	70	1	0	0	0	2	0	0	0.8157	0	2	0	0	0	64.0177	67.0235	67.0235	81.0572	71.8506	81.0545	86.0179	5	150	0	0.2155	0.2635
86.0232	21.0008	33	2	200	1	10	1	0.8921	0	1	0	0	0	0	0	0	1	0	0	86.0232	86.9406	86.9558	103.0771	96.0517	103.0746	107.024	4	100	100	0.4946	0.3662
107.032	26.0002	34	2	150	1	25	1	0.951	0	2	0	0	0	0	0	0	2	0	0	107.032	107.9917	108.0014	124.0692	117.0567	124.0665	133.0322	9	150	0	0.6515	0.6494
133.0371	22.0001	35	2	200	2	70	1	0	0	0	2	0	0	0.8852	0	2	0	0	0	133.0371	136.0426	136.0426	150.0793	140.9422	150.0766	155.0372	5	100	100	0.9488	0.5226
155.0421	22.0001	36	2	150	2	35	1	0	0	0	2	0	0	1.041	0	2	0	0	0	155.0421	158.0474	158.0474	172.0858	163.1045	172.0831	177.0422	5	0	150	0.7967	0.5675
177.0465	23	37	2	200	1	20	1	1.062	0	1	0	0	0	0	0	0	1	0	0	177.0465	178.1258	178.1313	194.0789	187.0665	194.0763	200.0465	6	100	100	0.0052	0.6745
200.0516	22.0001	38	2	150	1	80	1	1.6677	0	2	0	0	0	0	0	0	2	0	0	200.0516	201.7388	201.7525	217.0863	210.0738	217.0836	222.0517	5	0	150	0.2028	0.6775
