onset	duration	Trials	Runs	Cond_1_200_2_150_HasBeenChangedTo200_150	order_1_first_2_lastForThisIdPerson_	ProbR	ID_1_PlayerA_2_playerB_	AnsTimePAS1_rtStage1_playerA___3Seconds	AnsTimePBS1	PAChoS1_1Left_2Right_	PBChoS1	MissingPAS1_0None_	MissingPBS1	AnsTimePAS2	AnsTimePBS2	PAChoS2	PBChoS2	MissingPAS2	MissingPBS2	TriOn	DecEndS1	IsiOnS1	FbOnS1	DecEndS2	FbOffS2	TriEnd	Jitter	rwPA_rewardToPa_	rwPB	randa	randb	Unknown1	Unknown2
0.0003	20.0118	57	3	200	1	40	1	1.0274	0	1	0	0	0	0	0	0	1	0	0	0.0003	1.0668	1.0788	17.0614	10.0353	17.0613	20.0121	3	0	0	0.0498	0.8698	1.6964	1.8663
20.0338	23.0124	58	3	150	1	65	1	2.0194	0	2	0	0	0	0	0	0	1	0	0	20.0338	22.0905	22.0968	37.0793	30.0596	37.0792	43.0462	6	150	0	0.8838	0.9579	1.0906	1.5331
43.0668	23.0123	59	3	200	2	10	1	0	0	0	1	0	0	0.5291	0	1	0	0	0	43.0668	46.0797	46.0798	60.1098	50.6282	60.1097	66.0791	6	100	100	0.7252	0.4259	1.3128	1.8257
66.1017	23.0124	60	3	150	2	90	1	0	0	0	2	0	0	0.6748	0	1	0	0	0	66.1017	69.1202	69.1202	83.1537	73.8177	83.1535	89.1141	6	0	150	0.0151	0.743	1.7696	1.7593
89.1359	22.0134	61	3	200	1	40	1	1.3726	0	1	0	0	0	0	0	0	1	0	0	89.1359	90.5622	90.5753	106.2125	99.1816	106.2118	111.1493	5	100	100	0.1432	0.0607	1.1417	1.8133
111.178	24.0128	62	3	150	1	70	1	1.5658	0	2	0	0	0	0	0	0	2	0	0	111.178	112.7594	112.7662	128.2147	121.1971	128.2146	135.1908	7	150	0	0.354	0.8262	1.106	1.1199
135.2111	26.0119	63	3	200	2	25	1	0	0	0	1	0	0	0.5433	0	1	0	0	0	135.2111	138.2278	138.2278	152.2716	142.7911	152.2716	161.223	9	100	100	0.1016	0.1	1.6866	1.2661
161.2408	22.0121	64	3	150	2	65	1	0	0	0	2	0	0	0.9876	0	2	0	0	0	161.2408	164.2566	164.2566	178.8738	169.2647	178.8738	183.2529	5	150	0	0.7802	0.0369	2.5271	4.5847
183.2729	21.0122	65	3	200	1	35	1	1.0847	0	1	0	0	0	0	0	0	1	0	0	183.2729	184.3955	184.4034	200.3184	193.302	200.3184	204.2851	4	0	0	0.9028	0.7488	1.6204	1.2398
204.303	25.0121	66	3	150	1	80	1	1.2333	0	2	0	0	0	0	0	0	2	0	0	204.303	205.5753	205.5813	221.3497	214.3256	221.3497	229.3151	8	0	150	0.4646	0.2712	1.5481	1.5063
229.3334	21.0122	67	3	200	2	90	1	0	0	0	2	0	0	0.9381	0	2	0	0	0	229.3334	232.3511	232.3512	246.3794	237.307	246.3794	250.3456	4	100	100	0.7846	0.7926	1.5243	1.5061
250.3664	24.012	68	3	150	2	85	1	0	0	0	1	0	0	0.8854	0	2	0	0	0	250.3664	253.3838	253.3838	267.4108	258.2857	267.4108	274.3784	7	0	150	0.5947	0.8741	1.2569	1.4525
274.3969	24.012	69	3	200	1	15	1	0.9004	0	1	0	0	0	0	0	0	1	0	0	274.3969	275.3335	275.3392	291.4409	284.4197	291.4409	298.4089	7	100	100	0.2241	0.1368	1.5451	1.3598
298.4275	21.0121	70	3	150	1	60	1	0.956	0	2	0	0	0	0	0	0	2	0	0	298.4275	299.4192	299.4227	315.471	308.4465	315.471	319.4396	4	0	150	0.8541	0.2953	1.3619	1.1997
319.4605	24.0121	71	3	200	2	75	1	0	0	0	2	0	0	0.547	0	2	0	0	0	319.4605	322.4767	322.4767	336.5156	327.0388	336.5156	343.4726	7	100	100	0.1024	0.5099	1.2291	1.3327
343.491	22.012	72	3	150	2	20	1	0	0	0	1	0	0	0.5107	0	1	0	0	0	343.491	346.5071	346.5071	360.5325	351.0326	360.5325	365.503	5	0	150	0.125	0.952	1.202	1.0263
365.5236	22.012	73	3	200	1	75	1	0.7924	0	2	0	0	0	0	0	0	2	0	0	365.5236	366.3484	366.3551	382.5634	375.5486	382.5634	387.5356	5	0	0	0.5358	0.8588	1.3121	1.1066
387.5541	24.012	74	3	150	1	25	1	0.9335	0	2	0	0	0	0	0	0	2	0	0	387.5541	388.5206	388.5326	404.6076	397.5819	404.6076	411.5661	7	150	0	0.9712	0.3404	1.4031	1.0931
411.5846	21.0121	75	3	200	2	30	1	0	0	0	1	0	0	0.8607	0	1	0	0	0	411.5846	414.6007	414.6007	428.6243	419.4882	428.6243	432.5967	4	100	100	0.8086	0.5485	1.0671	1.1195
432.6256	22.0121	76	3	150	2	10	1	0	0	0	2	0	0	0.6601	0	2	0	0	0	432.6256	435.6409	435.6409	449.6691	440.3189	449.6691	454.6377	5	0	150	0.2085	0.8378	1.0851	1.3194
454.6565	20.0121	77	3	200	1	70	1	0.9334	0	2	0	0	0	0	0	0	2	0	0	454.6565	455.6123	455.625	471.7	464.6836	471.6999	474.6686	3	100	100	0.0407	0.5209	1.2073	1.1332
474.6875	25.0121	78	3	150	1	60	1	1.5602	0	1	0	0	0	0	0	0	2	0	0	474.6875	476.2845	476.2964	491.7313	484.7158	491.7313	499.6996	8	0	150	0.6493	0.1996	1.18	1.1598
499.7211	20.0120000000001	79	3	200	2	20	1	0	0	0	1	0	0	0.4556	0	1	0	0	0	499.7211	502.7387	502.7387	516.7748	507.2071	516.7748	519.7331	3	100	100	0.7964	0.7426	1.0795	1.0661
519.7526	23.0119999999999	80	3	150	2	35	1	0	0	0	2	0	0	0.6478	0	2	0	0	0	519.7526	522.7678	522.7678	536.7932	527.4306	536.7932	542.7646	6	0	150	0.4816	0.7059	1.4287	1.0795
542.7852	23.0120999999999	81	3	200	1	30	1	1.0403	0	1	0	0	0	0	0	0	1	0	0	542.7852	543.8564	543.8687	559.8371	552.814	559.8371	565.7973	6	100	100	0.9518	0.5107	1.4667	1.2265
565.816	19.0119999999999	82	3	150	1	80	1	1.1065	0	1	0	0	0	0	0	0	2	0	0	565.816	566.953	566.9658	582.8676	575.8446	582.8676	584.828	2	0	150	0.2248	0.2741	1.1737	1.2531
584.847	23.0121	83	3	200	2	15	1	0	0	0	1	0	0	0.5379	0	1	0	0	0	584.847	587.863	587.863	601.9131	592.4137	601.9131	607.8591	6	100	100	0.9208	0.276	1.2001	1.1196
607.8803	23.0119	84	3	150	2	85	1	0	0	0	1	0	0	0.6361	0	2	0	0	0	607.8803	610.8964	610.8964	624.917	615.5425	624.917	630.8922	6	150	0	0.2903	0.1677	1.1441	1.4927
