onset	duration	Trials	Runs	Cond_1_200_2_150_HasBeenChangedTo200_150	order_1_first_2_lastForThisIdPerson_	ProbR	ID_1_PlayerA_2_playerB_	AnsTimePAS1_rtStage1_playerA___3Seconds	AnsTimePBS1	PAChoS1_1Left_2Right_	PBChoS1	MissingPAS1_0None_	MissingPBS1	AnsTimePAS2	AnsTimePBS2	PAChoS2	PBChoS2	MissingPAS2	MissingPBS2	TriOn	DecEndS1	IsiOnS1	FbOnS1	DecEndS2	FbOffS2	TriEnd	Jitter	rwPA_rewardToPa_	rwPB	randa	randb	Unknown1	Unknown2
0.0002	22.0007	85	4	200	1	60	1	1.4782	0	2	0	0	0	0	0	0	2	0	0	0.0002	1.5094	1.5237	17.0776	10.044	17.0664	22.0009	5	0	0	0.7531	0.7061	2.0659	1.4265
22.0216	22.0008	86	4	150	1	35	1	1.9915	0	1	0	0	0	0	0	0	2	0	0	22.0216	24.054	24.0612	39.0954	32.0616	39.0835	44.0224	5	150	0	0.3196	0.8338	1.2393	1.2267
44.0447	20.0007	87	4	200	2	85	1	0	0	0	2	0	0	0.9365	0	2	0	0	0	44.0447	47.0624	47.0624	61.1131	52.0139	61.1012	64.0454	3	100	100	0.4463	0.3552	2.266	1.2395
64.066	22.0007	88	4	150	2	20	1	0	0	0	1	0	0	1.2743	0	2	0	0	0	64.066	67.085	67.085	81.1316	72.3835	81.1198	86.0667	5	0	150	0.8632	0.0142	1.2396	1.2261
86.0891	23.0033	89	4	200	1	90	1	1.1758	0	2	0	0	0	0	0	0	2	0	0	86.0891	87.3054	87.3154	103.1897	96.1442	103.1785	109.0924	6	100	100	0.4652	0.5784	2.0658	1.2401
109.1282	22.0006	90	4	150	1	80	1	2.1134	0	2	0	0	0	0	0	0	2	0	0	109.1282	111.2735	111.279	126.1932	119.1591	126.1812	131.1288	5	0	150	0.6579	0.4723	2.8656	1.2266
131.1463	23.0001	91	4	200	2	40	1	0	0	0	1	0	0	0.6575	0	1	0	0	0	131.1463	134.163	134.163	148.2243	138.8459	148.2122	154.1464	6	100	100	0.5805	0.509	1.2264	1.426
154.1661	23.0002	92	4	150	2	90	1	0	0	0	2	0	0	0.7342	0	2	0	0	0	154.1661	157.1819	157.182	171.2416	161.94	171.2296	177.1663	6	150	0	0.8384	0.292	1.2396	1.6393
177.1841	25.0001	93	4	200	1	75	1	1.0335	0	2	0	0	0	0	0	0	2	0	0	177.1841	178.2591	178.2652	194.2589	187.2249	194.2469	202.1842	8	100	100	0.1557	0.0684	1.2393	1.6263
202.2021	22.0001	94	4	150	1	80	1	2.4699	0	1	0	0	0	0	0	0	1	0	0	202.2021	204.6988	204.7077	219.2753	212.2412	219.2633	224.2022	5	150	0	0.4234	0.5151	1.2393	1.8391
