onset	duration	Trials	Runs	Cond_1_200_2_150_HasBeenChangedTo200_150	order_1_first_2_lastForThisIdPerson_	ProbR	ID_1_PlayerA_2_playerB_	AnsTimePAS1_rtStage1_playerA___3Seconds	AnsTimePBS1	PAChoS1_1Left_2Right_	PBChoS1	MissingPAS1_0None_	MissingPBS1	AnsTimePAS2	AnsTimePBS2	PAChoS2	PBChoS2	MissingPAS2	MissingPBS2	TriOn	DecEndS1	IsiOnS1	FbOnS1	DecEndS2	FbOffS2	TriEnd	Jitter	rwPA_rewardToPa_	rwPB	randa	randb
0.0002	20.0007	29	2	200	1	40	2	0	0	1	0	0	0	0	0.5368	0	1	0	0	0.0002	3.0218	3.0218	17.0839	7.5849	17.0726	20.0009	3	100	100	0.6093	0.5562
20.0231	20.0007	30	2	150	1	60	2	0	0	1	0	0	0	0	0.4781	0	2	0	0	20.0231	23.0418	23.0418	37.1024	27.5446	37.0906	40.0238	3	150	0	0.8624	0.9777
40.0437	24.0007	31	2	200	2	40	2	0	1.3351	0	1	0	0	0	0	1	0	0	0	40.0437	41.4095	41.4202	57.1208	50.0872	57.109	64.0444	7	0	0	0.387	0.9365
64.0648	22.0007	32	2	150	2	70	2	0	1.631	0	2	0	0	0	0	2	0	0	0	64.0648	65.7223	65.7302	81.1377	74.1041	81.1259	86.0655	5	150	0	0.2155	0.2635
86.0884	21.0034	33	2	200	1	10	2	0	0	1	0	0	0	0	0.5391	0	1	0	0	86.0884	89.1107	89.1107	103.1825	93.6859	103.1713	107.0918	4	100	100	0.4946	0.3662
107.1278	26.0007	34	2	150	1	25	2	0	0	2	0	0	0	0	1.2296	0	2	0	0	107.1278	110.1469	110.1469	124.1999	115.3938	124.188	133.1285	9	150	0	0.6515	0.6494
133.1482	22.0001	35	2	200	2	70	2	0	1.1117	0	2	0	0	0	0	2	0	0	0	133.1482	134.2945	134.3022	150.216	143.1819	150.204	155.1483	5	100	100	0.9488	0.5226
155.1656	22.0001	36	2	150	2	35	2	0	1.4654	0	2	0	0	0	0	2	0	0	0	155.1656	156.6656	156.6793	172.2337	165.1996	172.2218	177.1657	5	0	150	0.7967	0.5675
177.1833	23.0001	37	2	200	1	20	2	0	0	1	0	0	0	0	0.6328	0	1	0	0	177.1833	180.2007	180.2008	194.2646	184.8617	194.2527	200.1834	6	100	100	0.0052	0.6745
200.2027	22.0001	38	2	150	1	80	2	0	0	2	0	0	0	0	0.7058	0	2	0	0	200.2027	203.22	203.22	217.2819	207.9519	217.27	222.2028	5	0	150	0.2028	0.6775
222.2204	21.0001	39	2	200	2	90	2	0	1.4321	0	2	0	0	0	0	2	0	0	0	222.2204	223.6988	223.7057	239.2862	232.2523	239.2742	243.2205	4	100	100	0.6702	0.0349
243.239	23.0001	40	2	150	2	30	2	0	1.0132	0	1	0	0	0	0	1	0	0	0	243.239	244.2846	244.2972	260.3177	253.2837	260.3056	266.2391	6	0	150	0.3698	0.7722
266.2589	25.0001	41	2	200	1	75	2	0	0	2	0	0	0	0	0.6001	0	2	0	0	266.2589	269.275	269.275	283.3349	273.8993	283.3229	291.259	8	0	0	0.4082	0.9245
291.277	21.0001	42	2	150	1	85	2	0	0	2	0	0	0	0	0.8186	0	2	0	0	291.277	294.2932	294.2932	308.3381	299.1345	308.326	312.2771	4	0	150	0.8866	0.589
312.2972	22.0001	43	2	200	2	10	2	0	1.5223	0	1	0	0	0	0	1	0	0	0	312.2972	313.8588	313.8688	329.3694	322.3353	329.3575	334.2973	5	100	100	0.9762	0.7818
334.3154	23.0001	44	2	150	2	85	2	0	1.528	0	1	0	0	0	0	1	0	0	0	334.3154	335.8688	335.8731	351.3737	344.3397	351.3617	357.3155	6	0	150	0.5893	0.9133
357.3334	23.0002	45	2	200	1	15	2	0	0	1	0	0	0	0	0.8335	0	1	0	0	357.3334	360.3499	360.3499	374.391	365.2154	374.3791	380.3336	6	100	100	0.9111	0.6735
380.3538	25.0001	46	2	150	1	65	2	0	0	2	0	0	0	0	0.8556	0	1	0	0	380.3538	383.3709	383.3709	397.4349	388.2548	397.4229	405.3539	8	150	0	0.9006	0.0478
405.3718	19	47	2	200	2	25	2	0	1.3213	0	1	0	0	0	0	1	0	0	0	405.3718	406.7265	406.7375	422.438	415.4039	422.4261	424.3718	2	100	100	0.7737	0.0193
424.3897	23.0001	48	2	150	2	90	2	0	1.6652	0	2	0	0	0	0	1	0	0	0	424.3897	426.0893	426.1029	441.4702	434.4361	441.4583	447.3898	6	0	150	0.3181	0.3737
447.4098	21.0001	49	2	200	1	65	2	0	0	2	0	0	0	0	1.0456	0	2	0	0	447.4098	450.4251	450.4251	464.4742	455.5241	464.4622	468.4099	4	100	100	0.9731	0.1189
468.431	24.0001	50	2	150	1	15	2	0	0	1	0	0	0	0	0.6497	0	1	0	0	468.431	471.4471	471.4471	485.5056	476.1195	485.4937	492.4311	7	0	150	0.2242	0.0271
492.451	24.0001	51	2	200	2	60	2	0	1.3051	0	2	0	0	0	0	2	0	0	0	492.451	493.7948	493.8085	509.5224	502.4881	509.5104	516.4511	7	0	0	0.9226	0.816
516.4693	24.0001	52	2	150	2	30	2	0	1.2902	0	2	0	0	0	0	2	0	0	0	516.4693	517.783	517.7988	533.5392	526.5051	533.5273	540.4694	7	0	150	0.1716	0.8357
540.4876	23	53	2	200	1	75	2	0	0	2	0	0	0	0	0.7704	0	2	0	0	540.4876	543.5034	543.5034	557.5561	548.2906	557.5442	563.4876	6	100	100	0.7601	0.1865
563.5026	23	54	2	150	1	80	2	0	0	2	0	0	0	0	0.7509	0	1	0	0	563.5026	566.5134	566.5134	580.5734	571.2884	580.5614	586.5026	6	150	0	0.618	0.6101
586.5209	20	55	2	200	2	20	2	0	1.0373	0	1	0	0	0	0	1	0	0	0	586.5209	587.5816	587.5969	603.5906	596.5566	603.5787	606.5209	3	100	100	0.6894	0.5208
606.5393	24.0001	56	2	150	2	35	2	0	1.2422	0	1	0	0	0	0	2	0	0	0	606.5393	607.8182	607.8286	623.6091	616.5751	623.5971	630.5394	7	0	150	0.0853	0.8021
