onset	duration	Trials	Runs	Cond_1_200_2_150_HasBeenChangedTo200_150	order_1_first_2_lastForThisIdPerson_	ProbR	ID_1_PlayerA_2_playerB_	AnsTimePAS1_rtStage1_playerA___3Seconds	AnsTimePBS1	PAChoS1_1Left_2Right_	PBChoS1	MissingPAS1_0None_	MissingPBS1	AnsTimePAS2	AnsTimePBS2	PAChoS2	PBChoS2	MissingPAS2	MissingPBS2	TriOn	DecEndS1	IsiOnS1	FbOnS1	DecEndS2	FbOffS2	TriEnd	Jitter	rwPA_rewardToPa_	rwPB	randa	randb	Unknown1	Unknown2
0.0001	22.0121	85	4	200	1	60	2	0	0	1	0	0	0	0	0.6928	0	1	0	0	0.0001	3.0073	3.0073	17.035	7.7169	17.035	22.0122	5	0	0	0.7531	0.7061	1.4968	1.8793
22.0196	22.0123	86	4	150	1	35	2	0	0	2	0	0	0	0	0.7239	0	1	0	0	22.0196	25.0268	25.0268	39.0534	29.7665	39.0534	44.0319	5	150	0	0.3196	0.8338	1.5757	1.7327
44.0385	20.0122	87	4	200	2	85	2	0	0.841	0	2	0	0	0	0	2	0	0	0	44.0385	44.8915	44.9034	61.072	54.0556	61.072	64.0507	3	100	100	0.4463	0.3552	1.26	1.3195
64.057	22.0123	88	4	150	2	20	2	0	0.7793	0	1	0	0	0	0	2	0	0	0	64.057	64.8491	64.8561	81.0913	74.0694	81.0913	86.0693	5	0	150	0.8632	0.0142	1.7188	1.8393
86.0763	23.0126	89	4	200	1	90	2	0	0	2	0	0	0	0	0.7203	0	2	0	0	86.0763	89.0851	89.0851	103.1237	93.8195	103.1235	109.0889	6	100	100	0.4652	0.5784	2.3468	1.706
109.0989	22.0124	90	4	150	1	80	2	0	0	1	0	0	0	0	0.8092	0	2	0	0	109.0989	112.1055	112.1055	126.128	116.9265	126.128	131.1113	5	0	150	0.6579	0.4723	1.5719	1.5861
131.1168	23.0122	91	4	200	2	40	2	0	0.9496	0	1	0	0	0	0	1	0	0	0	131.1168	132.088	132.098	148.1466	141.132	148.1466	154.129	6	100	100	0.5805	0.509	1.7247	1.5861
154.1351	23.0122	92	4	150	2	90	2	0	0.8037	0	1	0	0	0	0	1	0	0	0	154.1351	154.9604	154.9696	171.1648	164.1495	171.1648	177.1473	6	0	150	0.8384	0.292	1.5389	2.2259
177.1531	25.0122	93	4	200	1	75	2	0	0	2	0	0	0	0	0.6478	0	2	0	0	177.1531	180.1596	180.1598	194.183	184.8203	194.183	202.1653	8	100	100	0.1557	0.0684	1.6122	1.5194
202.1708	22.0122	94	4	150	1	80	2	0	0	2	0	0	0	0	0.7199	0	2	0	0	202.1708	205.1772	205.1772	219.2138	209.9097	219.2138	224.183	5	0	150	0.4234	0.5151	2.1992	1.8793
224.1889	26.0122	95	4	200	2	20	2	0	0.7706	0	1	0	0	0	0	1	0	0	0	224.1889	224.9817	224.9973	241.2324	234.2096	241.2324	250.2011	9	100	100	0.6406	0.7541	1.8398	1.5461
250.2071	24.0123	96	4	150	2	35	2	0	1.0725	0	1	0	0	0	0	1	0	0	0	250.2071	251.3009	251.3076	267.2362	260.2199	267.2362	274.2194	7	150	0	0.5468	0.6335	2.3928	1.9726
274.225	23.0123	97	4	200	1	40	2	0	0	1	0	0	0	0	0.6936	0	1	0	0	274.225	277.232	277.232	291.2673	281.9371	291.2673	297.2373	6	100	100	0.2285	0.1595	1.5179	1.4128
297.2433	21.0123	98	4	150	1	15	2	0	0	2	0	0	0	0	0.9647	0	1	0	0	297.2433	300.2501	300.2501	314.2722	305.2263	314.2722	318.2556	4	0	150	0.1834	0.4431	1.5716	2.4791
318.2615	24.0122	99	4	200	2	75	2	0	1.0464	0	2	0	0	0	0	2	0	0	0	318.2615	319.3162	319.3226	335.2912	328.2725	335.2912	342.2737	7	100	100	0.9354	0.4902	1.5289	1.4395
342.2792	24.0123	100	4	150	2	10	2	0	1.0658	0	1	0	0	0	0	1	0	0	0	342.2792	343.3669	343.3804	359.3224	352.2983	359.3223	366.2915	7	150	0	0.1201	0.4497	1.4276	1.4661
366.2976	21.0122	101	4	200	1	65	2	0	0	1	0	0	0	0	1.3132	0	1	0	0	366.2976	369.3039	369.3039	383.3269	374.6297	383.3269	387.3098	4	0	0	0.4006	0.8435	1.6255	1.5061
387.316	21.0122	102	4	150	1	25	2	0	0	1	0	0	0	0	0.6698	0	1	0	0	387.316	390.322	390.322	404.3458	395.0052	404.3458	408.3282	4	0	150	0.5671	0.7424	1.6665	1.6927
408.3339	25.0122	103	4	200	2	10	2	0	0.7244	0	1	0	0	0	0	1	0	0	0	408.3339	409.0676	409.0763	425.3648	418.3482	425.3648	433.3461	8	100	100	0.3624	0.5683	1.4868	2.0126
433.3524	24.0122	104	4	150	2	70	2	0	0.8816	0	2	0	0	0	0	2	0	0	0	433.3524	434.2425	434.2537	450.3822	443.3686	450.3822	457.3646	7	150	0	0.125	0.2	2.4701	2.1592
457.3708	21.0123	105	4	200	1	25	2	0	0	1	0	0	0	0	0.6214	0	1	0	0	457.3708	460.3764	460.3764	474.4001	465.0107	474.4001	478.3831	4	0	0	0.5543	0.9767	1.6265	2.2392
478.3886	24.0122	106	4	150	1	15	2	0	0	1	0	0	0	0	0.4681	0	1	0	0	478.3886	481.3948	481.3948	495.419	485.8764	495.419	502.4008	7	0	150	0.1922	0.686	2.2401	1.6394
502.407	24.0123	107	4	200	2	85	2	0	0.6137	0	2	0	0	0	0	2	0	0	0	502.407	503.0292	503.0418	519.4502	512.4243	519.4502	526.4193	7	100	100	0.466	0.2755	2.3492	2.4658
526.4256	24.0122	108	4	150	2	30	2	0	1.0726	0	2	0	0	0	0	1	0	0	0	526.4256	527.5196	527.5261	543.4547	536.4372	543.4547	550.4378	7	0	150	0.9492	0.9329	2.1808	2.1859
550.4436	19.0122	109	4	200	1	65	2	0	0	2	0	0	0	0	0.7417	0	2	0	0	550.4436	553.4497	553.4497	567.4726	558.2039	567.4726	569.4558	2	100	100	0.8982	0.1699	2.772	2.3325
569.462	21.0122	110	4	150	1	30	2	0	0	2	0	0	0	0	0.6608	0	1	0	0	569.462	572.468	572.468	586.4923	577.1423	586.4922	590.4742	4	0	150	0.9304	0.3336	2.3333	2.2258
590.4802	20.0123	111	4	200	2	60	2	0	0.906	0	1	0	0	0	0	1	0	0	0	590.4802	591.3957	591.4093	607.5245	600.4989	607.5245	610.4925	3	0	0	0.654	0.051	1.6825	1.666
610.498	20.0123	112	4	150	2	70	2	0	0.8585	0	1	0	0	0	0	1	0	0	0	610.498	611.3675	611.3753	627.5305	620.5115	627.5305	630.5103	3	0	150	0.2216	0.7582	2.3156	2.1992
