onset	duration	Trials	Runs	Cond_1_200_2_150_HasBeenChangedTo200_150	order_1_first_2_lastForThisIdPerson_	ProbR	ID_1_PlayerA_2_playerB_	AnsTimePAS1_rtStage1_playerA___3Seconds	AnsTimePBS1	PAChoS1_1Left_2Right_	PBChoS1	MissingPAS1_0None_	MissingPBS1	AnsTimePAS2	AnsTimePBS2	PAChoS2	PBChoS2	MissingPAS2	MissingPBS2	TriOn	DecEndS1	IsiOnS1	FbOnS1	DecEndS2	FbOffS2	TriEnd	Jitter	rwPA_rewardToPa_	rwPB	randa	randb	Unknown1	Unknown2
0	23.0003	1	1	200	1	25	1	0.7569	0	1	0	0	0	0	0	0	1	0	0	0	0.773	0.7891	17.0632	10.0286	17.0512	23.0003	6	100	100	0.5212	0.7195	1.8793	2.0259
23.007	23.0002	2	1	150	1	30	1	0.7653	0	2	0	0	0	0	0	0	2	0	0	23.007	23.7865	23.7941	40.0548	33.0202	40.0427	46.0072	6	150	0	0.1617	0.4387	2.4392	1.826
46.0127	23.0003	3	1	200	2	10	1	0	0	0	1	0	0	2.0384	0	2	0	0	0	46.0127	49.0188	49.0188	63.0731	55.0752	63.061	69.013	6	0	0	0.7928	0.9833	2.2392	2.6257
69.0184	21.0002	4	1	150	2	20	1	0	0	0	1	0	0	1.5611	0	2	0	0	0	69.0184	72.0247	72.0248	86.0781	77.603	86.0659	90.0186	4	0	150	0.5201	0.1161	1.826	1.8127
90.0247	23.0008	5	1	200	1	75	1	1.5029	0	2	0	0	0	0	0	0	2	0	0	90.0247	91.5397	91.5561	107.0839	100.0496	107.0719	113.0255	6	100	100	0.3839	0.5962	2.4391	2.6257
113.0348	20.0002	6	1	150	1	85	1	1.4794	0	1	0	0	0	0	0	0	1	0	0	113.0348	114.5345	114.5477	130.102	123.0673	130.0898	133.035	3	150	0	0.8649	0.3192	2.0259	1.8127
133.0398	24	7	1	200	2	65	1	0	0	0	2	0	0	0.5474	0	2	0	0	0	133.0398	136.046	136.0461	150.108	140.6192	150.0958	157.0398	7	0	0	0.1769	0.9851	2.4391	2.4258
157.0451	25	8	1	150	2	85	1	0	0	0	2	0	0	0.6191	0	1	0	0	0	157.0451	160.0503	160.0503	174.0993	164.6954	174.0871	182.0451	8	0	150	0.2606	0.4692	2.4258	2.2125
182.0502	23	9	1	200	1	70	1	2.0757	0	2	0	0	0	0	0	0	2	0	0	182.0502	184.1456	184.1624	199.1169	192.0822	199.1047	205.0502	6	0	0	0.5623	0.7808	2.4257	2.2125
205.0551	23	10	1	150	1	15	1	1.3785	0	2	0	0	0	0	0	0	1	0	0	205.0551	206.4532	206.4608	222.1085	215.0736	222.0963	228.0551	6	0	150	0.6078	0.4139	3.0389	2.4124
228.0602	23	11	1	200	2	60	1	0	0	0	2	0	0	0.9964	0	2	0	1	1	228.0602	231.0664	231.0665	248.6721	236.087	248.6599	251.0602	6	0	0	0.8385	0.1088	2.2258	7.5439
251.065	24.0001	12	1	150	2	20	1	0	0	0	1	0	0	1.0292	0	2	0	0	0	251.065	254.0705	254.0705	268.1184	259.1248	268.1062	275.0651	7	0	150	0.4622	0.5047	2.2258	2.4125
275.0698	24.0001	13	1	200	1	80	1	1.9463	0	2	0	0	0	0	0	0	2	0	0	275.0698	277.0357	277.0485	292.123	285.0882	292.1108	299.0699	7	100	100	0.4586	0.2929	2.4258	2.2125
299.0752	21	14	1	150	1	40	1	2.2183	0	2	0	0	0	0	0	0	1	0	0	299.0752	301.3124	301.3196	316.1275	309.0928	316.1153	320.0752	4	150	0	0.0916	0.8384	2.0259	2.2125
320.0799	25	15	1	200	2	30	1	0	0	0	1	0	0	0.4495	0	1	0	0	0	320.0799	323.0854	323.0854	337.1332	327.5598	337.121	345.0799	8	100	100	0.1196	0.5065	2.2259	2.4125
345.0849	24.0001	16	1	150	2	10	1	0	0	0	1	0	0	1.7389	0	1	0	0	0	345.0849	348.0906	348.0906	362.1374	353.8535	362.1252	369.085	7	150	0	0.7053	0.5028	2.4258	2.0126
369.0905	19	17	1	200	1	80	1	1.9028	0	2	0	0	0	0	0	0	2	0	0	369.0905	371.0111	371.0142	386.142	379.1072	386.1298	388.0905	2	0	0	0.2405	0.9676	2.4258	3.0256
388.0952	22.0001	18	1	150	1	75	1	1.6233	0	1	0	0	0	0	0	0	1	0	0	388.0952	389.7381	389.7807	405.1618	398.127	405.1496	410.0953	5	150	0	0.0304	0.0855	2.4258	2.0126
410.1	24	19	1	200	2	65	1	0	0	0	2	0	0	0.7289	0	2	0	0	0	410.1	413.1051	413.1051	427.1538	417.86	427.1415	434.1	7	0	0	0.4122	0.8945	2.0259	2.2125
434.1053	21	20	1	150	2	60	1	0	0	0	2	0	0	1.0179	0	1	0	0	0	434.1053	437.1104	437.1104	451.1583	442.1534	451.1461	455.1053	4	0	150	0.8023	0.2692	3.6387	3.8253
455.1106	22	21	1	200	1	90	1	1.6839	0	2	0	0	0	0	0	0	2	0	0	455.1106	456.8141	456.8229	472.164	465.1292	472.1518	477.1106	5	100	100	0.2534	0.4844	2.2258	2.8257
477.1157	22	22	1	150	1	90	1	1.7533	0	1	0	0	0	0	0	0	2	0	0	477.1157	478.889	478.8949	494.1693	487.1345	494.1571	499.1157	5	0	150	0.0492	0.276	2.4258	2.2125
499.1213	22	23	1	200	2	15	1	0	0	0	1	0	0	0.838	0	1	0	0	0	499.1213	502.1267	502.1267	516.188	506.99	516.1757	521.1213	5	100	100	0.1339	0.2056	2.4258	2.2126
521.1267	22.0001	24	1	150	2	25	1	0	0	0	1	0	0	0.7814	0	1	0	0	0	521.1267	524.1321	524.1321	538.18	528.9384	538.1678	543.1268	5	150	0	0.5054	0.1239	2.4258	2.2126
543.1318	20	25	1	200	1	70	1	1.3918	0	2	0	0	0	0	0	0	2	0	0	543.1318	544.5432	544.551	560.1853	553.1505	560.173	563.1318	3	100	100	0.8368	0.6167	2.0259	2.0126
563.1373	20	26	1	150	1	35	1	1.4993	0	2	0	0	0	0	0	0	1	0	0	563.1373	564.6568	564.6636	580.1913	573.1564	580.1791	583.1373	3	0	150	0.0569	0.0408	2.4258	2.8256
583.1427	21	27	1	200	2	40	1	0	0	0	1	0	0	0.6301	0	1	0	0	0	583.1427	586.1485	586.1485	600.1974	590.8044	600.1851	604.1427	4	100	100	0.291	0.4634	2.2258	2.0126
604.1476	26.0001	28	1	150	2	35	1	0	0	0	1	0	0	1.0916	0	1	0	0	0	604.1476	607.1529	607.1529	621.203	612.2583	621.1908	630.1477	9	0	150	0.2717	0.9382	2.6257	2.0126
