onset	duration	Trials	Runs	Cond_1_200_2_150_HasBeenChangedTo200_150	order_1_first_2_lastForThisIdPerson_	ProbR	ID_1_PlayerA_2_playerB_	AnsTimePAS1_rtStage1_playerA___3Seconds	AnsTimePBS1	PAChoS1_1Left_2Right_	PBChoS1	MissingPAS1_0None_	MissingPBS1	AnsTimePAS2	AnsTimePBS2	PAChoS2	PBChoS2	MissingPAS2	MissingPBS2	TriOn	DecEndS1	IsiOnS1	FbOnS1	DecEndS2	FbOffS2	TriEnd	Jitter	rwPA_rewardToPa_	rwPB	randa	randb	Unknown1	Unknown2
0.0004	23.0014	1	1	200	1	25	1	0.6364	0	1	0	0	0	0	0	0	1	0	0	0.0004	0.6784	0.6947	17.0884	10.0415	17.0772	23.0018	6	100	100	0.5212	0.7195	1.1192	1.2265
23.0234	23.0008	2	1	150	1	30	1	0	0	0	0	1	0	0	0	0	0	0	0	23.0234	26.0531	26.0576	40.0522	-11049.3333	-11049.3333	46.0242	6	0	0	0.1617	0.4387	1.6797	100
46.0445	23.0007	3	1	200	2	10	1	0	0	0	1	0	0	1.9769	0	1	0	0	0	46.0445	49.0732	49.0732	63.136	55.0906	63.1243	69.0452	6	0	0	0.7928	0.9833	2.4791	1.4661
69.0666	21.0007	4	1	150	2	20	1	0	0	0	1	0	0	1.381	0	2	0	0	0	69.0666	72.0808	72.0809	86.1266	77.4852	86.1147	90.0673	4	0	150	0.5201	0.1161	1.4398	1.6394
90.0872	23.0039	5	1	200	1	75	1	0.9991	0	2	0	0	0	0	0	0	2	0	0	90.0872	91.1243	91.1377	107.1717	100.1401	107.1594	113.0911	6	100	100	0.3839	0.5962	1.4527	1.4265
113.1322	20.0006	6	1	150	1	85	1	1.4089	0	2	0	0	0	0	0	0	1	0	0	113.1322	114.5778	114.5946	130.2283	123.1811	130.2168	133.1328	3	150	0	0.8649	0.3192	1.4393	2.6662
133.1486	24.0001	7	1	200	2	65	1	0	0	0	2	0	0	0.5403	0	2	0	0	0	133.1486	136.1655	136.1655	150.2069	140.7247	150.1948	157.1487	7	0	0	0.1769	0.9851	1.4397	1.4394
157.1659	25.0001	8	1	150	2	85	1	0	0	0	2	0	0	1.6069	0	2	0	0	0	157.1659	160.1828	160.1828	174.2236	165.8081	174.2116	182.166	8	150	0	0.2606	0.4692	1.4397	1.2261
182.1848	23.0001	9	1	200	1	70	1	0.7568	0	2	0	0	0	0	0	0	2	0	0	182.1848	182.9772	182.9932	199.2667	192.2327	199.2547	205.1849	6	0	0	0.5623	0.7808	1.4394	1.4264
205.2015	23.0002	10	1	150	1	15	1	2.0772	0	1	0	0	0	0	0	0	2	0	0	205.2015	207.3148	207.3297	222.2706	215.2365	222.2585	228.2017	6	150	0	0.6078	0.4139	1.4394	1.4263
