onset	duration	Trials	Runs	Cond_1_200_2_150_HasBeenChangedTo200_150	order_1_first_2_lastForThisIdPerson_	ProbR	ID_1_PlayerA_2_playerB_	AnsTimePAS1_rtStage1_playerA___3Seconds	AnsTimePBS1	PAChoS1_1Left_2Right_	PBChoS1	MissingPAS1_0None_	MissingPBS1	AnsTimePAS2	AnsTimePBS2	PAChoS2	PBChoS2	MissingPAS2	MissingPBS2	TriOn	DecEndS1	IsiOnS1	FbOnS1	DecEndS2	FbOffS2	TriEnd	Jitter	rwPA_rewardToPa_	rwPB	randa	randb
0.0002	20.0007	57	3	200	1	40	1	1.0024	0	1	0	0	0	0	0	0	1	0	0	0.0002	1.0368	1.0468	17.0807	10.0469	17.0694	20.0009	3	0	0	0.0498	0.8698
20.0293	23.0008	58	3	150	1	65	1	0.6505	0	2	0	0	0	0	0	0	1	0	0	20.0293	20.7165	20.7322	37.1125	30.0788	37.1008	43.0301	6	150	0	0.8838	0.9579
43.0543	23.0007	59	3	200	2	10	1	0	0	0	1	0	0	0.5812	0	1	0	0	0	43.0543	46.0686	46.0686	60.1166	50.6755	60.1047	66.055	6	100	100	0.7252	0.4259
66.0771	23.0008	60	3	150	2	90	1	0	0	0	2	0	0	0.4953	0	1	0	0	0	66.0771	69.0953	69.0953	83.1472	73.6063	83.1354	89.0779	6	0	150	0.0151	0.743
89.1009	22.0035	61	3	200	1	40	1	0.8453	0	1	0	0	0	0	0	0	1	0	0	89.1009	89.9901	89.9974	106.1916	99.1456	106.1804	111.1044	5	100	100	0.1432	0.0607
111.1384	24.0007	62	3	150	1	70	1	0.6233	0	2	0	0	0	0	0	0	2	0	0	111.1384	111.7855	111.8019	128.2088	121.1747	128.1967	135.1391	7	150	0	0.354	0.8262
135.1594	26.0001	63	3	200	2	25	1	0	0	0	1	0	0	0.3905	0	1	0	0	0	135.1594	138.1757	138.1757	152.2391	142.5938	152.2271	161.1595	9	100	100	0.1016	0.1
161.1815	22.0001	64	3	150	2	65	1	0	0	0	2	0	0	0.6702	0	2	0	0	0	161.1815	164.1989	164.1989	178.2552	168.8897	178.2431	183.1816	5	150	0	0.7802	0.0369
183.2009	21.0001	65	3	200	1	35	1	0.7208	0	1	0	0	0	0	0	0	1	0	0	183.2009	183.9606	183.9727	200.2729	193.239	200.2609	204.201	4	0	0	0.9028	0.7488
204.2202	25.0001	66	3	150	1	80	1	0.7576	0	2	0	0	0	0	0	0	1	0	0	204.2202	205.0154	205.0307	221.2911	214.2568	221.279	229.2203	8	150	0	0.4646	0.2712
229.2417	21.0001	67	3	200	2	90	1	0	0	0	2	0	0	0.3716	0	2	0	0	0	229.2417	232.2584	232.2585	246.3209	236.6568	246.3089	250.2418	4	100	100	0.7846	0.7926
250.2617	24.0001	68	3	150	2	85	1	0	0	0	2	0	0	0.4112	0	2	0	0	0	250.2617	253.2751	253.2751	267.3258	257.701	267.3137	274.2618	7	0	150	0.5947	0.8741
274.2823	24.0002	69	3	200	1	15	1	0.9405	0	1	0	0	0	0	0	0	1	0	0	274.2823	275.2499	275.2555	291.356	284.3218	291.344	298.2825	7	100	100	0.2241	0.1368
298.3031	21.0001	70	3	150	1	60	1	0.4881	0	2	0	0	0	0	0	0	1	0	0	298.3031	298.8279	298.8326	315.3728	308.3387	315.3609	319.3032	4	150	0	0.8541	0.2953
319.3229	24.0001	71	3	200	2	75	1	0	0	0	2	0	0	0.5601	0	2	0	0	0	319.3229	322.3361	322.3361	336.391	326.9287	336.379	343.323	7	100	100	0.1024	0.5099
343.3382	22.0001	72	3	150	2	20	1	0	0	0	2	0	0	0.4659	0	2	0	0	0	343.3382	346.3453	346.3453	360.4079	350.8647	360.3959	365.3383	5	0	150	0.125	0.952
365.3582	22	73	3	200	1	75	1	0.6349	0	2	0	0	0	0	0	0	2	0	0	365.3582	366.0277	366.032	382.4256	375.3916	382.4137	387.3582	5	0	0	0.5358	0.8588
387.3789	24.0001	74	3	150	1	25	1	0.6222	0	1	0	0	0	0	0	0	2	0	0	387.3789	388.0326	388.0365	404.4434	397.4093	404.4313	411.379	7	150	0	0.9712	0.3404
411.4014	21.0001	75	3	200	2	30	1	0	0	0	1	0	0	0.4883	0	1	0	0	0	411.4014	414.4191	414.4191	428.4603	418.9262	428.4483	432.4015	4	100	100	0.8086	0.5485
432.4223	22.0001	76	3	150	2	10	1	0	0	0	2	0	0	0.4671	0	1	0	0	0	432.4223	435.4345	435.4345	449.5052	439.9233	449.493	454.4224	5	150	0	0.2085	0.8378
454.443	20.0001	77	3	200	1	70	1	0.6654	0	2	0	0	0	0	0	0	2	0	0	454.443	455.1423	455.1558	471.5228	464.4888	471.5108	474.4431	3	100	100	0.0407	0.5209
474.4653	25.0001	78	3	150	1	60	1	0.7447	0	1	0	0	0	0	0	0	2	0	0	474.4653	475.2397	475.2544	491.5415	484.5073	491.5294	499.4654	8	0	150	0.6493	0.1996
499.486	20.0001	79	3	200	2	20	1	0	0	0	1	0	0	0.5004	0	1	0	0	0	499.486	502.5019	502.5019	516.5446	507.0227	516.5325	519.4861	3	100	100	0.7964	0.7426
519.5084	23.0001	80	3	150	2	35	1	0	0	0	2	0	0	0.4636	0	1	0	0	0	519.5084	522.5219	522.5219	536.5765	527.0043	536.5645	542.5085	6	0	150	0.4816	0.7059
542.5288	23.0001	81	3	200	1	30	1	1.1066	0	1	0	0	0	0	0	0	1	0	0	542.5288	543.6672	543.6799	559.6072	552.5731	559.5951	565.5289	6	100	100	0.9518	0.5107
565.5494	19.0001	82	3	150	1	80	1	0.5981	0	2	0	0	0	0	0	0	2	0	0	565.5494	566.176	566.1908	582.6244	575.5903	582.6125	584.5495	2	0	150	0.2248	0.2741
584.5721	23.0001	83	3	200	2	15	1	0	0	0	1	0	0	0.5252	0	1	0	0	0	584.5721	587.5888	587.5888	601.6567	592.146	601.6445	607.5722	6	100	100	0.9208	0.276
607.5924	23	84	3	150	2	85	1	0	0	0	2	0	0	0.4389	0	1	0	0	0	607.5924	610.6043	610.6043	624.6607	615.0637	624.6486	630.5924	6	0	150	0.2903	0.1677
