onset	duration	Trials	Runs	Cond_1_200_2_150_HasBeenChangedTo200_150	order_1_first_2_lastForThisIdPerson_	ProbR	ID_1_PlayerA_2_playerB_	AnsTimePAS1_rtStage1_playerA___3Seconds	AnsTimePBS1	PAChoS1_1Left_2Right_	PBChoS1	MissingPAS1_0None_	MissingPBS1	AnsTimePAS2	AnsTimePBS2	PAChoS2	PBChoS2	MissingPAS2	MissingPBS2	TriOn	DecEndS1	IsiOnS1	FbOnS1	DecEndS2	FbOffS2	TriEnd	Jitter	rwPA_rewardToPa_	rwPB	randa	randb
0.0002	22.0007	85	4	200	1	60	1	1.0607	0	2	0	0	0	0	0	0	2	0	0	0.0002	1.1022	1.1075	17.0748	10.0411	17.0635	22.0009	5	0	0	0.7531	0.7061
22.0352	22.0007	86	4	150	1	35	1	1.7521	0	1	0	0	0	0	0	0	2	0	0	22.0352	23.8248	23.8316	39.1058	32.0721	39.0939	44.0359	5	150	0	0.3196	0.8338
44.0577	20.0007	87	4	200	2	85	1	0	0	0	2	0	0	0.4803	0	2	0	0	0	44.0577	47.0765	47.0765	61.1369	51.5814	61.125	64.0584	3	100	100	0.4463	0.3552
64.0825	22.0007	88	4	150	2	20	1	0	0	0	2	0	0	0.7238	0	1	0	0	0	64.0825	67.1007	67.1008	81.1554	71.8434	81.1436	86.0832	5	150	0	0.8632	0.0142
86.1057	23.0033	89	4	200	1	90	1	0.904	0	2	0	0	0	0	0	0	2	0	0	86.1057	87.0575	87.0726	103.2136	96.168	103.2023	109.109	6	100	100	0.4652	0.5784
109.1442	22.0007	90	4	150	1	80	1	1.9577	0	2	0	0	0	0	0	0	1	0	0	109.1442	111.1282	111.143	126.217	119.1831	126.205	131.1449	5	150	0	0.6579	0.4723
131.1668	23.0001	91	4	200	2	40	1	0	0	0	1	0	0	0.6039	0	1	0	0	0	131.1668	134.1843	134.1843	148.2482	138.8161	148.2361	154.1669	6	100	100	0.5805	0.509
154.1861	23.0001	92	4	150	2	90	1	0	0	0	1	0	0	1.3391	0	2	0	0	0	154.1861	157.2022	157.2022	171.2521	162.5687	171.2401	177.1862	6	150	0	0.8384	0.292
177.2055	25.0001	93	4	200	1	75	1	0.5915	0	2	0	0	0	0	0	0	2	0	0	177.2055	177.8412	177.8492	194.2827	187.2488	194.2708	202.2056	8	100	100	0.1557	0.0684
202.2274	22.0001	94	4	150	1	80	1	1.6435	0	2	0	0	0	0	0	0	1	0	0	202.2274	203.9099	203.9185	219.2992	212.2652	219.2872	224.2275	5	150	0	0.4234	0.5151
224.2475	26.0001	95	4	200	2	20	1	0	0	0	1	0	0	0.4695	0	1	0	0	0	224.2475	227.2649	227.265	241.317	231.7507	241.3049	250.2476	9	100	100	0.6406	0.7541
250.2694	24.0001	96	4	150	2	35	1	0	0	0	2	0	0	1.1548	0	1	0	0	0	250.2694	253.2864	253.2864	267.3332	258.4654	267.3211	274.2695	7	150	0	0.5468	0.6335
274.2894	23.0001	97	4	200	1	40	1	0.8582	0	1	0	0	0	0	0	0	1	0	0	274.2894	275.1753	275.1829	291.3633	284.3293	291.3514	297.2895	6	100	100	0.2285	0.1595
297.3094	21.0001	98	4	150	1	15	1	1.7586	0	2	0	0	0	0	0	0	2	0	0	297.3094	299.1066	299.1199	314.3807	307.3466	314.3686	318.3095	4	150	0	0.1834	0.4431
318.3313	24	99	4	200	2	75	1	0	0	0	2	0	0	0.7957	0	2	0	0	0	318.3313	321.3473	321.3474	335.3855	326.1587	335.3735	342.3313	7	100	100	0.9354	0.4902
342.3509	24.0001	100	4	150	2	10	1	0	0	0	2	0	0	1.3733	0	2	0	0	0	342.3509	345.3665	345.3665	359.429	350.7799	359.417	366.351	7	0	150	0.1201	0.4497
366.3732	21.0001	101	4	200	1	65	1	0.8059	0	2	0	0	0	0	0	0	2	0	0	366.3732	367.2056	367.2123	383.4459	376.4118	383.434	387.3733	4	0	0	0.4006	0.8435
387.3934	21.0001	102	4	150	1	25	1	1.1266	0	2	0	0	0	0	0	0	1	0	0	387.3934	388.5575	388.5636	404.4641	397.4301	404.4521	408.3935	4	0	150	0.5671	0.7424
408.4135	25.0001	103	4	200	2	10	1	0	0	0	1	0	0	0.5701	0	1	0	0	0	408.4135	411.4294	411.4294	425.4823	416.0167	425.4702	433.4136	8	100	100	0.3624	0.5683
433.4366	24.0001	104	4	150	2	70	1	0	0	0	1	0	0	0.5837	0	1	0	0	0	433.4366	436.4529	436.4529	450.5254	441.0737	450.5133	457.4367	7	0	150	0.125	0.2
457.4566	21.0001	105	4	200	1	25	1	0.9786	0	1	0	0	0	0	0	0	1	0	0	457.4566	458.4612	458.4686	474.529	467.4948	474.5169	478.4567	4	0	0	0.5543	0.9767
478.4769	24.0001	106	4	150	1	15	1	1.0381	0	1	0	0	0	0	0	0	1	0	0	478.4769	479.5521	479.5667	495.5471	488.513	495.5352	502.477	7	0	150	0.1922	0.686
502.4994	24.0001	107	4	200	2	85	1	0	0	0	2	0	0	0.4214	0	2	0	0	0	502.4994	505.517	505.517	519.564	509.9632	519.552	526.4995	7	100	100	0.466	0.2755
526.5199	24.0001	108	4	150	2	30	1	0	0	0	1	0	0	0.4882	0	1	0	0	0	526.5199	529.5335	529.5335	543.581	534.0465	543.5689	550.52	7	0	150	0.9492	0.9329
550.5424	19.0001	109	4	200	1	65	1	0.8882	0	2	0	0	0	0	0	0	2	0	0	550.5424	551.4664	551.4708	567.6112	560.5771	567.5991	569.5425	2	100	100	0.8982	0.1699
569.5624	21.0001	110	4	150	1	30	1	1.5513	0	2	0	0	0	0	0	0	1	0	0	569.5624	571.1484	571.1562	586.6301	579.5961	586.6182	590.5625	4	0	150	0.9304	0.3336
590.5829	20.0001	111	4	200	2	60	1	0	0	0	2	0	0	0.7525	0	2	0	0	0	590.5829	593.599	593.599	607.6483	598.3783	607.6363	610.583	3	100	100	0.654	0.051
610.6052	20.0001	112	4	150	2	70	1	0	0	0	2	0	0	0.8885	0	1	0	0	0	610.6052	613.6211	613.6211	627.6668	618.5327	627.6549	630.6053	3	0	150	0.2216	0.7582
