onset	duration	Trials	Runs	Cond_1_200_2_150_HasBeenChangedTo200_150	order_1_first_2_lastForThisIdPerson_	ProbR	ID_1_PlayerA_2_playerB_	AnsTimePAS1_rtStage1_playerA___3Seconds	AnsTimePBS1	PAChoS1_1Left_2Right_	PBChoS1	MissingPAS1_0None_	MissingPBS1	AnsTimePAS2	AnsTimePBS2	PAChoS2	PBChoS2	MissingPAS2	MissingPBS2	TriOn	DecEndS1	IsiOnS1	FbOnS1	DecEndS2	FbOffS2	TriEnd	Jitter	rwPA_rewardToPa_	rwPB	randa	randb	Unknown1	Unknown2
0.0005	23.0014	1	1	200	1	25	1	0.6867	0	1	0	0	0	0	0	0	1	0	0	0.0005	0.7523	0.7718	17.0988	10.0516	17.0876	23.0019	6	100	100	0.5212	0.7195	1.1861	1.5997
23.0249	23.0007	2	1	150	1	30	1	1.6566	0	2	0	0	0	0	0	0	1	0	0	23.0249	24.7393	24.7487	40.0895	33.0536	40.0775	46.0256	6	0	150	0.1617	0.4387	1.6546	1.1733
46.0468	23.0008	3	1	200	2	10	1	0	0	0	1	0	0	1.0412	0	1	0	0	0	46.0468	49.0654	49.0654	63.1066	54.1255	63.0944	69.0476	6	0	0	0.7928	0.9833	1.6321	1.2395
69.0687	21.0008	4	1	150	2	20	1	0	0	0	2	0	0	2.3031	0	2	0	0	0	69.0687	72.0894	72.0895	86.1372	78.4046	86.1254	90.0695	4	0	150	0.5201	0.1161	1.5188	1.3065
90.0917	23.0042	5	1	200	1	75	1	1.0427	0	2	0	0	0	0	0	0	2	0	0	90.0917	91.1785	91.1881	107.1824	100.1347	107.1712	113.0959	6	100	100	0.3839	0.5962	1.1225	1.7866
113.1319	20.0006	6	1	150	1	85	1	1.6116	0	1	0	0	0	0	0	0	1	0	0	113.1319	114.7642	114.7785	130.1857	123.1545	130.1738	133.1325	3	150	0	0.8649	0.3192	1.5567	1.5993
133.1504	24	7	1	200	2	65	1	0	0	0	2	0	0	0.7798	0	2	0	0	0	133.1504	136.1664	136.1664	150.2043	140.9615	150.1922	157.1504	7	0	0	0.1769	0.9851	1.4822	1.4527
157.1704	25.0001	8	1	150	2	85	1	0	0	0	1	0	0	1.3861	0	2	0	0	0	157.1704	160.1863	160.1863	174.2344	165.5848	174.2224	182.1705	8	150	0	0.2606	0.4692	1.6659	1.5327
182.1887	23.0001	9	1	200	1	70	1	0.728	0	2	0	0	0	0	0	0	2	0	0	182.1887	182.9591	182.964	199.2509	192.2139	199.2389	205.1888	6	0	0	0.5623	0.7808	2.0556	1.4131
205.2089	23	10	1	150	1	15	1	0	0	0	0	1	0	0	0	0	0	0	0	205.2089	208.2283	208.2336	222.2282	-13398.7396	-13398.7396	228.2089	6	0	0	0.6078	0.4139	1.3994	100
228.2275	23.0001	11	1	200	2	60	1	0	0	0	2	0	0	1.4661	0	2	0	0	0	228.2275	231.2415	231.2417	245.2854	236.7292	245.2734	251.2276	6	100	100	0.8385	0.1088	1.448	1.1862
251.2453	24.0001	12	1	150	2	20	1	0	0	0	1	0	0	2.2686	0	2	0	0	0	251.2453	254.2615	254.2615	268.3026	260.5493	268.2906	275.2454	7	0	150	0.4622	0.5047	2.099	1.4127
275.2659	24.0001	13	1	200	1	80	1	1.1213	0	2	0	0	0	0	0	0	2	0	0	275.2659	276.4212	276.4325	292.3328	285.2944	292.3209	299.266	7	100	100	0.4586	0.2929	1.3905	1.2131
299.2848	21.0001	14	1	150	1	40	1	1.039	0	1	0	0	0	0	0	0	1	0	0	299.2848	300.3557	300.3693	316.3497	309.3149	316.3377	320.2849	4	150	0	0.0916	0.8384	1.2401	1.2397
320.3033	25.0001	15	1	200	2	30	1	0	0	0	1	0	0	0.6884	0	1	0	0	0	320.3033	323.3201	323.3201	337.3544	328.0204	337.3425	345.3034	8	100	100	0.1196	0.5065	1.279	1.8259
345.3225	24.0001	16	1	150	2	10	1	0	0	0	2	0	0	0.4823	0	2	0	0	0	345.3225	348.3395	348.3395	362.3842	352.8445	362.3722	369.3226	7	0	150	0.7053	0.5028	1.2493	1.1595
369.341	19.0001	17	1	200	1	80	1	0.7995	0	2	0	0	0	0	0	0	2	0	0	369.341	370.1682	370.1808	386.4011	379.3705	386.389	388.3411	2	0	0	0.2405	0.9676	1.1827	1.3065
