onset	duration	Trials	Runs	Cond_1_200_2_150_HasBeenChangedTo200_150	order_1_first_2_lastForThisIdPerson_	ProbR	ID_1_PlayerA_2_playerB_	AnsTimePAS1_rtStage1_playerA___3Seconds	AnsTimePBS1	PAChoS1_1Left_2Right_	PBChoS1	MissingPAS1_0None_	MissingPBS1	AnsTimePAS2	AnsTimePBS2	PAChoS2	PBChoS2	MissingPAS2	MissingPBS2	TriOn	DecEndS1	IsiOnS1	FbOnS1	DecEndS2	FbOffS2	TriEnd	Jitter	rwPA_rewardToPa_	rwPB	randa	randb
0.0001	22.0121	85	4	200	1	60	2	0	0	2	0	0	0	0	0.4758	0	2	0	0	0.0001	3.0071	3.0072	17.0351	7.5	17.035	22.0122	5	0	0	0.7531	0.7061
22.0377	22.0123	86	4	150	1	35	2	0	0	2	0	0	0	0	1.025	0	1	0	0	22.0377	25.0449	25.0449	39.2267	30.2276	39.2267	44.05	5	150	0	0.3196	0.8338
44.0559	20.0123	87	4	200	2	85	2	0	0.7372	0	2	0	0	0	0	2	0	0	0	44.0559	44.8143	44.8234	61.0853	54.0713	61.0853	64.0682	3	100	100	0.4463	0.3552
64.0743	22.0123	88	4	150	2	20	2	0	1.4494	0	2	0	0	0	0	1	0	0	0	64.0743	65.5459	65.5625	81.118	74.0968	81.1179	86.0866	5	150	0	0.8632	0.0142
86.0937	23.0125	89	4	200	1	90	2	0	0	2	0	0	0	0	0.4839	0	2	0	0	86.0937	89.1024	89.1024	103.137	93.5965	103.1368	109.1062	6	100	100	0.4652	0.5784
109.1165	22.0124	90	4	150	1	80	2	0	0	2	0	0	0	0	1.2611	0	2	0	0	109.1165	112.1232	112.1232	126.1413	117.3917	126.1413	131.1289	5	0	150	0.6579	0.4723
131.1343	23.0122	91	4	200	2	40	2	0	1.0342	0	1	0	0	0	0	1	0	0	0	131.1343	132.1859	132.1913	148.1599	141.1447	148.1599	154.1465	6	100	100	0.5805	0.509
154.1525	23.0122	92	4	150	2	90	2	0	1.0451	0	2	0	0	0	0	2	0	0	0	154.1525	155.2151	155.2228	171.1914	164.1651	171.1914	177.1647	6	150	0	0.8384	0.292
177.1705	25.0123	93	4	200	1	75	2	0	0	2	0	0	0	0	0.6905	0	2	0	0	177.1705	180.1773	180.1775	194.2096	184.8762	194.2096	202.1828	8	100	100	0.1557	0.0684
202.1883	22.0122	94	4	150	1	80	2	0	0	2	0	0	0	0	0.5037	0	2	0	0	202.1883	205.1953	205.1953	219.2271	209.707	219.2271	224.2005	5	0	150	0.4234	0.5151
224.2064	26.0123	95	4	200	2	20	2	0	1.1332	0	1	0	0	0	0	1	0	0	0	224.2064	225.3576	225.3705	241.2457	234.2253	241.2457	250.2187	9	100	100	0.6406	0.7541
250.2247	24.0122	96	4	150	2	35	2	0	0.9156	0	1	0	0	0	0	1	0	0	0	250.2247	251.157	251.1609	267.2495	260.2342	267.2495	274.2369	7	150	0	0.5468	0.6335
274.2424	23.0123	97	4	200	1	40	2	0	0	1	0	0	0	0	1.4099	0	1	0	0	274.2424	277.2487	277.2487	291.2806	282.6666	291.2806	297.2547	6	100	100	0.2285	0.1595
297.2609	21.0121	98	4	150	1	15	2	0	0	1	0	0	0	0	0.6544	0	1	0	0	297.2609	300.2675	300.2675	314.2989	304.9293	314.2989	318.273	4	0	150	0.1834	0.4431
318.2789	24.0122	99	4	200	2	75	2	0	0.9906	0	2	0	0	0	0	2	0	0	0	318.2789	319.287	319.2958	335.3178	328.2929	335.3178	342.2911	7	100	100	0.9354	0.4902
342.2968	24.0122	100	4	150	2	10	2	0	1.1416	0	2	0	0	0	0	2	0	0	0	342.2968	343.4561	343.4603	359.3223	352.3061	359.3223	366.309	7	0	150	0.1201	0.4497
366.3152	21.0122	101	4	200	1	65	2	0	0	2	0	0	0	0	0.6587	0	2	0	0	366.3152	369.3209	369.3209	383.3534	373.9884	383.3534	387.3274	4	0	0	0.4006	0.8435
387.3336	21.0122	102	4	150	1	25	2	0	0	2	0	0	0	0	0.8694	0	2	0	0	387.3336	390.3398	390.3398	404.3724	395.2176	404.3724	408.3458	4	150	0	0.5671	0.7424
408.3513	25.0123	103	4	200	2	10	2	0	1.3106	0	1	0	0	0	0	1	0	0	0	408.3513	409.6806	409.6893	425.3913	418.365	425.3913	433.3636	8	100	100	0.3624	0.5683
433.3698	24.0122	104	4	150	2	70	2	0	0.6699	0	1	0	0	0	0	1	0	0	0	433.3698	434.0576	434.067	450.4088	443.3847	450.4088	457.382	7	0	150	0.125	0.2
457.388	21.0122	105	4	200	1	25	2	0	0	1	0	0	0	0	0.8591	0	1	0	0	457.388	460.3938	460.3938	474.4133	465.2618	474.4133	478.4002	4	0	0	0.5543	0.9767
478.4058	24.0122	106	4	150	1	15	2	0	0	2	0	0	0	0	0.9898	0	1	0	0	478.4058	481.4116	481.4116	495.4456	486.4118	495.4456	502.418	7	0	150	0.1922	0.686
502.4242	24.0123	107	4	200	2	85	2	0	1.0892	0	2	0	0	0	0	2	0	0	0	502.4242	503.5315	503.5481	519.4634	512.446	519.4634	526.4365	7	100	100	0.466	0.2755
526.4422	24.0122	108	4	150	2	30	2	0	0.978	0	2	0	0	0	0	2	0	0	0	526.4422	527.4377	527.446	543.4812	536.4557	543.4812	550.4544	7	0	150	0.9492	0.9329
550.4601	19.0123	109	4	200	1	65	2	0	0	2	0	0	0	0	0.6721	0	2	0	0	550.4601	553.4666	553.4666	567.4991	558.1471	567.4991	569.4724	2	100	100	0.8982	0.1699
569.4787	21.0122	110	4	150	1	30	2	0	0	1	0	0	0	0	0.8813	0	2	0	0	569.4787	572.4852	572.4852	586.5188	577.3759	586.5188	590.4909	4	150	0	0.9304	0.3336
590.497	20.0123	111	4	200	2	60	2	0	1.0815	0	2	0	0	0	0	2	0	0	0	590.497	591.5977	591.6091	608.9905	601.9642	608.9905	610.5093	3	100	100	0.654	0.051
610.5149	20.0122	112	4	150	2	70	2	0	1.9709	0	1	0	0	0	0	2	0	0	0	610.5149	612.5065	612.5214	627.9569	620.5349	627.9569	630.5271	3	0	150	0.2216	0.7582
