onset	duration	Trials	Runs	Cond_1_200_2_150_HasBeenChangedTo200_150	order_1_first_2_lastForThisIdPerson_	ProbR	ID_1_PlayerA_2_playerB_	AnsTimePAS1_rtStage1_playerA___3Seconds	AnsTimePBS1	PAChoS1_1Left_2Right_	PBChoS1	MissingPAS1_0None_	MissingPBS1	AnsTimePAS2	AnsTimePBS2	PAChoS2	PBChoS2	MissingPAS2	MissingPBS2	TriOn	DecEndS1	IsiOnS1	FbOnS1	DecEndS2	FbOffS2	TriEnd	Jitter	rwPA_rewardToPa_	rwPB	randa	randb	Unknown1	Unknown2
0.0001	20.0007	29	2	200	1	40	2	0	0	1	0	0	0	0	0.5011	0	1	0	0	0.0001	3.0083	3.0083	17.0671	7.532	17.0501	20.0008	3	100	100	0.6093	0.5562	1.7501	1.45
20.0174	20.0007	30	2	150	1	60	2	0	0	2	0	0	0	0	0.801	0	2	0	0	20.0174	23.0284	23.0284	37.0895	27.8542	37.0716	40.0181	3	150	0	0.8624	0.9777	1.8683	1.6496
40.0269	24.0005	31	2	200	2	40	2	0	1.5868	0	1	0	0	0	0	1	0	0	0	40.0269	41.6433	41.6569	57.111	50.0586	57.0941	64.0274	7	0	0	0.387	0.9365	1.884	1.6339
64.0433	22.0006	32	2	150	2	70	2	0	1.3989	0	1	0	0	0	0	2	0	0	0	64.0433	65.4643	65.4801	81.1343	74.0819	81.1172	86.0439	5	150	0	0.2155	0.2635	1.6505	1.8338
86.0532	21.0015	33	2	200	1	10	2	0	0	1	0	0	0	0	0.6346	0	1	0	0	86.0532	89.0632	89.0633	103.1237	93.7226	103.1072	107.0547	4	100	100	0.4946	0.3662	2.0679	1.6496
107.0835	26.0004	34	2	150	1	25	2	0	0	1	0	0	0	0	0.5908	0	1	0	0	107.0835	110.0898	110.0899	124.1793	114.7342	124.1621	133.0839	9	0	150	0.6515	0.6494	1.6505	1.6332
133.092	22.0001	35	2	200	2	70	2	0	0.6762	0	2	0	0	0	0	2	0	0	0	133.092	133.7911	133.8008	150.1697	143.1165	150.1524	155.0921	5	100	100	0.9488	0.5226	2.0837	1.6338
155.1001	22.0001	36	2	150	2	35	2	0	0.772	0	2	0	0	0	0	1	0	0	0	155.1001	155.8929	155.9044	172.1758	165.1229	172.158	177.1002	5	150	0	0.7967	0.5675	1.6499	1.6339
177.1082	23.0001	37	2	200	1	20	2	0	0	1	0	0	0	0	0.533	0	1	0	0	177.1082	180.1147	180.115	194.1815	184.6787	194.1643	200.1083	6	100	100	0.0052	0.6745	1.6513	1.8315
200.1158	22.0001	38	2	150	1	80	2	0	0	2	0	0	0	0	0.6428	0	2	0	0	200.1158	203.1211	203.1211	217.1881	207.7948	217.1703	222.1159	5	0	150	0.2028	0.6775	1.6513	1.8328
222.1236	21	39	2	200	2	90	2	0	1.2448	0	2	0	0	0	0	2	0	0	0	222.1236	223.3908	223.4062	239.2107	232.1574	239.1932	243.1236	4	100	100	0.6702	0.0349	1.6676	1.6338
243.1311	23	40	2	150	2	30	2	0	0.5906	0	2	0	0	0	0	1	0	0	0	243.1311	243.7523	243.7614	260.2327	253.18	260.2156	266.1311	6	0	150	0.3698	0.7722	1.8504	2.0353
266.1395	25	41	2	200	1	75	2	0	0	2	0	0	0	0	0.5439	0	2	0	0	266.1395	269.1449	269.1449	283.239	273.7138	283.2216	291.1395	8	0	0	0.4082	0.9245	1.6517	1.6331
291.1472	21.0001	42	2	150	1	85	2	0	0	2	0	0	0	0	0.7831	0	2	0	0	291.1472	294.1518	294.1518	308.2124	298.9598	308.195	312.1473	4	0	150	0.8866	0.589	1.8517	1.8327
312.155	22.0001	43	2	200	2	10	2	0	0.9095	0	1	0	0	0	0	1	0	0	0	312.155	313.0897	313.0988	329.235	322.1815	329.2175	334.1551	5	100	100	0.9762	0.7818	2.0505	2.2506
334.1629	23	44	2	150	2	85	2	0	1.0223	0	2	0	0	0	0	2	0	0	0	334.1629	335.2092	335.2198	351.2409	344.1874	351.2235	357.1629	6	0	150	0.5893	0.9133	2.4838	1.6339
357.1698	23.0001	45	2	200	1	15	2	0	0	1	0	0	0	0	0.704	0	1	0	0	357.1698	360.1751	360.1751	374.247	364.916	374.2298	380.1699	6	100	100	0.9111	0.6735	2.4683	2.4349
380.1772	25.0001	46	2	150	1	65	2	0	0	1	0	0	0	0	1.1347	0	1	0	0	380.1772	383.184	383.184	397.2531	388.3523	397.236	405.1773	8	150	0	0.9006	0.0478	2.2853	1.8338
405.1855	19.0001	47	2	200	2	25	2	0	0.6804	0	1	0	0	0	0	1	0	0	0	405.1855	405.8871	405.9055	422.2766	415.2239	422.2594	424.1856	2	100	100	0.7737	0.0193	2.2671	1.8338
424.1933	23.0001	48	2	150	2	90	2	0	0.9665	0	2	0	0	0	0	1	0	0	0	424.1933	425.1806	425.194	441.2818	434.2294	441.2643	447.1934	6	0	150	0.3181	0.3737	1.8502	1.8339
447.2072	21	49	2	200	1	65	2	0	0	2	0	0	0	0	0.7242	0	2	0	0	447.2072	450.2144	450.2144	464.2714	454.96	464.2542	468.2072	4	100	100	0.9731	0.1189	2.0652	2.035
468.2149	24.0001	50	2	150	1	15	2	0	0	2	0	0	0	0	0.7501	0	1	0	0	468.2149	471.2202	471.2202	485.3103	475.9911	485.293	492.215	7	0	150	0.2242	0.0271	2.6658	1.8329
492.2229	24.0001	51	2	200	2	60	2	0	0.7306	0	2	0	0	0	0	2	0	0	0	492.2229	492.9761	492.9959	509.3335	502.2813	509.316	516.223	7	0	0	0.9226	0.816	2.2667	1.8337
516.2364	24.0001	52	2	150	2	30	2	0	0.8772	0	2	0	0	0	0	2	0	0	0	516.2364	517.1353	517.1523	533.3236	526.2709	533.3061	540.2365	7	0	150	0.1716	0.8357	2.067	2.0339
540.2443	23	53	2	200	1	75	2	0	0	2	0	0	0	0	0.6168	0	2	0	0	540.2443	543.2501	543.2501	557.3133	547.894	557.296	563.2443	6	100	100	0.7601	0.1865	1.8516	1.8326
563.2521	23.0001	54	2	150	1	80	2	0	0	2	0	0	0	0	0.5501	0	2	0	0	563.2521	566.2591	566.2591	580.3194	570.8337	580.302	586.2522	6	0	150	0.618	0.6101	2.051	1.8324
586.2657	20.0001	55	2	200	2	20	2	0	0.7814	0	1	0	0	0	0	1	0	0	0	586.2657	587.0724	587.088	603.3758	596.3224	603.3585	606.2658	3	100	100	0.6894	0.5208	2.0675	2.034
606.2738	24	56	2	150	2	35	2	0	0.6457	0	2	0	0	0	0	2	0	0	0	606.2738	606.9402	606.9601	623.3646	616.3118	623.3472	630.2738	7	0	150	0.0853	0.8021	2.467	2.2507
