onset	duration	Trials	Runs	Cond_1_200_2_150_HasBeenChangedTo200_150	order_1_first_2_lastForThisIdPerson_	ProbR	ID_1_PlayerA_2_playerB_	AnsTimePAS1_rtStage1_playerA___3Seconds	AnsTimePBS1	PAChoS1_1Left_2Right_	PBChoS1	MissingPAS1_0None_	MissingPBS1	AnsTimePAS2	AnsTimePBS2	PAChoS2	PBChoS2	MissingPAS2	MissingPBS2	TriOn	DecEndS1	IsiOnS1	FbOnS1	DecEndS2	FbOffS2	TriEnd	Jitter	rwPA_rewardToPa_	rwPB	randa	randb	Unknown1	Unknown2
0.0001	20.0004	57	3	200	1	40	2	0	0	1	0	0	0	0	0.8216	0	1	0	0	0.0001	3.0075	3.0075	17.0722	7.8576	17.0551	20.0005	3	0	0	0.0498	0.8698	1.4511	1.433
20.0096	23.0005	58	3	150	1	65	2	0	0	1	0	0	0	0	0.4553	0	1	0	0	20.0096	23.0162	23.0162	37.0776	27.4966	37.0601	43.0101	6	150	0	0.8838	0.9579	1.4508	1.433
43.0253	23.0005	59	3	200	2	10	2	0	0.8317	0	1	0	0	0	0	1	0	0	0	43.0253	43.8781	43.8959	60.117	53.0642	60.0996	66.0258	6	100	100	0.7252	0.4259	1.2497	1.4337
66.0347	23.0005	60	3	150	2	90	2	0	0.7235	0	1	0	0	0	0	2	0	0	0	66.0347	66.7824	66.8017	83.1234	76.071	83.1061	89.0352	6	150	0	0.0151	0.743	1.2329	1.2168
89.0512	22.0026	61	3	200	1	40	2	0	0	1	0	0	0	0	0.6033	0	1	0	0	89.0512	92.0619	92.062	106.13	96.6972	106.113	111.0538	5	100	100	0.1432	0.0607	1.2511	1.2337
111.0722	24.0003	62	3	150	1	70	2	0	0	1	0	0	0	0	0.6613	0	1	0	0	111.0722	114.0779	114.078	128.1689	118.7776	128.1514	135.0725	7	150	0	0.354	0.8262	1.2506	1.2179
135.0804	26.0001	63	3	200	2	25	2	0	0.5738	0	1	0	0	0	0	1	0	0	0	135.0804	135.6777	135.6872	152.1583	145.1058	152.1411	161.0805	9	100	100	0.1016	0.1	1.2335	1.4338
161.0879	22	64	3	150	2	65	2	0	0.6694	0	2	0	0	0	0	1	0	0	0	161.0879	161.7805	161.7944	178.1655	171.1129	178.1482	183.0879	5	0	150	0.7802	0.0369	1.25	1.2177
183.0966	21.0001	65	3	200	1	35	2	0	0	1	0	0	0	0	0.674	0	1	0	0	183.0966	186.1036	186.1038	200.1717	190.8101	200.154	204.0967	4	0	0	0.9028	0.7488	1.4512	1.233
204.1046	25.0001	66	3	150	1	80	2	0	0	1	0	0	0	0	0.4907	0	1	0	0	204.1046	207.1099	207.1099	221.2106	211.6322	221.1933	229.1047	8	150	0	0.4646	0.2712	1.4681	1.4329
229.1126	21.0001	67	3	200	2	90	2	0	0.8311	0	2	0	0	0	0	2	0	0	0	229.1126	229.9649	229.9797	246.2009	239.147	246.1833	250.1127	4	100	100	0.7846	0.7926	1.251	1.6338
250.121	24	68	3	150	2	85	2	0	0.5492	0	2	0	0	0	0	1	0	0	0	250.121	250.6936	250.7025	267.2229	260.1707	267.2058	274.121	7	0	150	0.5947	0.8741	1.4497	1.4337
274.1292	24.0001	69	3	200	1	15	2	0	0	1	0	0	0	0	0.7586	0	1	0	0	274.1292	277.1365	277.1365	291.1961	281.9189	291.1788	298.1293	7	100	100	0.2241	0.1368	1.6683	1.6334
298.1374	21	70	3	150	1	60	2	0	0	1	0	0	0	0	0.7899	0	2	0	0	298.1374	301.1428	301.1428	315.2029	305.9566	315.1853	319.1374	4	0	150	0.8541	0.2953	1.4518	1.4332
319.1455	24	71	3	200	2	75	2	0	0.668	0	2	0	0	0	0	2	0	0	0	319.1455	319.8383	319.8539	336.2251	329.1717	336.2076	343.1455	7	100	100	0.1024	0.5099	1.8502	1.4169
343.154	22.0001	72	3	150	2	20	2	0	0.7258	0	2	0	0	0	0	1	0	0	0	343.154	343.9032	343.9122	360.2484	353.1779	360.231	365.1541	5	0	150	0.125	0.952	1.8677	1.4338
365.1612	22.0001	73	3	200	1	75	2	0	0	2	0	0	0	0	0.5043	0	2	0	0	365.1612	368.167	368.167	382.2374	372.7061	382.2199	387.1613	5	0	0	0.5358	0.8588	1.6515	1.4498
387.1699	24	74	3	150	1	25	2	0	0	1	0	0	0	0	0.6257	0	2	0	0	387.1699	390.1745	390.1745	404.2437	394.8334	404.2261	411.1699	7	150	0	0.9712	0.3404	1.4683	1.6332
411.1783	21	75	3	200	2	30	2	0	0.7012	0	1	0	0	0	0	1	0	0	0	411.1783	411.8984	411.9123	428.2832	421.2309	428.2661	432.1783	4	100	100	0.8086	0.5485	2.0671	2.2507
432.1864	22.0001	76	3	150	2	10	2	0	0.5747	0	1	0	0	0	0	1	0	0	0	432.1864	432.7838	432.801	449.2727	442.2199	449.2551	454.1865	5	150	0	0.2085	0.8378	1.6499	1.8335
