onset	duration	Trials	Runs	Cond_1_200_2_150_HasBeenChangedTo200_150	order_1_first_2_lastForThisIdPerson_	ProbR	ID_1_PlayerA_2_playerB_	AnsTimePAS1_rtStage1_playerA___3Seconds	AnsTimePBS1	PAChoS1_1Left_2Right_	PBChoS1	MissingPAS1_0None_	MissingPBS1	AnsTimePAS2	AnsTimePBS2	PAChoS2	PBChoS2	MissingPAS2	MissingPBS2	TriOn	DecEndS1	IsiOnS1	FbOnS1	DecEndS2	FbOffS2	TriEnd	Jitter	rwPA_rewardToPa_	rwPB	randa	randb	Unknown1	Unknown2
0.0001	23.0005	1	1	200	1	25	2	0	0	1	0	0	0	0	0.6321	0	1	0	0	0.0001	3.0089	3.009	17.0843	7.6635	17.0675	23.0006	6	100	100	0.5212	0.7195	2.2672	1.6327
23.0111	23.0005	2	1	150	1	30	2	0	0	2	0	0	0	0	0.6146	0	1	0	0	23.0111	26.018	26.018	40.1237	30.6689	40.1065	46.0116	6	0	150	0.1617	0.4387	2.0681	1.6332
46.0208	23.0006	3	1	200	2	10	2	0	1.824	0	1	0	0	0	0	1	0	0	0	46.0208	47.8659	47.8758	63.0968	56.0444	63.0793	69.0214	6	0	0	0.7928	0.9833	2.0666	2.4503
69.0302	21.0005	4	1	150	2	20	2	0	0.9918	0	2	0	0	0	0	2	0	0	0	69.0302	70.0471	70.0649	86.1197	79.0665	86.1022	90.0307	4	0	150	0.5201	0.1161	2.884	2.4509
90.039	23.0017	5	1	200	1	75	2	0	0	2	0	0	0	0	1.0839	0	2	0	0	90.039	93.0501	93.0501	107.1257	98.1573	107.1084	113.0407	6	100	100	0.3839	0.5962	1.8656	1.8499
113.0604	20.0003	6	1	150	1	85	2	0	0	2	0	0	0	0	0.8453	0	2	0	0	113.0604	116.0672	116.0672	130.148	120.9411	130.1307	133.0607	3	0	150	0.8649	0.3192	2.051	1.8333
133.0683	24.0001	7	1	200	2	65	2	0	1.2893	0	2	0	0	0	0	2	0	0	0	133.0683	134.3775	134.3993	150.1537	143.1005	150.1361	157.0684	7	0	0	0.1769	0.9851	1.8504	2.6508
157.0752	25.0001	8	1	150	2	85	2	0	1.1977	0	2	0	0	0	0	1	0	0	0	157.0752	158.3031	158.3225	174.16	167.1074	174.1428	182.0753	8	0	150	0.2606	0.4692	2.4672	2.2506
182.0828	23	9	1	200	1	70	2	0	0	2	0	0	0	0	0.7044	0	2	0	0	182.0828	185.0894	185.0897	199.1502	189.8189	199.1329	205.0828	6	0	0	0.5623	0.7808	2.2509	2.4502
205.0908	23	10	1	150	1	15	2	0	0	1	0	0	0	0	0.7452	0	1	0	0	205.0908	208.0969	208.0969	222.173	212.8658	222.1558	228.0908	6	0	150	0.6078	0.4139	1.8511	2.0334
228.0992	23.0001	11	1	200	2	60	2	0	1.2489	0	1	0	0	0	0	1	0	0	0	228.0992	229.3737	229.3918	245.1791	238.1274	245.162	251.0993	6	0	0	0.8385	0.1088	1.8665	1.8339
251.1059	24.0001	12	1	150	2	20	2	0	0.9701	0	1	0	0	0	0	2	0	0	0	251.1059	252.1009	252.1144	268.1857	261.1321	268.1682	275.106	7	0	150	0.4622	0.5047	1.8506	2.0671
275.1195	24.0001	13	1	200	1	80	2	0	0	2	0	0	0	0	0.6881	0	2	0	0	275.1195	278.1325	278.1325	292.1923	282.844	292.1746	299.1196	7	100	100	0.4586	0.2929	1.8678	2.2506
299.1271	21.0001	14	1	150	1	40	2	0	0	2	0	0	0	0	0.6673	0	1	0	0	299.1271	302.1327	302.1327	316.1983	306.8298	316.1809	320.1272	4	150	0	0.0916	0.8384	2.0517	1.8333
320.1341	25.0002	15	1	200	2	30	2	0	0.6857	0	1	0	0	0	0	1	0	0	0	320.1341	320.8396	320.8495	337.2044	330.1535	337.1867	345.1343	8	100	100	0.1196	0.5065	2.4652	2.0675
345.1418	24.0001	16	1	150	2	10	2	0	0.7711	0	2	0	0	0	0	2	0	0	0	345.1418	345.9355	346.1574	362.2442	355.1909	362.227	369.1419	7	0	150	0.7053	0.5028	2.0679	2.6516
369.1493	19.0001	17	1	200	1	80	2	0	0	0	0	1	0	0	0	0	0	0	0	369.1493	372.1559	372.1559	386.1842	-225172.8987	-225172.8987	388.1494	2	0	0	0.2405	0.9676	1.8516	100
388.1577	22	18	1	150	1	75	2	0	0	1	0	0	0	0	1.3953	0	2	0	0	388.1577	391.1643	391.1643	405.2393	396.5826	405.2219	410.1577	5	0	150	0.0304	0.0855	2.4672	2.0667
410.1652	24	19	1	200	2	65	2	0	0.8153	0	2	0	0	0	0	2	0	0	0	410.1652	411.0063	411.024	427.2456	420.1923	427.228	434.1652	7	0	0	0.4122	0.8945	1.8672	2.6505
434.173	21.0001	20	1	150	2	60	2	0	1.0018	0	2	0	0	0	0	2	0	0	0	434.173	435.1994	435.2142	451.2686	444.1981	451.2511	455.1731	4	150	0	0.8023	0.2692	2.051	2.0341
455.1812	22	21	1	200	1	90	2	0	0	2	0	0	0	0	0.8573	0	2	0	0	455.1812	458.1875	458.1875	472.2575	463.0791	472.2401	477.1812	5	100	100	0.2534	0.4844	2.0677	2.451
477.188	22.0001	22	1	150	1	90	2	0	0	1	0	0	0	0	0.9818	0	2	0	0	477.188	480.1948	480.1948	494.2967	485.2094	494.2793	499.1881	5	0	150	0.0492	0.276	2.0514	1.8349
499.196	22	23	1	200	2	15	2	0	1.2622	0	1	0	0	0	0	1	0	0	0	499.196	500.4784	500.4983	516.2862	509.2326	516.2688	521.196	5	100	100	0.1339	0.2056	2.2671	2.035
521.2035	22.0001000000001	24	1	150	2	25	2	0	0.6423	0	2	0	0	0	0	2	0	0	0	521.2035	521.8682	521.8874	538.2919	531.2391	538.2744	543.2036	5	0	150	0.5054	0.1239	2.267	3.067
543.2105	20.0001	25	1	200	1	70	2	0	0	2	0	0	0	0	0.6944	0	2	0	0	543.2105	546.2171	546.2171	560.2814	550.9395	560.264	563.2106	3	100	100	0.8368	0.6167	2.4686	2.4504
