onset	duration	Trials	Runs	Cond_1_200_2_150_HasBeenChangedTo200_150	order_1_first_2_lastForThisIdPerson_	ProbR	ID_1_PlayerA_2_playerB_	AnsTimePAS1_rtStage1_playerA___3Seconds	AnsTimePBS1	PAChoS1_1Left_2Right_	PBChoS1	MissingPAS1_0None_	MissingPBS1	AnsTimePAS2	AnsTimePBS2	PAChoS2	PBChoS2	MissingPAS2	MissingPBS2	TriOn	DecEndS1	IsiOnS1	FbOnS1	DecEndS2	FbOffS2	TriEnd	Jitter	rwPA_rewardToPa_	rwPB	randa	randb	Unknown1	Unknown2
0	22.0003	85	4	200	1	60	1	0.7027	0	2	0	0	0	0	0	0	2	0	0	0	0.7157	0.7203	17.0283	10.0159	17.0258	22.0003	5	0	0	0.7531	0.7061	1.4279	1.6148
22.0064	22.0002	86	4	150	1	35	1	0.9191	0	1	0	0	0	0	0	0	2	0	0	22.0064	22.9386	22.9536	39.0481	32.0357	39.0455	44.0066	5	150	0	0.3196	0.8338	1.428	1.6148
44.0117	20.0002	87	4	200	2	85	1	0	0	0	2	0	0	0.4221	0	2	0	0	0	44.0117	47.0174	47.0174	61.0413	51.4544	61.0387	64.0119	3	100	100	0.4463	0.3552	1.6281	1.4146
64.0177	22.0003	88	4	150	2	20	1	0	0	0	2	0	0	0.4561	0	2	0	0	0	64.0177	67.0239	67.0239	81.0593	71.4931	81.0567	86.018	5	0	150	0.8632	0.0142	1.4279	1.4146
86.0235	23.0008	89	4	200	1	90	1	0.6658	0	2	0	0	0	0	0	0	2	0	0	86.0235	86.7031	86.7177	103.0792	96.0539	103.0768	109.0243	6	100	100	0.4652	0.5784	1.4279	1.4147
109.0333	22.0001	90	4	150	1	80	1	1.1626	0	1	0	0	0	0	0	0	2	0	0	109.0333	110.2072	110.2189	126.0732	119.0606	126.0705	131.0334	5	0	150	0.6579	0.4723	1.6281	1.4146
131.0386	23	91	4	200	2	40	1	0	0	0	1	0	0	0.7972	0	1	0	0	0	131.0386	134.0438	134.0438	148.0663	138.8546	148.0636	154.0386	6	100	100	0.5805	0.509	1.8283	1.4146
154.0433	23	92	4	150	2	90	1	0	0	0	2	0	0	0.647	0	2	0	0	0	154.0433	157.0488	157.0489	171.087	161.7118	171.0844	177.0433	6	150	0	0.8384	0.292	2.0285	2.0151
177.0484	25	93	4	200	1	75	1	0.5886	0	2	0	0	0	0	0	0	2	0	0	177.0484	177.6545	177.6664	194.0811	187.0687	194.0784	202.0484	8	100	100	0.1557	0.0684	2.4288	1.6148
202.0535	22	94	4	150	1	80	1	0.8301	0	1	0	0	0	0	0	0	1	0	0	202.0535	202.9053	202.9157	219.0903	212.0777	219.0876	224.0535	5	150	0	0.4234	0.5151	1.6281	2.0152
224.0582	26	95	4	200	2	20	1	0	0	0	1	0	0	0.8325	0	1	0	0	0	224.0582	227.0642	227.0643	241.0968	231.9071	241.0941	250.0582	9	100	100	0.6406	0.7541	1.6281	1.6148
250.0632	24	96	4	150	2	35	1	0	0	0	2	0	0	0.5953	0	1	0	0	0	250.0632	253.0691	253.0691	267.0935	257.6799	267.0908	274.0632	7	150	0	0.5468	0.6335	2.0285	2.0152
274.0682	23.0001	97	4	200	1	40	1	0.6891	0	1	0	0	0	0	0	0	1	0	0	274.0682	274.7757	274.7804	291.1018	284.0893	291.0991	297.0683	6	100	100	0.2285	0.1595	1.8283	1.615
297.0728	21	98	4	150	1	15	1	0.7776	0	1	0	0	0	0	0	0	2	0	0	297.0728	297.8718	297.8813	314.1092	307.0967	314.1065	318.0728	4	150	0	0.1834	0.4431	1.8283	2.0151
318.0782	24	99	4	200	2	75	1	0	0	0	2	0	0	0.6266	0	2	0	0	0	318.0782	321.0843	321.0843	335.1148	325.7325	335.1121	342.0782	7	100	100	0.9354	0.4902	2.0285	1.6148
342.0833	24	100	4	150	2	10	1	0	0	0	2	0	0	0.6602	0	2	0	0	0	342.0833	345.0888	345.0888	359.1231	349.7747	359.1204	366.0833	7	0	150	0.1201	0.4497	1.6281	1.815
366.0881	21.0001	101	4	200	1	65	1	0.9174	0	2	0	0	0	0	0	0	2	0	0	366.0881	367.0202	367.0235	383.118	376.1055	383.1154	387.0882	4	0	0	0.4006	0.8435	2.4289	3.0161
387.0933	21	102	4	150	1	25	1	0.9136	0	2	0	0	0	0	0	0	1	0	0	387.0933	388.0223	388.0291	404.1236	397.1111	404.1209	408.0933	4	0	150	0.5671	0.7424	2.0285	2.0152
408.0987	25.0001	103	4	200	2	10	1	0	0	0	1	0	0	0.4015	0	1	0	0	0	408.0987	411.1044	411.1044	425.1426	415.5219	425.1399	433.0988	8	100	100	0.3624	0.5683	2.0284	2.2153
433.1034	24.0001	104	4	150	2	70	1	0	0	0	1	0	0	0.5216	0	1	0	0	0	433.1034	436.1092	436.1092	450.1384	440.638	450.1357	457.1035	7	0	150	0.125	0.2	1.8283	2.0152
457.1087	21	105	4	200	1	25	1	0.5843	0	1	0	0	0	0	0	0	1	0	0	457.1087	457.7027	457.7186	474.1467	467.1342	474.144	478.1087	4	0	0	0.5543	0.9767	2.8292	2.0151
478.1139	24	106	4	150	1	15	1	0.7858	0	2	0	0	0	0	0	0	2	0	0	478.1139	478.9095	478.9243	495.1523	488.1398	495.1496	502.1139	7	150	0	0.1922	0.686	2.0285	2.0152
502.1187	24	107	4	200	2	85	1	0	0	0	2	0	0	0.4489	0	2	0	0	0	502.1187	505.1253	505.1253	519.1472	509.5875	519.1446	526.1187	7	100	100	0.466	0.2755	2.0285	2.2153
526.124	24	108	4	150	2	30	1	0	0	0	2	0	0	0.4114	0	2	0	0	0	526.124	529.1306	529.1306	543.1689	533.5579	543.1662	550.124	7	0	150	0.9492	0.9329	2.0285	1.815
550.1293	19	109	4	200	1	65	1	0.5103	0	2	0	0	0	0	0	0	2	0	0	550.1293	550.6589	550.669	567.1638	560.1513	567.1611	569.1293	2	100	100	0.8982	0.1699	2.0285	2.0151
569.134	21.0001	110	4	150	1	30	1	0.9714	0	2	0	0	0	0	0	0	1	0	0	569.134	570.1237	570.1398	586.1809	579.1684	586.1783	590.1341	4	0	150	0.9304	0.3336	1.8283	2.0152
590.1391	20	111	4	200	2	60	1	0	0	0	2	0	0	0.4627	0	2	0	0	0	590.1391	593.1457	593.1457	607.1598	597.6135	607.1572	610.1391	3	100	100	0.654	0.051	2.0285	2.4155
610.1441	20	112	4	150	2	70	1	0	0	0	1	0	0	0.4619	0	1	0	0	0	610.1441	613.1503	613.1503	627.1645	617.6175	627.1619	630.1441	3	0	150	0.2216	0.7582	2.0285	2.0152
