onset	duration	Trials	Runs	Cond_1_200_2_150_HasBeenChangedTo200_150	order_1_first_2_lastForThisIdPerson_	ProbR	ID_1_PlayerA_2_playerB_	AnsTimePAS1_rtStage1_playerA___3Seconds	AnsTimePBS1	PAChoS1_1Left_2Right_	PBChoS1	MissingPAS1_0None_	MissingPBS1	AnsTimePAS2	AnsTimePBS2	PAChoS2	PBChoS2	MissingPAS2	MissingPBS2	TriOn	DecEndS1	IsiOnS1	FbOnS1	DecEndS2	FbOffS2	TriEnd	Jitter	rwPA_rewardToPa_	rwPB	randa	randb
0.0002	20.0007	57	3	200	1	40	1	0.859	0	1	0	0	0	0	0	0	1	0	0	0.0002	0.8974	0.9041	17.0714	10.0379	17.0602	20.0009	3	0	0	0.0498	0.8698
20.0461	23.0007	58	3	150	1	65	1	1.4456	0	1	0	0	0	0	0	0	1	0	0	20.0461	21.529	21.536	37.1166	30.0829	37.1048	43.0468	6	150	0	0.8838	0.9579
43.0665	23.0007	59	3	200	2	10	1	0	0	0	1	0	0	0.6424	0	1	0	0	0	43.0665	46.0867	46.0867	60.147	50.7537	60.1352	66.0672	6	100	100	0.7252	0.4259
66.0892	23.0007	60	3	150	2	90	1	0	0	0	1	0	0	0.4162	0	1	0	0	0	66.0892	69.1081	69.1081	83.1642	73.5446	83.1523	89.0899	6	0	150	0.0151	0.743
89.1103	22.0034	61	3	200	1	40	1	0.805	0	1	0	0	0	0	0	0	1	0	0	89.1103	89.9669	89.9743	106.2083	99.1631	106.1971	111.1137	5	100	100	0.1432	0.0607
111.1494	24.0007	62	3	150	1	70	1	0.4894	0	2	0	0	0	0	0	0	1	0	0	111.1494	111.6687	111.6853	128.2254	121.1914	128.2134	135.1501	7	150	0	0.354	0.8262
135.1694	26.0001	63	3	200	2	25	1	0	0	0	1	0	0	0.3758	0	1	0	0	0	135.1694	138.1855	138.1855	152.2421	142.5822	152.2301	161.1695	9	100	100	0.1016	0.1
161.1867	22.0002	64	3	150	2	65	1	0	0	0	2	0	0	0.4986	0	1	0	0	0	161.1867	164.2037	164.2037	178.2579	168.7208	178.246	183.1869	5	0	150	0.7802	0.0369
183.2062	21.0001	65	3	200	1	35	1	0.678	0	1	0	0	0	0	0	0	1	0	0	183.2062	183.9207	183.9354	200.2889	193.2549	200.2768	204.2063	4	0	0	0.9028	0.7488
204.2234	25.0001	66	3	150	1	80	1	0.7815	0	1	0	0	0	0	0	0	1	0	0	204.2234	205.0421	205.0466	221.2935	214.2594	221.2815	229.2235	8	150	0	0.4646	0.2712
229.2411	21.0001	67	3	200	2	90	1	0	0	0	1	0	0	0.6524	0	1	0	0	0	229.2411	232.2579	232.2581	246.3098	236.9266	246.2977	250.2412	4	0	0	0.7846	0.7926
250.2608	24.0001	68	3	150	2	85	1	0	0	0	1	0	0	0.7936	0	1	0	0	0	250.2608	253.2768	253.2768	267.3144	258.0988	267.3024	274.2609	7	0	150	0.5947	0.8741
274.2785	24.0001	69	3	200	1	15	1	0.7208	0	1	0	0	0	0	0	0	1	0	0	274.2785	275.0325	275.0443	291.3444	284.3104	291.3324	298.2786	7	100	100	0.2241	0.1368
298.2966	21.0001	70	3	150	1	60	1	0.642	0	2	0	0	0	0	0	0	1	0	0	298.2966	298.9701	298.981	315.3745	308.3405	315.3625	319.2967	4	150	0	0.8541	0.2953
319.314	24.0001	71	3	200	2	75	1	0	0	0	2	0	0	0.4032	0	2	0	0	0	319.314	322.3287	322.3287	336.3791	326.7467	336.3671	343.3141	7	100	100	0.1024	0.5099
343.3318	22.0001	72	3	150	2	20	1	0	0	0	1	0	0	0.555	0	2	0	0	0	343.3318	346.3482	346.3482	360.3958	350.9285	360.3839	365.3319	5	0	150	0.125	0.952
365.3517	22.0001	73	3	200	1	75	1	0.5875	0	2	0	0	0	0	0	0	2	0	0	365.3517	365.968	365.9799	382.4268	375.3927	382.4147	387.3518	5	0	0	0.5358	0.8588
387.366	24.0001	74	3	150	1	25	1	0.5947	0	2	0	0	0	0	0	0	2	0	0	387.366	387.9793	387.9841	404.4176	397.3837	404.4055	411.3661	7	150	0	0.9712	0.3404
411.3843	21.0002	75	3	200	2	30	1	0	0	0	1	0	0	0.608	0	1	0	0	0	411.3843	414.3983	414.3983	428.4476	419.0331	428.4357	432.3845	4	100	100	0.8086	0.5485
432.4062	22.0001	76	3	150	2	10	1	0	0	0	2	0	0	0.4267	0	1	0	0	0	432.4062	435.4224	435.4224	449.4923	439.8698	449.4802	454.4063	5	150	0	0.2085	0.8378
454.4256	20.0001	77	3	200	1	70	1	0.6614	0	2	0	0	0	0	0	0	2	0	0	454.4256	455.1253	455.1296	471.4832	464.4491	471.4711	474.4257	3	100	100	0.0407	0.5209
