onset	duration	Trials	Runs	Cond_1_200_2_150_HasBeenChangedTo200_150	order_1_first_2_lastForThisIdPerson_	ProbR	ID_1_PlayerA_2_playerB_	AnsTimePAS1_rtStage1_playerA___3Seconds	AnsTimePBS1	PAChoS1_1Left_2Right_	PBChoS1	MissingPAS1_0None_	MissingPBS1	AnsTimePAS2	AnsTimePBS2	PAChoS2	PBChoS2	MissingPAS2	MissingPBS2	TriOn	DecEndS1	IsiOnS1	FbOnS1	DecEndS2	FbOffS2	TriEnd	Jitter	rwPA_rewardToPa_	rwPB	randa	randb	Unknown1	Unknown2
0.0001	20.0004	57	3	200	1	40	2	0	0	1	0	0	0	0	0.8104	0	2	0	0	0.0001	3.038	3.0381	17.103	7.8773	17.0911	20.0005	3	0	0	0.0498	0.8698	1.3009	1.2261
20.0069	23.0003	58	3	150	1	65	2	0	0	2	0	0	0	0	1.7638	0	2	0	0	20.0069	23.016	23.016	37.0692	28.81	37.057	43.0072	6	150	0	0.8838	0.9579	1.2426	1.213
43.0125	23.0002	59	3	200	2	10	2	0	0.8016	0	1	0	0	0	0	1	0	0	0	43.0125	43.8361	43.8534	60.0743	53.0395	60.0622	66.0127	6	100	100	0.7252	0.4259	1.2396	1.213
66.0183	23.0003	60	3	150	2	90	2	0	1.9398	0	1	0	0	0	0	2	0	0	0	66.0183	67.972	67.9781	83.0794	76.0446	83.0672	89.0186	6	150	0	0.0151	0.743	1.2262	1.4128
89.0248	22.001	61	3	200	1	40	2	0	0	1	0	0	0	0	0.7385	0	1	0	0	89.0248	92.0356	92.0356	106.0846	96.8002	106.078	111.0258	5	100	100	0.1432	0.0607	1.2262	1.4261
111.0354	24.0001	62	3	150	1	70	2	0	0	2	0	0	0	0	0.8396	0	1	0	0	111.0354	114.0427	114.0427	128.1032	118.9064	128.0947	135.0355	7	150	0	0.354	0.8262	1.2245	1.2201
135.0403	26	63	3	200	2	25	2	0	1.3486	0	1	0	0	0	0	1	0	0	0	135.0403	136.4093	136.4203	152.0946	145.0597	152.0823	161.0403	9	100	100	0.1016	0.1	1.6277	1.4129
161.0455	22	64	3	150	2	65	2	0	2.0673	0	2	0	0	0	0	2	0	0	0	161.0455	163.1321	163.149	178.112	171.0771	178.0997	183.0455	5	150	0	0.7802	0.0369	1.2262	1.4128
183.0502	21.0001	65	3	200	1	35	2	0	0	1	0	0	0	0	0.5918	0	1	0	0	183.0502	186.058	186.0582	200.1041	190.673	200.0918	204.0503	4	0	0	0.9028	0.7488	1.6261	2.0126
204.0557	25.0001	66	3	150	1	80	2	0	0	1	0	0	0	0	1.0053	0	1	0	0	204.0557	207.0633	207.0633	221.1116	212.0922	221.0976	229.0558	8	150	0	0.4646	0.2712	1.4232	1.4128
