onset	duration	Trials	Runs	Cond_1_200_2_150_HasBeenChangedTo200_150	order_1_first_2_lastForThisIdPerson_	ProbR	ID_1_PlayerA_2_playerB_	AnsTimePAS1_rtStage1_playerA___3Seconds	AnsTimePBS1	PAChoS1_1Left_2Right_	PBChoS1	MissingPAS1_0None_	MissingPBS1	AnsTimePAS2	AnsTimePBS2	PAChoS2	PBChoS2	MissingPAS2	MissingPBS2	TriOn	DecEndS1	IsiOnS1	FbOnS1	DecEndS2	FbOffS2	TriEnd	Jitter	rwPA_rewardToPa_	rwPB	randa	randb	Unknown1	Unknown2
0	20.0003	29	2	200	1	40	2	0	0	1	0	0	0	0	1.5879	0	1	0	0	0	3.0062	3.0062	17.0668	8.6184	17.0548	20.0003	3	100	100	0.6093	0.5562	1.2262	1.2128
20.0066	20.0002	30	2	150	1	60	2	0	0	2	0	0	0	0	0.6787	0	2	0	0	20.0066	23.0123	23.0124	37.073	27.7154	37.0608	40.0068	3	150	0	0.8624	0.9777	1.4262	1.4129
40.0125	24.0002	31	2	200	2	40	2	0	1.3484	0	1	0	0	0	0	1	0	0	0	40.0125	41.3804	41.3914	57.0658	50.031	57.0536	64.0127	7	0	0	0.387	0.9365	1.4261	1.4128
64.018	22.0002	32	2	150	2	70	2	0	1.7343	0	2	0	0	0	0	2	0	0	0	64.018	65.771	65.7827	81.0838	74.0491	81.0717	86.0182	5	150	0	0.2155	0.2635	1.4261	1.4128
86.0243	21.0007	33	2	200	1	10	2	0	0	1	0	0	0	0	0.6639	0	1	0	0	86.0243	89.0318	89.0318	103.0894	93.717	103.0774	107.025	4	100	100	0.4946	0.3662	1.4262	1.4129
107.0341	26.0001	34	2	150	1	25	2	0	0	1	0	0	0	0	0.7985	0	2	0	0	107.0341	110.0398	110.0398	124.0951	114.8573	124.0828	133.0342	9	150	0	0.6515	0.6494	1.4262	1.4128
133.0389	22.0001	35	2	200	2	70	2	0	1.2086	0	2	0	0	0	0	2	0	0	0	133.0389	134.2606	134.2648	150.0857	143.0508	150.0736	155.039	5	100	100	0.9488	0.5226	1.4262	1.4129
155.0442	22.0001	36	2	150	2	35	2	0	1.9821	0	1	0	0	0	0	2	0	0	0	155.0442	157.0395	157.0433	172.0912	165.0563	172.0789	177.0443	5	0	150	0.7967	0.5675	1.4262	1.4128
177.0494	23	37	2	200	1	20	2	0	0	1	0	0	0	0	0.5336	0	1	0	0	177.0494	180.0548	180.0549	194.1099	184.6074	194.0977	200.0494	6	100	100	0.0052	0.6745	1.4262	1.4129
200.054	22	38	2	150	1	80	2	0	0	2	0	0	0	0	1.0744	0	2	0	0	200.054	203.06	203.06	217.1017	208.1531	217.0895	222.054	5	0	150	0.2028	0.6775	1.4261	1.4128
222.0592	21	39	2	200	2	90	2	0	1.1847	0	2	0	0	0	0	2	0	0	0	222.0592	223.2582	223.2729	239.1204	232.0858	239.1082	243.0592	4	100	100	0.6702	0.0349	1.4261	1.4128
243.0642	23	40	2	150	2	30	2	0	1.8948	0	2	0	0	0	0	2	0	0	0	243.0642	244.9739	244.985	260.1262	253.0913	260.114	266.0642	6	0	150	0.3698	0.7722	1.4262	1.4129
266.0689	25	41	2	200	1	75	2	0	0	2	0	0	0	0	0.6596	0	2	0	0	266.0689	269.0743	269.0743	283.118	273.7547	283.1058	291.0689	8	0	0	0.4082	0.9245	1.4261	1.4128
291.0743	21	42	2	150	1	85	2	0	0	1	0	0	0	0	0.6551	0	1	0	0	291.0743	294.0796	294.0796	308.1357	298.7546	308.1235	312.0743	4	150	0	0.8866	0.589	1.4261	1.4129
312.0794	22.0001	43	2	200	2	10	2	0	1.1509	0	1	0	0	0	0	1	0	0	0	312.0794	313.2453	313.2538	329.1281	322.0933	329.1159	334.0795	5	100	100	0.9762	0.7818	1.4261	1.4128
334.0843	23	44	2	150	2	85	2	0	1.8234	0	1	0	0	0	0	1	0	0	0	334.0843	335.9232	335.939	351.1469	344.112	351.1347	357.0843	6	0	150	0.5893	0.9133	1.4261	1.4128
357.0897	23	45	2	200	1	15	2	0	0	1	0	0	0	0	0.5989	0	1	0	0	357.0897	360.0947	360.0947	374.152	364.7148	374.1398	380.0897	6	100	100	0.9111	0.6735	1.4262	1.4129
380.0948	25.0001	46	2	150	1	65	2	0	0	2	0	0	0	0	0.8882	0	1	0	0	380.0948	383.1002	383.1002	397.1437	388.0092	397.1315	405.0949	8	150	0	0.9006	0.0478	1.4261	1.4128
405.0997	19	47	2	200	2	25	2	0	1.1944	0	1	0	0	0	0	1	0	0	0	405.0997	406.309	406.3138	422.1481	415.1132	422.1358	424.0997	2	100	100	0.7737	0.0193	1.4262	1.4128
424.1049	23	48	2	150	2	90	2	0	2.0873	0	2	0	0	0	0	2	0	0	0	424.1049	426.2084	426.2133	441.1546	434.1197	441.1424	447.1049	6	150	0	0.3181	0.3737	1.4261	1.4128
447.1097	21.0001	49	2	200	1	65	2	0	0	2	0	0	0	0	1.5439	0	2	0	0	447.1097	450.1147	450.1147	464.173	455.681	464.1608	468.1098	4	100	100	0.9731	0.1189	1.4261	1.4128
468.1147	24.0001	50	2	150	1	15	2	0	0	1	0	0	0	0	1.5868	0	2	0	0	468.1147	471.1203	471.1203	485.1788	476.7294	485.1666	492.1148	7	150	0	0.2242	0.0271	1.4262	1.4128
492.12	24	51	2	200	2	60	2	0	1.2469	0	2	0	0	0	0	2	0	0	0	492.12	493.3835	493.3892	509.1702	502.1353	509.158	516.12	7	0	0	0.9226	0.816	1.4262	1.4128
516.1254	24	52	2	150	2	30	2	0	2.196	0	2	0	0	0	0	1	0	0	0	516.1254	518.337	518.3403	533.1749	526.14	533.1627	540.1254	7	0	150	0.1716	0.8357	1.4262	1.4129
540.1303	23.0001	53	2	200	1	75	2	0	0	2	0	0	0	0	0.6282	0	2	0	0	540.1303	543.1358	543.1358	557.193	547.7848	557.1807	563.1304	6	100	100	0.7601	0.1865	1.4262	1.6128
563.1357	23	54	2	150	1	80	2	0	0	1	0	0	0	0	0.703	0	1	0	0	563.1357	566.141	566.141	580.1847	570.8647	580.1725	586.1357	6	150	0	0.618	0.6101	1.4261	1.4128
586.1409	20.0001	55	2	200	2	20	2	0	1.9416	0	2	0	0	0	0	2	0	0	0	586.1409	588.0976	588.1019	603.1898	596.1549	603.1775	606.141	3	0	0	0.6894	0.5208	1.4261	1.4128
606.1459	24	56	2	150	2	35	2	0	2.2039	0	2	0	0	0	0	1	0	0	0	606.1459	608.366	608.3746	623.1959	616.1611	623.1837	630.1459	7	0	150	0.0853	0.8021	1.4261	1.4128
