onset	duration	Trials	Runs	Cond_1_200_2_150_HasBeenChangedTo200_150	order_1_first_2_lastForThisIdPerson_	ProbR	ID_1_PlayerA_2_playerB_	AnsTimePAS1_rtStage1_playerA___3Seconds	AnsTimePBS1	PAChoS1_1Left_2Right_	PBChoS1	MissingPAS1_0None_	MissingPBS1	AnsTimePAS2	AnsTimePBS2	PAChoS2	PBChoS2	MissingPAS2	MissingPBS2	TriOn	DecEndS1	IsiOnS1	FbOnS1	DecEndS2	FbOffS2	TriEnd	Jitter	rwPA_rewardToPa_	rwPB	randa	randb
0.0002	22.0007	85	4	200	1	60	1	0.9219	0	2	0	0	0	0	0	0	2	0	0	0.0002	0.9619	0.9728	17.0732	10.0395	17.0618	22.0009	5	0	0	0.7531	0.7061
22.0232	22.0007	86	4	150	1	35	1	2.4001	0	1	0	0	0	0	0	0	2	0	0	22.0232	24.4579	24.4698	39.1041	32.0704	39.0923	44.0239	5	150	0	0.3196	0.8338
44.0436	20.0007	87	4	200	2	85	1	0	0	0	2	0	0	0.5781	0	2	0	0	0	44.0436	47.0625	47.0625	61.1218	51.6641	61.1099	64.0443	3	100	100	0.4463	0.3552
64.0647	22.0008	88	4	150	2	20	1	0	0	0	1	0	0	0.5719	0	1	0	0	0	64.0647	67.0842	67.0843	81.1401	71.6763	81.1284	86.0655	5	150	0	0.8632	0.0142
86.0887	23.0034	89	4	200	1	90	1	1.0862	0	2	0	0	0	0	0	0	2	0	0	86.0887	87.2109	87.2173	103.1715	96.126	103.1603	109.0921	6	100	100	0.4652	0.5784
109.1279	22.0006	90	4	150	1	80	1	2.4083	0	1	0	0	0	0	0	0	2	0	0	109.1279	111.5636	111.5673	126.1882	119.1543	126.1763	131.1285	5	0	150	0.6579	0.4723
131.146	23.0001	91	4	200	2	40	1	0	0	0	1	0	0	0.6559	0	1	0	0	0	131.146	134.1582	134.1582	148.2192	138.8392	148.2071	154.1461	6	100	100	0.5805	0.509
154.1657	23.0001	92	4	150	2	90	1	0	0	0	2	0	0	1.1609	0	2	0	0	0	154.1657	157.1813	157.1813	171.2363	162.3615	171.2243	177.1658	6	150	0	0.8384	0.292
177.183	25.0001	93	4	200	1	75	1	1.2384	0	2	0	0	0	0	0	0	2	0	0	177.183	178.4591	178.4732	194.2669	187.2329	194.2549	202.1831	8	100	100	0.1557	0.0684
202.2027	22.0001	94	4	150	1	80	1	0	0	0	0	1	0	0	0	0	0	0	0	202.2027	205.2212	205.2355	219.2299	-13187.1895	-13187.1895	224.2028	5	0	0	0.4234	0.5151
224.2205	26.0001	95	4	200	2	20	1	0	0	0	1	0	0	0.8517	0	1	0	0	0	224.2205	227.2475	227.2477	241.3009	232.1169	241.2888	250.2206	9	100	100	0.6406	0.7541
250.238	24.0001	96	4	150	2	35	1	0	0	0	1	0	0	1.1157	0	2	0	0	0	250.238	253.2533	253.2533	267.2898	258.3835	267.2782	274.2381	7	0	150	0.5468	0.6335
274.2583	23.0001	97	4	200	1	40	1	0.6881	0	1	0	0	0	0	0	0	1	0	0	274.2583	274.9753	274.9801	291.3203	284.2863	291.3083	297.2584	6	100	100	0.2285	0.1595
297.2764	21.0001	98	4	150	1	15	1	0.8856	0	1	0	0	0	0	0	0	2	0	0	297.2764	298.1901	298.1972	314.3374	307.3034	314.3255	318.2765	4	150	0	0.1834	0.4431
318.2963	24.0001	99	4	200	2	75	1	0	0	0	2	0	0	0.8746	0	2	0	0	0	318.2963	321.3138	321.3138	335.3555	326.2077	335.3435	342.2964	7	100	100	0.9354	0.4902
342.3148	24.0001	100	4	150	2	10	1	0	0	0	2	0	0	0.5493	0	2	0	0	0	342.3148	345.3311	345.3311	359.3857	349.8996	359.3737	366.3149	7	0	150	0.1201	0.4497
366.3329	21.0001	101	4	200	1	65	1	0.9171	0	2	0	0	0	0	0	0	2	0	0	366.3329	367.2733	367.2888	383.4025	376.3685	383.3904	387.333	4	0	0	0.4006	0.8435
387.3542	21.0001	102	4	150	1	25	1	1.136	0	1	0	0	0	0	0	0	2	0	0	387.3542	388.5237	388.5334	404.4205	397.3865	404.4084	408.3543	4	150	0	0.5671	0.7424
408.3732	25.0001	103	4	200	2	10	1	0	0	0	1	0	0	0.6721	0	1	0	0	0	408.3732	411.3892	411.3892	425.4385	416.1015	425.4265	433.3733	8	100	100	0.3624	0.5683
433.3918	24.0001	104	4	150	2	70	1	0	0	0	2	0	0	0.7293	0	2	0	0	0	433.3918	436.4076	436.4076	450.4682	441.1756	450.4562	457.3919	7	150	0	0.125	0.2
457.4103	21.0001	105	4	200	1	25	1	0.9466	0	1	0	0	0	0	0	0	1	0	0	457.4103	458.3853	458.398	474.4849	467.451	474.473	478.4104	4	0	0	0.5543	0.9767
478.4283	24.0001	106	4	150	1	15	1	1.5546	0	2	0	0	0	0	0	0	1	0	0	478.4283	480.0117	480.0158	495.4897	488.4558	495.4777	502.4284	7	0	150	0.1922	0.686
502.4487	24.0001	107	4	200	2	85	1	0	0	0	2	0	0	0.6178	0	2	0	0	0	502.4487	505.4653	505.4653	519.5198	510.1017	519.5078	526.4488	7	100	100	0.466	0.2755
526.4671	24.0001	108	4	150	2	30	1	0	0	0	1	0	0	1.0223	0	1	0	0	0	526.4671	529.4837	529.4837	543.5233	534.5234	543.5112	550.4672	7	0	150	0.9492	0.9329
550.4857	19.0001	109	4	200	1	65	1	0.7521	0	2	0	0	0	0	0	0	2	0	0	550.4857	551.2725	551.2798	567.5534	560.5193	567.5414	569.4858	2	100	100	0.8982	0.1699
569.507	21.0002	110	4	150	1	30	1	1.4848	0	1	0	0	0	0	0	0	1	0	0	569.507	571.0238	571.0317	586.5724	579.5382	586.5602	590.5072	4	0	150	0.9304	0.3336
