onset	duration	Trials	Runs	Cond_1_200_2_150_HasBeenChangedTo200_150	order_1_first_2_lastForThisIdPerson_	ProbR	ID_1_PlayerA_2_playerB_	AnsTimePAS1_rtStage1_playerA___3Seconds	AnsTimePBS1	PAChoS1_1Left_2Right_	PBChoS1	MissingPAS1_0None_	MissingPBS1	AnsTimePAS2	AnsTimePBS2	PAChoS2	PBChoS2	MissingPAS2	MissingPBS2	TriOn	DecEndS1	IsiOnS1	FbOnS1	DecEndS2	FbOffS2	TriEnd	Jitter	rwPA_rewardToPa_	rwPB	randa	randb	Unknown1	Unknown2
0.0043	23.0008	1	1	200	1	25	2	0	0	1	0	0	0	0	0.5455	0	1	0	0	0.0043	3.0379	3.0379	17.0966	7.6063	17.0849	23.0051	6	100	100	0.5212	0.7195	1.3695	1.1991
23.0953	23.001	2	1	150	1	30	2	0	0	1	0	0	0	0	0.5382	0	1	0	0	23.0953	26.0999	26.0999	40.1541	30.6565	40.1424	46.0963	6	0	150	0.1617	0.4387	1.2178	1.1994
46.1342	23.0001	3	1	200	2	10	2	0	0.8106	0	1	0	0	0	0	1	0	0	0	46.1342	46.9618	46.9774	63.1845	56.1571	63.1723	69.1343	6	0	0	0.7928	0.9833	1.1395	1.1599
69.1522	21.0001	4	1	150	2	20	2	0	1.2353	0	1	0	0	0	0	1	0	0	0	69.1522	70.4176	70.4346	86.2153	79.1841	86.2032	90.1523	4	150	0	0.5201	0.1161	1.1298	1.1332
90.1721	23.0002	5	1	200	1	75	2	0	0	2	0	0	0	0	0.709	0	2	0	0	90.1721	93.1883	93.1883	107.2335	97.9203	107.2214	113.1723	6	100	100	0.3839	0.5962	1.2762	1.1328
113.1919	20.0001	6	1	150	1	85	2	0	0	1	0	0	0	0	0.6005	0	1	0	0	113.1919	116.2092	116.2092	130.2508	120.8289	130.2388	133.192	3	150	0	0.8649	0.3192	1.1261	1.6793
133.2101	24.0001	7	1	200	2	65	2	0	1.0822	0	2	0	0	0	0	2	0	0	0	133.2101	134.3186	134.3289	150.2694	143.2373	150.2574	157.2102	7	0	0	0.1769	0.9851	1.0776	1.0399
157.2306	25.0001	8	1	150	2	85	2	0	1.0248	0	2	0	0	0	0	1	0	0	0	157.2306	158.2915	158.3059	174.2998	167.262	174.2877	182.2307	8	0	150	0.2606	0.4692	1.0698	1.1065
182.2487	23.0001	9	1	200	1	70	2	0	0	2	0	0	0	0	0.7449	0	2	0	0	182.2487	185.2644	185.2644	199.3163	190.0254	199.3043	205.2488	6	0	0	0.5623	0.7808	1.4966	2.079
205.2686	23	10	1	150	1	15	2	0	0	1	0	0	0	0	0.572	0	1	0	0	205.2686	208.2842	208.2843	222.3336	212.8702	222.3217	228.2686	6	0	150	0.6078	0.4139	1.2273	1.0929
