onset	duration	Trials	Runs	Cond_1_200_2_150_HasBeenChangedTo200_150	order_1_first_2_lastForThisIdPerson_	ProbR	ID_1_PlayerA_2_playerB_	AnsTimePAS1_rtStage1_playerA___3Seconds	AnsTimePBS1	PAChoS1_1Left_2Right_	PBChoS1	MissingPAS1_0None_	MissingPBS1	AnsTimePAS2	AnsTimePBS2	PAChoS2	PBChoS2	MissingPAS2	MissingPBS2	TriOn	DecEndS1	IsiOnS1	FbOnS1	DecEndS2	FbOffS2	TriEnd	Jitter	rwPA_rewardToPa_	rwPB	randa	randb	Unknown1	Unknown2
0.0008	23.0013	1	1	200	1	25	2	0	0	1	0	0	0	0	0.573	0	1	0	0	0.0008	3.0245	3.0247	17.0793	7.6216	17.0635	23.0021	6	100	100	0.5212	0.7195	1.2498	1.2332
23.1157	23.0001	2	1	150	1	30	2	0	0	1	0	0	0	0	0.653	0	1	0	0	23.1157	26.1364	26.1364	40.2081	30.8132	40.1921	46.1158	6	0	150	0.1617	0.4387	1.2497	1.2163
46.1327	23.0001	3	1	200	2	10	2	0	0.5979	0	1	0	0	0	0	1	0	0	0	46.1327	46.7555	46.7736	63.2204	56.1744	63.2048	69.1328	6	0	0	0.7928	0.9833	1.2331	1.2165
69.1459	21	4	1	150	2	20	2	0	1.1982	0	2	0	0	0	0	2	0	0	0	69.1459	70.3678	70.3857	86.2327	79.1859	86.2167	90.1459	4	0	150	0.5201	0.1161	1.2331	1.2166
90.1538	23.0002	5	1	200	1	75	2	0	0	2	0	0	0	0	0.5921	0	2	0	0	90.1538	93.1626	93.1626	107.2287	97.7897	107.2126	113.154	6	100	100	0.3839	0.5962	1.2332	1.2165
113.1623	20	6	1	150	1	85	2	0	0	1	0	0	0	0	1.3648	0	2	0	0	113.1623	116.173	116.173	130.241	121.5575	130.2248	133.1623	3	0	150	0.8649	0.3192	1.2333	1.2163
133.1709	24.0001	7	1	200	2	65	2	0	0.8823	0	2	0	0	0	0	2	0	0	0	133.1709	134.0726	134.0901	150.2539	143.2068	150.2378	157.171	7	0	0	0.1769	0.9851	1.6332	1.4163
157.1824	25.0001	8	1	150	2	85	2	0	0.9991	0	2	0	0	0	0	1	0	0	0	157.1824	158.2015	158.2188	174.2658	167.2188	174.2497	182.1825	8	0	150	0.2606	0.4692	1.2331	1.2166
182.1905	23.0001	9	1	200	1	70	2	0	0	2	0	0	0	0	0.5531	0	2	0	0	182.1905	185.1991	185.1991	199.2612	189.7828	199.245	205.1906	6	0	0	0.5623	0.7808	1.2331	1.2165
205.1981	23.0001	10	1	150	1	15	2	0	0	1	0	0	0	0	0.6626	0	2	0	0	205.1981	208.211	208.211	222.2733	212.9045	222.2573	228.1982	6	150	0	0.6078	0.4139	1.2332	1.2166
228.2061	23.0001	11	1	200	2	60	2	0	1.1046	0	2	0	0	0	0	2	0	0	0	228.2061	229.3434	229.3553	245.2857	238.2389	245.2696	251.2062	6	100	100	0.8385	0.1088	1.2332	1.2166
251.2146	24.0001	12	1	150	2	20	2	0	0.8717	0	1	0	0	0	0	2	0	0	0	251.2146	252.1063	252.1176	268.298	261.2511	268.2819	275.2147	7	0	150	0.4622	0.5047	1.2332	1.2166
275.2228	24.0001	13	1	200	1	80	2	0	0	2	0	0	0	0	0.7763	0	2	0	0	275.2228	278.2346	278.2346	292.2934	283.0385	292.2774	299.2229	7	100	100	0.4586	0.2929	1.2333	1.2165
299.231	21.0001	14	1	150	1	40	2	0	0	2	0	0	0	0	0.9487	0	2	0	0	299.231	302.2398	302.2398	316.3221	307.2229	316.3063	320.2311	4	150	0	0.0916	0.8384	1.2331	1.2165
320.2396	25.0001	15	1	200	2	30	2	0	0.9993	0	1	0	0	0	0	1	0	0	0	320.2396	321.2544	321.2712	337.3183	330.2713	337.3022	345.2397	8	100	100	0.1196	0.5065	1.233	1.2164
345.2475	24.0002	16	1	150	2	10	2	0	0.9549	0	1	0	0	0	0	1	0	0	0	345.2475	346.2216	346.2332	362.3302	355.283	362.3141	369.2477	7	150	0	0.7053	0.5028	1.2331	1.2166
369.2563	19.0001	17	1	200	1	80	2	0	0	2	0	0	0	0	0.5994	0	2	0	0	369.2563	372.2673	372.2673	386.3423	376.8936	386.3261	388.2564	2	0	0	0.2405	0.9676	1.2332	1.2163
388.2642	22.0001	18	1	150	1	75	2	0	0	2	0	0	0	0	0.8219	0	1	0	0	388.2642	391.2729	391.2729	405.3387	396.1291	405.3225	410.2643	5	150	0	0.0304	0.0855	1.2331	1.2164
410.2722	24.0001	19	1	200	2	65	2	0	0.7521	0	2	0	0	0	0	2	0	0	0	410.2722	411.04	411.0542	427.3512	420.3041	427.335	434.2723	7	0	0	0.4122	0.8945	1.2329	1.2162
434.2814	21.0001	20	1	150	2	60	2	0	1.7024	0	1	0	0	0	0	2	0	0	0	434.2814	436.0188	436.0327	451.3632	444.3165	451.3472	455.2815	4	150	0	0.8023	0.2692	1.2329	1.2163
455.2896	22.0002	21	1	200	1	90	2	0	0	2	0	0	0	0	0.9991	0	2	0	0	455.2896	458.2979	458.2979	472.3759	463.3268	472.3598	477.2898	5	100	100	0.2534	0.4844	1.233	1.2165
477.2978	22.0001	22	1	150	1	90	2	0	0	1	0	0	0	0	1.1806	0	2	0	0	477.2978	480.3062	480.3062	494.3884	485.5209	494.3725	499.2979	5	0	150	0.0492	0.276	1.2332	1.2163
499.3061	22.0001	23	1	200	2	15	2	0	0.8877	0	1	0	0	0	0	1	0	0	0	499.3061	500.2093	500.2204	516.3842	509.3369	516.3681	521.3062	5	100	100	0.1339	0.2056	1.2332	1.2165
521.3141	22.0001999999999	24	1	150	2	25	2	0	1.0459	0	2	0	0	0	0	2	0	0	0	521.3141	522.379	522.3828	538.38	531.3332	538.364	543.3143	5	0	150	0.5054	0.1239	1.233	1.2164
543.3225	20.0001	25	1	200	1	70	2	0	0	2	0	0	0	0	0.5721	0	2	0	0	543.3225	546.3314	546.3314	560.3926	550.9332	560.3765	563.3226	3	100	100	0.8368	0.6167	1.2331	1.2165
563.3311	20.0001	26	1	150	1	35	2	0	0	1	0	0	0	0	0.7719	0	2	0	0	563.3311	566.3443	566.3444	580.4054	571.1458	580.3893	583.3312	3	150	0	0.0569	0.0408	1.2332	1.2166
583.3392	21.0001999999999	27	1	200	2	40	2	0	0.9536	0	1	0	0	0	0	1	0	0	0	583.3392	584.3086	584.3213	600.4183	593.3709	600.4023	604.3394	4	100	100	0.291	0.4634	1.2331	1.2165
604.3473	26.0001	28	1	150	2	35	2	0	1.3699	0	2	0	0	0	0	1	0	0	0	604.3473	605.7374	605.7504	621.431	614.3839	621.4148	630.3474	9	0	150	0.2717	0.9382	1.2332	1.2164
