onset	duration	Trials	Runs	Cond_1_200_2_150_HasBeenChangedTo200_150	order_1_first_2_lastForThisIdPerson_	ProbR	ID_1_PlayerA_2_playerB_	AnsTimePAS1_rtStage1_playerA___3Seconds	AnsTimePBS1	PAChoS1_1Left_2Right_	PBChoS1	MissingPAS1_0None_	MissingPBS1	AnsTimePAS2	AnsTimePBS2	PAChoS2	PBChoS2	MissingPAS2	MissingPBS2	TriOn	DecEndS1	IsiOnS1	FbOnS1	DecEndS2	FbOffS2	TriEnd	Jitter	rwPA_rewardToPa_	rwPB	randa	randb
0.0008	20.0012	57	3	200	1	40	2	0	0	1	0	0	0	0	1.1923	0	1	0	0	0.0008	3.0258	3.0259	17.0854	8.2466	17.0695	20.002	3	0	0	0.0498	0.8698
20.0212	23.0001	58	3	150	1	65	2	0	0	1	0	0	0	0	1.5346	0	1	0	0	20.0212	23.0331	23.0331	37.1147	28.6015	37.0987	43.0213	6	150	0	0.8838	0.9579
43.035	23.0001	59	3	200	2	10	2	0	0.6335	0	1	0	0	0	0	1	0	0	0	43.035	43.6974	43.7135	60.1103	53.0632	60.0944	66.0351	6	100	100	0.7252	0.4259
66.0429	23.0001	60	3	150	2	90	2	0	1.0635	0	2	0	0	0	0	1	0	0	0	66.0429	67.1231	67.1423	83.1227	76.0756	83.1066	89.043	6	0	150	0.0151	0.743
89.051	22.0001	61	3	200	1	40	2	0	0	1	0	0	0	0	0.614	0	1	0	0	89.051	92.0593	92.0593	106.135	96.7009	106.119	111.0511	5	100	100	0.1432	0.0607
111.06	24.0001	62	3	150	1	70	2	0	0	2	0	0	0	0	1.04	0	1	0	0	111.06	114.0688	114.0688	128.1307	119.1394	128.1148	135.0601	7	150	0	0.354	0.8262
135.0682	26.0001	63	3	200	2	25	2	0	1.2221	0	1	0	0	0	0	1	0	0	0	135.0682	136.3183	136.3291	152.1429	145.0959	152.1269	161.0683	9	100	100	0.1016	0.1
161.077	22.0001	64	3	150	2	65	2	0	1.1466	0	2	0	0	0	0	1	0	0	0	161.077	162.2545	162.2742	178.1546	171.1073	178.1384	183.0771	5	0	150	0.7802	0.0369
183.085	21.0001	65	3	200	1	35	2	0	0	1	0	0	0	0	0.5013	0	1	0	0	183.085	186.0987	186.0987	200.1671	190.6203	200.1509	204.0851	4	0	0	0.9028	0.7488
204.093	25.0001	66	3	150	1	80	2	0	0	2	0	0	0	0	1.1189	0	1	0	0	204.093	207.1063	207.1063	221.1798	212.2505	221.1637	229.0931	8	150	0	0.4646	0.2712
229.1017	21.0001	67	3	200	2	90	2	0	0.9621	0	2	0	0	0	0	2	0	0	0	229.1017	230.0902	230.0946	246.1751	239.1278	246.1589	250.1018	4	100	100	0.7846	0.7926
250.1143	24.0001	68	3	150	2	85	2	0	0.7698	0	1	0	0	0	0	1	0	0	0	250.1143	250.9106	250.924	267.2044	260.1572	267.1882	274.1144	7	0	150	0.5947	0.8741
274.1225	24.0001	69	3	200	1	15	2	0	0	1	0	0	0	0	0.7436	0	1	0	0	274.1225	277.1345	277.1345	291.1998	281.912	291.1837	298.1226	7	100	100	0.2241	0.1368
298.1314	21.0002	70	3	150	1	60	2	0	0	1	0	0	0	0	0.5455	0	1	0	0	298.1314	301.1406	301.1406	315.1952	305.7094	315.1792	319.1316	4	150	0	0.8541	0.2953
319.1397	24.0001	71	3	200	2	75	2	0	0.8102	0	2	0	0	0	0	2	0	0	0	319.1397	319.9712	319.9775	336.2079	329.1606	336.1917	343.1398	7	100	100	0.1024	0.5099
343.1487	22.0001	72	3	150	2	20	2	0	0.7245	0	1	0	0	0	0	2	0	0	0	343.1487	343.8978	343.9063	360.2201	353.1729	360.204	365.1488	5	0	150	0.125	0.952
365.1568	22.0002	73	3	200	1	75	2	0	0	2	0	0	0	0	0.861	0	2	0	0	365.1568	368.1653	368.1653	382.2157	373.0458	382.1998	387.157	5	0	0	0.5358	0.8588
387.1652	24.0001	74	3	150	1	25	2	0	0	1	0	0	0	0	0.5945	0	2	0	0	387.1652	390.1765	390.1765	404.2281	394.7913	404.2122	411.1653	7	150	0	0.9712	0.3404
411.174	21.0002	75	3	200	2	30	2	0	0.8049	0	1	0	0	0	0	1	0	0	0	411.174	411.9983	412.0101	428.2571	421.2101	428.2409	432.1742	4	100	100	0.8086	0.5485
432.1828	22.0002	76	3	150	2	10	2	0	1.0432	0	2	0	0	0	0	2	0	0	0	432.1828	433.2495	433.2559	449.2531	442.206	449.237	454.183	5	0	150	0.2085	0.8378
454.1914	20.0001	77	3	200	1	70	2	0	0	2	0	0	0	0	0.5182	0	2	0	0	454.1914	457.1998	457.1998	471.2823	461.7523	471.2662	474.1915	3	100	100	0.0407	0.5209
474.2004	25.0001	78	3	150	1	60	2	0	0	1	0	0	0	0	0.9544	0	2	0	0	474.2004	477.2088	477.2088	491.2617	482.1847	491.2456	499.2005	8	0	150	0.6493	0.1996
499.2086	20.0001	79	3	200	2	20	2	0	0.776	0	1	0	0	0	0	1	0	0	0	499.2086	500.0029	500.01	516.2902	509.2431	516.2743	519.2087	3	100	100	0.7964	0.7426
519.2173	23.0001	80	3	150	2	35	2	0	0.9105	0	2	0	0	0	0	1	0	0	0	519.2173	520.1503	520.156	536.2865	529.2398	536.2704	542.2174	6	0	150	0.4816	0.7059
542.2262	23.0001	81	3	200	1	30	2	0	0	1	0	0	0	0	0.8211	0	1	0	0	542.2262	545.2351	545.2351	559.2987	550.0884	559.2828	565.2263	6	100	100	0.9518	0.5107
565.2345	19.0001	82	3	150	1	80	2	0	0	2	0	0	0	0	0.628	0	2	0	0	565.2345	568.243	568.243	582.2944	572.8909	582.2783	584.2346	2	0	150	0.2248	0.2741
584.2434	23.0001	83	3	200	2	15	2	0	1.1543	0	1	0	0	0	0	1	0	0	0	584.2434	585.4149	585.4271	601.3242	594.2771	601.3081	607.2435	6	100	100	0.9208	0.276
607.2518	23.0001	84	3	150	2	85	2	0	0.8633	0	1	0	0	0	0	2	0	0	0	607.2518	608.1364	608.156	624.3365	617.2893	624.3205	630.2519	6	150	0	0.2903	0.1677
