onset	duration	Trials	Runs	Cond_1_200_2_150_HasBeenChangedTo200_150	order_1_first_2_lastForThisIdPerson_	ProbR	ID_1_PlayerA_2_playerB_	AnsTimePAS1_rtStage1_playerA___3Seconds	AnsTimePBS1	PAChoS1_1Left_2Right_	PBChoS1	MissingPAS1_0None_	MissingPBS1	AnsTimePAS2	AnsTimePBS2	PAChoS2	PBChoS2	MissingPAS2	MissingPBS2	TriOn	DecEndS1	IsiOnS1	FbOnS1	DecEndS2	FbOffS2	TriEnd	Jitter	rwPA_rewardToPa_	rwPB	randa	randb
0.0001	20.0164	29	2	200	1	40	1	1.3657	0	1	0	0	0	0	0	0	1	0	0	0.0001	1.3823	1.3998	17.0497	10.0245	17.0496	20.0165	3	100	100	0.6093	0.5562
20.0234	20.0166	30	2	150	1	60	1	1.6344	0	2	0	0	0	0	0	0	2	0	0	20.0234	21.6836	21.6991	37.0653	30.0449	37.0653	40.04	3	150	0	0.8624	0.9777
40.0462	24.0167	31	2	200	2	40	1	0	0	0	1	0	0	1.2254	0	1	0	0	0	40.0462	43.0527	43.0528	57.0811	48.2901	57.0811	64.0629	7	0	0	0.387	0.9365
64.0691	22.0166	32	2	150	2	70	1	0	0	0	1	0	0	1.5195	0	1	0	0	0	64.0691	67.0754	67.0754	81.1135	72.6166	81.1134	86.0857	5	0	150	0.2155	0.2635
86.0925	21.0169	33	2	200	1	10	1	0.7133	0	1	0	0	0	0	0	0	1	0	0	86.0925	86.8265	86.8463	103.1463	96.1212	103.1461	107.1094	4	100	100	0.4946	0.3662
107.1189	26.0167	34	2	150	1	25	1	2.6218	0	1	0	0	0	0	0	0	1	0	0	107.1189	109.7674	109.7787	124.1616	117.1347	124.1616	133.1356	9	0	150	0.6515	0.6494
133.1416	22.0166	35	2	200	2	70	1	0	0	0	2	0	0	1.0684	0	2	0	0	0	133.1416	136.1481	136.1481	150.1938	141.2293	150.1938	155.1582	5	100	100	0.9488	0.5226
155.1636	22.0166	36	2	150	2	35	1	0	0	0	1	0	0	2.0754	0	1	0	0	0	155.1636	158.1692	158.1692	172.2096	164.2521	172.2096	177.1802	5	150	0	0.7967	0.5675
177.1857	23.0165	37	2	200	1	20	1	0.8566	0	1	0	0	0	0	0	0	1	0	0	177.1857	178.066	178.076	194.2254	187.2011	194.2254	200.2022	6	100	100	0.0052	0.6745
200.2082	22.0165	38	2	150	1	80	1	1.5478	0	1	0	0	0	0	0	0	2	0	0	200.2082	201.7731	201.7916	217.2577	210.2316	217.2577	222.2247	5	0	150	0.2028	0.6775
