onset	duration	Trials	Runs	Cond_1_200_2_150_HasBeenChangedTo200_150	order_1_first_2_lastForThisIdPerson_	ProbR	ID_1_PlayerA_2_playerB_	AnsTimePAS1_rtStage1_playerA___3Seconds	AnsTimePBS1	PAChoS1_1Left_2Right_	PBChoS1	MissingPAS1_0None_	MissingPBS1	AnsTimePAS2	AnsTimePBS2	PAChoS2	PBChoS2	MissingPAS2	MissingPBS2	TriOn	DecEndS1	IsiOnS1	FbOnS1	DecEndS2	FbOffS2	TriEnd	Jitter	rwPA_rewardToPa_	rwPB	randa	randb	Unknown1	Unknown2
0	20.0003	57	3	200	1	40	2	0	0	1	0	0	0	0	0.4153	0	1	0	0	0	3.0071	3.0071	17.0693	7.4483	17.0574	20.0003	3	0	0	0.0498	0.8698	2.2391	2.6258
20.0067	23.0002	58	3	150	1	65	2	0	0	2	0	0	0	0	0.4377	0	2	0	0	20.0067	23.0135	23.0136	37.0754	27.4768	37.0632	43.0069	6	150	0	0.8838	0.9579	2.6369	2.0223
43.0121	23.0002	59	3	200	2	10	2	0	1.2244	0	1	0	0	0	0	1	0	0	0	43.0121	44.2578	44.2741	60.0804	53.0458	60.0683	66.0123	6	100	100	0.7252	0.4259	2.0392	2.0259
66.0176	23.0002	60	3	150	2	90	2	0	0.9294	0	1	0	0	0	0	2	0	0	0	66.0176	66.9695	66.9846	83.0854	76.0509	83.0733	89.0178	6	150	0	0.0151	0.743	2.0259	2.8257
89.0235	22.0009	61	3	200	1	40	2	0	0	2	0	0	0	0	0.4668	0	2	0	0	89.0235	92.0322	92.0322	106.0906	96.5211	106.0786	111.0244	5	0	0	0.1432	0.0607	2.2391	2.0284
111.0337	24.0001	62	3	150	1	70	2	0	0	1	0	0	0	0	0.4868	0	1	0	0	111.0337	114.0404	114.0405	128.0958	118.5501	128.0875	135.0338	7	150	0	0.354	0.8262	2.2259	2.4258
135.0389	26	63	3	200	2	25	2	0	0.6615	0	1	0	0	0	0	1	0	0	0	135.0389	135.7149	135.7198	152.1005	145.0634	152.0883	161.0389	9	100	100	0.1016	0.1	2.0281	2.6257
161.0436	22.0001	64	3	150	2	65	2	0	0.8921	0	1	0	0	0	0	2	0	0	0	161.0436	161.9586	161.9636	178.0911	171.0563	178.0789	183.0437	5	150	0	0.7802	0.0369	2.0259	2.2125
183.0489	21	65	3	200	1	35	2	0	0	1	0	0	0	0	0.6633	0	1	0	0	183.0489	186.0561	186.0562	200.1098	190.7369	200.0976	204.0489	4	0	0	0.9028	0.7488	2.4258	2.2245
204.054	25.0001	66	3	150	1	80	2	0	0	2	0	0	0	0	0.4209	0	2	0	0	204.054	207.0605	207.0605	221.1156	211.5002	221.1034	229.0541	8	0	150	0.4646	0.2712	2.233	2.6261
229.0589	21.0001	67	3	200	2	90	2	0	0.7692	0	2	0	0	0	0	2	0	0	0	229.0589	229.8421	229.8593	246.1199	239.0852	246.1076	250.059	4	100	100	0.7846	0.7926	2.6409	3.4254
250.0643	24	68	3	150	2	85	2	0	0.9203	0	1	0	0	0	0	2	0	0	0	250.0643	251.0071	251.0231	267.1256	260.0908	267.1134	274.0643	7	0	150	0.5947	0.8741	2.2258	2.8257
274.0695	24.0001	69	3	200	1	15	2	0	0	1	0	0	0	0	0.7155	0	2	0	0	274.0695	277.0757	277.0757	291.1169	281.8095	291.1047	298.0696	7	0	0	0.2241	0.1368	2.6257	2.6257
298.0745	21	70	3	150	1	60	2	0	0	1	0	0	0	0	0.569	0	2	0	0	298.0745	301.0811	301.0811	315.1349	305.6813	315.1227	319.0745	4	0	150	0.8541	0.2953	2.2296	2.4253
319.0797	24.0001	71	3	200	2	75	2	0	0.9235	0	2	0	0	0	0	2	0	0	0	319.0797	320.0172	320.0265	336.1432	329.1058	336.1285	343.0798	7	100	100	0.1024	0.5099	2.2259	2.2126
343.0846	22	72	3	150	2	20	2	0	1.0876	0	2	0	0	0	0	2	0	0	0	343.0846	344.1858	344.1911	360.132	353.0971	360.1198	365.0846	5	0	150	0.125	0.952	2.839	2.2245
365.0895	22.0001	73	3	200	1	75	2	0	0	2	0	0	0	0	0.7811	0	1	0	0	365.0895	368.0953	368.0953	382.1374	372.8956	382.1297	387.0896	5	0	0	0.5358	0.8588	2.2353	2.4258
387.0948	24	74	3	150	1	25	2	0	0	1	0	0	0	0	0.5138	0	1	0	0	387.0948	390.101	390.101	404.1561	394.6409	404.1439	411.0948	7	0	150	0.9712	0.3404	2.2258	2.6263
411.1	21	75	3	200	2	30	2	0	1.0214	0	1	0	0	0	0	1	0	0	0	411.1	412.1354	412.1399	428.1627	421.123	428.1485	432.1	4	100	100	0.8086	0.5485	2.4287	3.0256
432.1048	22	76	3	150	2	10	2	0	0.9557	0	2	0	0	0	0	1	0	0	0	432.1048	433.0751	433.079	449.1532	442.1184	449.141	454.1048	5	150	0	0.2085	0.8378	2.639	3.2255
454.11	20.0001	77	3	200	1	70	2	0	0	2	0	0	0	0	0.4639	0	2	0	0	454.11	457.116	457.116	471.1719	461.6041	471.1597	474.1101	3	100	100	0.0407	0.5209	2.2259	2.4257
474.1153	25	78	3	150	1	60	2	0	0	1	0	0	0	0	0.4648	0	1	0	0	474.1153	477.1218	477.1218	491.178	481.6066	491.1693	499.1153	8	150	0	0.6493	0.1996	2.4326	2.4258
499.1202	19.9999999999999	79	3	200	2	20	2	0	0.7842	0	1	0	0	0	0	1	0	0	0	499.1202	499.9193	499.9349	516.1839	509.1541	516.1701	519.1202	3	100	100	0.7964	0.7426	2.4323	2.6124
519.1254	23.0001	80	3	150	2	35	2	0	0.834	0	2	0	0	0	0	1	0	0	0	519.1254	519.9757	519.981	536.1751	529.1402	536.1629	542.1255	6	0	150	0.4816	0.7059	2.4257	2.4125
542.1306	23	81	3	200	1	30	2	0	0	1	0	0	0	0	0.3768	0	1	0	0	542.1306	545.1363	545.1363	559.1934	549.5339	559.1812	565.1306	6	100	100	0.9518	0.5107	2.8336	2.4248
565.1355	19	82	3	150	1	80	2	0	0	2	0	0	0	0	0.5117	0	2	0	0	565.1355	568.1418	568.1418	582.1851	572.6776	582.1729	584.1355	2	0	150	0.2248	0.2741	2.4257	2.6245
584.141	23	83	3	200	2	15	2	0	0.7848	0	1	0	0	0	0	1	0	0	0	584.141	584.9425	584.9575	601.2049	594.1749	601.1927	607.141	6	100	100	0.9208	0.276	2.8341	2.4124
607.1462	23	84	3	150	2	85	2	0	1.0116	0	1	0	0	0	0	1	0	0	0	607.1462	608.1743	608.1891	624.2099	617.1798	624.1977	630.1462	6	0	150	0.2903	0.1677	2.4344	2.4125
