onset	duration	Trials	Runs	Cond_1_200_2_150_HasBeenChangedTo200_150	order_1_first_2_lastForThisIdPerson_	ProbR	ID_1_PlayerA_2_playerB_	AnsTimePAS1_rtStage1_playerA___3Seconds	AnsTimePBS1	PAChoS1_1Left_2Right_	PBChoS1	MissingPAS1_0None_	MissingPBS1	AnsTimePAS2	AnsTimePBS2	PAChoS2	PBChoS2	MissingPAS2	MissingPBS2	TriOn	DecEndS1	IsiOnS1	FbOnS1	DecEndS2	FbOffS2	TriEnd	Jitter	rwPA_rewardToPa_	rwPB	randa	randb	Unknown1	Unknown2
0.0002	20.0007	29	2	200	1	40	1	0.7145	0	1	0	0	0	0	0	0	1	0	0	0.0002	0.7537	0.7587	17.0724	10.0389	17.0611	20.0009	3	100	100	0.6093	0.5562	2.0657	2.0529
20.0252	20.0007	30	2	150	1	60	1	0.4983	0	2	0	0	0	0	0	0	2	0	0	20.0252	20.5692	20.5773	37.0909	30.0573	37.0791	40.0259	3	150	0	0.8624	0.9777	1.8524	2.0396
40.0478	24.0008	31	2	200	2	40	1	0	0	0	1	0	0	0.4942	0	1	0	0	0	40.0478	43.0686	43.0686	57.1228	47.5812	57.1111	64.0486	7	0	0	0.387	0.9365	1.2397	2.0525
64.0725	22.0007	32	2	150	2	70	1	0	0	0	2	0	0	0.5139	0	1	0	0	0	64.0725	67.0912	67.0913	81.1396	71.6311	81.1279	86.0732	5	0	150	0.2155	0.2635	1.4398	1.2261
86.0954	21.0035	33	2	200	1	10	1	0.6572	0	1	0	0	0	0	0	0	1	0	0	86.0954	86.8089	86.817	103.1978	96.1524	103.1863	107.0989	4	100	100	0.4946	0.3662	2.0659	1.2402
107.1362	26.0006	34	2	150	1	25	1	0.549	0	2	0	0	0	0	0	0	2	0	0	107.1362	107.718	107.7285	124.2022	117.1681	124.1902	133.1368	9	150	0	0.6515	0.6494	1.4394	1.2264
133.158	22.0001	35	2	200	2	70	1	0	0	0	2	0	0	0.5319	0	2	0	0	0	133.158	136.1747	136.1747	150.2315	140.7277	150.2195	155.1581	5	100	100	0.9488	0.5226	1.2265	2.4523
155.1766	22.0002	36	2	150	2	35	1	0	0	0	1	0	0	0.5412	0	1	0	0	0	155.1766	158.1933	158.1934	172.236	162.7546	172.224	177.1768	5	150	0	0.7967	0.5675	1.6396	1.626
177.1959	23.0001	37	2	200	1	20	1	0.6488	0	1	0	0	0	0	0	0	1	0	0	177.1959	177.8694	177.8868	194.2803	187.2464	194.2683	200.196	6	100	100	0.0052	0.6745	2.0525	1.8259
200.2155	22.0001	38	2	150	1	80	1	0.4693	0	2	0	0	0	0	0	0	1	0	0	200.2155	200.7204	200.7308	217.2844	210.2504	217.2724	222.2156	5	150	0	0.2028	0.6775	1.6392	2.0394
222.2352	21.0001	39	2	200	2	90	1	0	0	0	2	0	0	0.5485	0	2	0	0	0	222.2352	225.2522	225.2524	239.3154	229.8281	239.3034	243.2353	4	100	100	0.6702	0.0349	1.6396	1.6394
243.2563	23	40	2	150	2	30	1	0	0	0	2	0	0	0.4583	0	2	0	0	0	243.2563	246.2724	246.2724	260.3335	250.7559	260.3215	266.2563	6	0	150	0.3698	0.7722	1.4397	1.8392
266.276	25.0001	41	2	200	1	75	1	0.5723	0	2	0	0	0	0	0	0	2	0	0	266.276	266.8769	266.8906	283.3509	276.3168	283.3389	291.2761	8	0	0	0.4082	0.9245	2.6656	1.6262
291.296	21.0001	42	2	150	1	85	1	0.7924	0	1	0	0	0	0	0	0	1	0	0	291.296	292.1267	292.1337	308.3673	301.3333	308.3553	312.2961	4	150	0	0.8866	0.589	1.6393	1.6263
312.3179	22.0001	43	2	200	2	10	1	0	0	0	1	0	0	0.5584	0	1	0	0	0	312.3179	315.3359	315.3359	329.3989	319.9216	329.3869	334.318	5	100	100	0.9762	0.7818	1.2395	1.8393
334.3377	23.0001	44	2	150	2	85	1	0	0	0	2	0	0	0.5259	0	2	0	0	0	334.3377	337.3536	337.3536	351.4032	341.9201	351.3912	357.3378	6	0	150	0.5893	0.9133	1.6396	1.4261
357.3575	23.0001	45	2	200	1	15	1	0.5411	0	1	0	0	0	0	0	0	1	0	0	357.3575	357.9288	357.9336	374.4206	367.3864	374.4086	380.3576	6	100	100	0.9111	0.6735	1.6394	2.0396
380.3795	25.0001	46	2	150	1	65	1	0.6973	0	1	0	0	0	0	0	0	1	0	0	380.3795	381.1027	381.1109	397.4512	390.4171	397.4392	405.3796	8	150	0	0.9006	0.0478	1.6526	1.8396
405.3996	19.0001	47	2	200	2	25	1	0	0	0	1	0	0	0.5612	0	1	0	0	0	405.3996	408.4161	408.4161	422.4677	412.9933	422.4557	424.3997	2	100	100	0.7737	0.0193	1.2395	1.2261
424.4224	23.0001	48	2	150	2	90	1	0	0	0	1	0	0	0.5345	0	2	0	0	0	424.4224	427.4374	427.4374	441.5132	432.0122	441.5013	447.4225	6	150	0	0.3181	0.3737	1.2264	1.2262
447.4421	21.0001	49	2	200	1	65	1	0.5518	0	2	0	0	0	0	0	0	2	0	0	447.4421	448.023	448.0304	464.504	457.4698	464.492	468.4422	4	100	100	0.9731	0.1189	1.4395	2.2393
468.462	24.0001	50	2	150	1	15	1	0.6097	0	1	0	0	0	0	0	0	2	0	0	468.462	469.0986	469.1018	485.5221	478.488	485.5101	492.4621	7	150	0	0.2242	0.0271	1.4395	1.4264
492.484	24.0000000000001	51	2	200	2	60	1	0	0	0	2	0	0	0.455	0	2	0	0	0	492.484	495.5008	495.5008	509.5523	499.9719	509.5404	516.484	7	0	0	0.9226	0.816	1.4398	1.4261
516.5036	24.0001	52	2	150	2	30	1	0	0	0	1	0	0	0.5475	0	2	0	0	0	516.5036	519.5195	519.5195	533.5826	524.0942	533.5707	540.5037	7	0	150	0.1716	0.8357	2.2527	1.2262
540.5236	23.0001	53	2	200	1	75	1	0.557	0	2	0	0	0	0	0	0	2	0	0	540.5236	541.1103	541.1259	557.5995	550.5654	557.5876	563.5237	6	100	100	0.7601	0.1865	2.0526	1.6263
563.5443	23.0001	54	2	150	1	80	1	0.5396	0	2	0	0	0	0	0	0	2	0	0	563.5443	564.1099	564.1166	580.6036	573.5695	580.5915	586.5444	6	0	150	0.618	0.6101	1.4393	1.4264
586.5658	20.0001000000001	55	2	200	2	20	1	0	0	0	1	0	0	0.6655	0	1	0	0	0	586.5658	589.5825	589.5825	603.6342	594.264	603.6221	606.5659	3	100	100	0.6894	0.5208	1.2265	2.4523
606.5879	24.0001	56	2	150	2	35	1	0	0	0	2	0	0	0.4805	0	2	0	0	0	606.5879	609.6037	609.6037	623.6661	614.1106	623.6541	630.588	7	0	150	0.0853	0.8021	1.2396	1.2261
