onset	duration	Trials	Runs	Cond_1_200_2_150_HasBeenChangedTo200_150	order_1_first_2_lastForThisIdPerson_	ProbR	ID_1_PlayerA_2_playerB_	AnsTimePAS1_rtStage1_playerA___3Seconds	AnsTimePBS1	PAChoS1_1Left_2Right_	PBChoS1	MissingPAS1_0None_	MissingPBS1	AnsTimePAS2	AnsTimePBS2	PAChoS2	PBChoS2	MissingPAS2	MissingPBS2	TriOn	DecEndS1	IsiOnS1	FbOnS1	DecEndS2	FbOffS2	TriEnd	Jitter	rwPA_rewardToPa_	rwPB	randa	randb
0.0002	22.0001	85	4	200	1	60	2	0	0	2	0	0	0	0	0.656	0	2	0	0	0.0002	3.0071	3.0071	17.0751	7.6953	17.0576	22.0003	5	0	0	0.7531	0.7061
22.0077	22.0001	86	4	150	1	35	2	0	0	1	0	0	0	0	0.8428	0	2	0	0	22.0077	25.0151	25.0151	39.0814	29.8881	39.0639	44.0078	5	150	0	0.3196	0.8338
44.0156	20.0001	87	4	200	2	85	2	0	1.3309	0	2	0	0	0	0	2	0	0	0	44.0156	45.3664	45.3826	61.1042	54.0503	61.0864	64.0157	3	100	100	0.4463	0.3552
64.0227	22	88	4	150	2	20	2	0	1.3034	0	1	0	0	0	0	1	0	0	0	64.0227	65.3488	65.3882	81.1257	74.0721	81.1086	86.0227	5	150	0	0.8632	0.0142
86.0304	23	89	4	200	1	90	2	0	0	2	0	0	0	0	1.4585	0	2	0	0	86.0304	89.0378	89.0378	103.0984	94.5207	103.0813	109.0304	6	100	100	0.4652	0.5784
109.038	22.0001	90	4	150	1	80	2	0	0	1	0	0	0	0	1.023	0	2	0	0	109.038	112.0448	112.0448	126.1047	117.0917	126.0874	131.0381	5	0	150	0.6579	0.4723
131.0461	23.0001	91	4	200	2	40	2	0	1.3488	0	1	0	0	0	0	1	0	0	0	131.0461	132.4216	132.4399	148.1273	141.074	148.1101	154.0462	6	100	100	0.5805	0.509
154.0542	23	92	4	150	2	90	2	0	1.8177	0	2	0	0	0	0	2	0	0	0	154.0542	155.8965	155.9127	171.1335	164.0804	171.1163	177.0542	6	150	0	0.8384	0.292
177.062	25	93	4	200	1	75	2	0	0	2	0	0	0	0	1.4356	0	2	0	0	177.062	180.0696	180.0696	194.1401	185.5395	194.1225	202.062	8	100	100	0.1557	0.0684
202.0699	22	94	4	150	1	80	2	0	0	0	0	1	0	0	0	0	0	0	0	202.0699	205.0765	205.0765	219.0967	-223674.8517	-223674.8517	224.0699	5	0	0	0.4234	0.5151
224.078	26	95	4	200	2	20	2	0	0.8078	0	1	0	0	0	0	1	0	0	0	224.078	224.908	224.9168	241.1528	234.0999	241.1351	250.078	9	100	100	0.6406	0.7541
250.0849	24.0001	96	4	150	2	35	2	0	0.864	0	1	0	0	0	0	2	0	0	0	250.0849	250.9697	250.9885	267.1763	260.1232	267.1587	274.085	7	0	150	0.5468	0.6335
274.0935	23	97	4	200	1	40	2	0	0	1	0	0	0	0	0.9542	0	1	0	0	274.0935	277.1007	277.1007	291.166	282.0844	291.1488	297.0935	6	100	100	0.2285	0.1595
297.1011	21	98	4	150	1	15	2	0	0	1	0	0	0	0	0.9287	0	2	0	0	297.1011	300.1073	300.1073	314.1889	305.0652	314.1719	318.1011	4	150	0	0.1834	0.4431
318.1098	24.0001	99	4	200	2	75	2	0	0.8818	0	2	0	0	0	0	2	0	0	0	318.1098	319.0127	319.0236	335.2114	328.158	335.1942	342.1099	7	100	100	0.9354	0.4902
342.117	24	100	4	150	2	10	2	0	0.9178	0	2	0	0	0	0	2	0	0	0	342.117	343.0647	343.0801	359.2015	352.1484	359.1837	366.117	7	0	150	0.1201	0.4497
366.1256	21.0001	101	4	200	1	65	2	0	0	2	0	0	0	0	0.7044	0	2	0	0	366.1256	369.1321	369.1321	383.1909	373.8594	383.1738	387.1257	4	0	0	0.4006	0.8435
387.1334	21	102	4	150	1	25	2	0	0	1	0	0	0	0	0.804	0	2	0	0	387.1334	390.1391	390.1391	404.1969	394.9645	404.1795	408.1334	4	150	0	0.5671	0.7424
408.1407	25.0001	103	4	200	2	10	2	0	1.1423	0	1	0	0	0	0	1	0	0	0	408.1407	409.307	409.3159	425.2192	418.1657	425.2014	433.1408	8	100	100	0.3624	0.5683
433.1542	24	104	4	150	2	70	2	0	0.7275	0	2	0	0	0	0	2	0	0	0	433.1542	433.9153	433.9546	450.2926	443.2397	450.2754	457.1542	7	150	0	0.125	0.2
457.1624	21.0001	105	4	200	1	25	2	0	0	1	0	0	0	0	1.3911	0	1	0	0	457.1624	460.1702	460.1702	474.2324	465.5873	474.2151	478.1625	4	0	0	0.5543	0.9767
478.1708	24	106	4	150	1	15	2	0	0	2	0	0	0	0	0.918	0	1	0	0	478.1708	481.1763	481.1763	495.238	486.1203	495.2206	502.1708	7	0	150	0.1922	0.686
502.179	24	107	4	200	2	85	2	0	0.9788	0	2	0	0	0	0	2	0	0	0	502.179	503.1852	503.207	519.2616	512.2089	519.244	526.179	7	100	100	0.466	0.2755
526.187	24.0001	108	4	150	2	30	2	0	0.8121	0	1	0	0	0	0	1	0	0	0	526.187	527.025	527.0634	543.3177	536.2651	543.3005	550.1871	7	0	150	0.9492	0.9329
550.1956	19.0001	109	4	200	1	65	2	0	0	2	0	0	0	0	1.3053	0	2	0	0	550.1956	553.2022	553.2022	567.2745	558.5437	567.2568	569.1957	2	100	100	0.8982	0.1699
569.2039	21.0001	110	4	150	1	30	2	0	0	1	0	0	0	0	0.7969	0	1	0	0	569.2039	572.2097	572.2097	586.2963	577.0405	586.2785	590.204	4	0	150	0.9304	0.3336
590.2115	20.0001	111	4	200	2	60	2	0	0.9441	0	2	0	0	0	0	2	0	0	0	590.2115	591.1768	591.1975	607.3021	600.2484	607.2843	610.2116	3	100	100	0.654	0.051
610.2199	20	112	4	150	2	70	2	0	1.0259	0	1	0	0	0	0	1	0	0	0	610.2199	611.2665	611.2861	627.3071	620.2545	627.2899	630.2199	3	0	150	0.2216	0.7582
