onset	duration	Trials	Runs	Cond_1_200_2_150_HasBeenChangedTo200_150	order_1_first_2_lastForThisIdPerson_	ProbR	ID_1_PlayerA_2_playerB_	AnsTimePAS1_rtStage1_playerA___3Seconds	AnsTimePBS1	PAChoS1_1Left_2Right_	PBChoS1	MissingPAS1_0None_	MissingPBS1	AnsTimePAS2	AnsTimePBS2	PAChoS2	PBChoS2	MissingPAS2	MissingPBS2	TriOn	DecEndS1	IsiOnS1	FbOnS1	DecEndS2	FbOffS2	TriEnd	Jitter	rwPA_rewardToPa_	rwPB	randa	randb
0.0004	23.0003	1	1	200	1	25	1	1.02	0	1	0	0	0	0	0	0	1	0	0	0.0004	1.0535	1.0666	17.1004	10.0512	17.0836	23.0007	6	100	100	0.5212	0.7195
23.0588	23.0002	2	1	150	1	30	1	0.7746	0	1	0	0	0	0	0	0	1	0	0	23.0588	23.8584	23.8671	40.1341	33.0848	40.1175	46.059	6	0	150	0.1617	0.4387
46.0702	23	3	1	200	2	10	1	0	0	0	1	0	0	1.3336	0	1	0	0	0	46.0702	49.0777	49.0777	63.1511	54.4346	63.1345	69.0702	6	0	0	0.7928	0.9833
69.0748	21.0001	4	1	150	2	20	1	0	0	0	1	0	0	0.7546	0	2	0	0	0	69.0748	72.0821	72.0822	86.1516	76.8729	86.1349	90.0749	4	0	150	0.5201	0.1161
90.0802	23.0001	5	1	200	1	75	1	0	0	0	0	1	0	0	0	0	0	0	0	90.0802	93.0897	93.1017	107.1187	-10666.6839	-10666.6839	113.0803	6	0	0	0.3839	0.5962
113.0855	20	6	1	150	1	85	1	1.3646	0	2	0	0	0	0	0	0	1	0	0	113.0855	114.4834	114.5022	130.1858	123.1356	130.1691	133.0855	3	150	0	0.8649	0.3192
133.0901	24.0001	7	1	200	2	65	1	0	0	0	2	0	0	1.6202	0	2	0	0	0	133.0901	136.1017	136.1017	150.1861	141.7562	150.1695	157.0902	7	0	0	0.1769	0.9851
157.0954	25	8	1	150	2	85	1	0	0	0	2	0	0	1.2133	0	1	0	0	0	157.0954	160.1059	160.1059	174.1866	165.35	174.1699	182.0954	8	0	150	0.2606	0.4692
182.1005	23	9	1	200	1	70	1	1.524	0	2	0	0	0	0	0	0	2	0	0	182.1005	183.6609	183.6701	199.1871	192.1369	199.1704	205.1005	6	0	0	0.5623	0.7808
205.1052	23	10	1	150	1	15	1	1.8114	0	2	0	0	0	0	0	0	2	0	0	205.1052	206.949	206.9706	222.2042	215.1541	222.1875	228.1052	6	150	0	0.6078	0.4139
228.1102	23	11	1	200	2	60	1	0	0	0	2	0	0	0.5988	0	2	0	0	0	228.1102	231.1204	231.1204	245.2047	235.7537	245.188	251.1102	6	100	100	0.8385	0.1088
251.1148	24	12	1	150	2	20	1	0	0	0	0	0	1	0	0	0	0	0	0	251.1148	254.1247	254.1247	268.1385	-10666.6839	-10666.6839	275.1148	7	0	0	0.4622	0.5047
275.1194	24.0001	13	1	200	1	80	1	1.6645	0	2	0	0	0	0	0	0	2	0	0	275.1194	276.82	276.8387	292.2056	285.1554	292.1889	299.1195	7	100	100	0.4586	0.2929
299.1248	21	14	1	150	1	40	1	1.6619	0	2	0	0	0	0	0	0	1	0	0	299.1248	300.8176	300.8391	316.2228	309.1725	316.206	320.1248	4	150	0	0.0916	0.8384
320.1299	25	15	1	200	2	30	1	0	0	0	1	0	0	1.5154	0	1	0	0	0	320.1299	323.1411	323.1411	337.2231	328.6885	337.2065	345.1299	8	100	100	0.1196	0.5065
345.1347	24.0001	16	1	150	2	10	1	0	0	0	1	0	0	0.7058	0	1	0	0	0	345.1347	348.1469	348.1469	362.207	352.8796	362.1903	369.1348	7	150	0	0.7053	0.5028
369.1399	19	17	1	200	1	80	1	1.4622	0	2	0	0	0	0	0	0	2	0	0	369.1399	370.636	370.6572	386.2408	379.1906	386.2241	388.1399	2	0	0	0.2405	0.9676
388.1451	22.0001	18	1	150	1	75	1	2.1026	0	2	0	0	0	0	0	0	2	0	0	388.1451	390.2767	390.2909	405.2245	398.1743	405.2078	410.1452	5	0	150	0.0304	0.0855
410.1498	24	19	1	200	2	65	1	0	0	0	2	0	0	0.8812	0	2	0	0	0	410.1498	413.1586	413.1586	427.2416	418.0729	427.2249	434.1498	7	0	0	0.4122	0.8945
434.1547	21.0001	20	1	150	2	60	1	0	0	0	2	0	0	0.8274	0	2	0	0	0	434.1547	437.1654	437.1654	451.242	442.0193	451.2253	455.1548	4	150	0	0.8023	0.2692
455.1596	22	21	1	200	1	90	1	0	0	0	0	1	0	0	0	0	0	0	0	455.1596	458.1725	458.1923	472.1925	-10666.6839	-10666.6839	477.1596	5	0	0	0.2534	0.4844
477.1643	22	22	1	150	1	90	1	1.1604	0	2	0	0	0	0	0	0	2	0	0	477.1643	478.353	478.3759	494.2596	487.2094	494.2429	499.1643	5	0	150	0.0492	0.276
499.1695	22	23	1	200	2	15	1	0	0	0	1	0	0	0.8609	0	1	0	0	0	499.1695	502.1779	502.1779	516.26	507.0708	516.2433	521.1695	5	100	100	0.1339	0.2056
521.1746	22	24	1	150	2	25	1	0	0	0	1	0	0	0.4453	0	2	0	0	0	521.1746	524.1868	524.1868	538.2604	528.6555	538.2437	543.1746	5	0	150	0.5054	0.1239
543.1793	20.0001	25	1	200	1	70	1	1.6378	0	2	0	0	0	0	0	0	2	0	0	543.1793	544.8484	544.8606	560.2608	553.2106	560.2441	563.1794	3	100	100	0.8368	0.6167
