onset	duration	Trials	Runs	Cond_1_200_2_150_HasBeenChangedTo200_150	order_1_first_2_lastForThisIdPerson_	ProbR	ID_1_PlayerA_2_playerB_	AnsTimePAS1_rtStage1_playerA___3Seconds	AnsTimePBS1	PAChoS1_1Left_2Right_	PBChoS1	MissingPAS1_0None_	MissingPBS1	AnsTimePAS2	AnsTimePBS2	PAChoS2	PBChoS2	MissingPAS2	MissingPBS2	TriOn	DecEndS1	IsiOnS1	FbOnS1	DecEndS2	FbOffS2	TriEnd	Jitter	rwPA_rewardToPa_	rwPB	randa	randb	Unknown1	Unknown2
0	23.0004	1	1	200	1	25	1	0.73	0	1	0	0	0	0	0	0	1	0	0	0	0.7497	0.7537	17.035	10.0226	17.0324	23.0004	6	100	100	0.5212	0.7195	2.8159	3.0294
23.0188	23.0008	2	1	150	1	30	1	1.3177	0	1	0	0	0	0	0	0	2	0	0	23.0188	24.3584	24.375	40.0558	33.0442	40.0531	46.0196	6	150	0	0.1617	0.4387	3.4431	3.8301
46.0318	23.0004	3	1	200	2	10	1	0	0	0	1	0	0	1.1327	0	1	0	0	0	46.0318	49.0372	49.0372	63.0898	54.2004	63.0874	69.0322	6	0	0	0.7928	0.9833	3.8568	2.629
69.0404	21.0002	4	1	150	2	20	1	0	0	0	2	0	0	1.5577	0	1	0	0	0	69.0404	72.0456	72.0457	86.0705	77.6193	86.0678	90.0406	4	150	0	0.5201	0.1161	3.8434	2.8159
90.0451	23	5	1	200	1	75	1	2.1989	0	2	0	0	0	0	0	0	2	0	0	90.0451	92.2597	92.2761	107.73	100.7211	107.7273	113.0451	6	100	100	0.3839	0.5962	4.6442	2.0151
113.05	20	6	1	150	1	85	1	1.6607	0	1	0	0	0	0	0	0	2	0	0	113.05	114.7289	114.7363	130.0834	123.0708	130.0807	133.05	3	0	150	0.8649	0.3192	3.8434	2.8159
133.055	24.0001	7	1	200	2	65	1	0	0	0	1	0	0	0.6271	0	1	0	0	0	133.055	136.0604	136.0604	150.0881	140.6929	150.0854	157.0551	7	0	0	0.1769	0.9851	3.0427	3.4297
157.0596	25	8	1	150	2	85	1	0	0	0	2	0	0	1.093	0	1	0	0	0	157.0596	160.0646	160.0646	174.1364	165.2205	174.1337	182.0596	8	0	150	0.2606	0.4692	4.0436	3.8301
182.0641	23	9	1	200	1	70	1	0.7765	0	2	0	0	0	0	0	0	2	0	0	182.0641	182.8535	182.8643	199.1055	192.093	199.1029	205.0641	6	0	0	0.5623	0.7808	3.4297	3.4298
205.0691	23	10	1	150	1	15	1	2.0383	0	1	0	0	0	0	0	0	1	0	0	205.0691	207.1231	207.1395	222.1129	215.1003	222.1103	228.0691	6	0	150	0.6078	0.4139	2.629	3.016
228.0738	23.0001	11	1	200	2	60	1	0	0	0	2	0	0	0.589	0	2	0	0	0	228.0738	231.0796	231.0797	245.1203	235.6872	245.1176	251.0739	6	100	100	0.8385	0.1088	2.8292	2.8159
251.0784	24	12	1	150	2	20	1	0	0	0	1	0	0	0.4938	0	1	0	0	0	251.0784	254.0844	254.0844	268.1143	258.5862	268.1117	275.0784	7	150	0	0.4622	0.5047	3.63	2.8159
275.0838	24	13	1	200	1	80	1	1.4991	0	2	0	0	0	0	0	0	2	0	0	275.0838	276.5932	276.602	292.5631	285.1101	292.5603	299.0838	7	100	100	0.4586	0.2929	3.0294	4.4307
299.0887	21.0001	14	1	150	1	40	1	0.6395	0	2	0	0	0	0	0	0	2	0	0	299.0887	299.7422	299.7561	316.5713	309.1184	316.5686	320.0888	4	150	0	0.0916	0.8384	3.2296	4.4306
320.0933	25	15	1	200	2	30	1	0	0	0	1	0	0	0.5844	0	1	0	0	0	320.0933	323.0984	323.0984	337.3767	327.6988	337.374	345.0933	8	100	100	0.1196	0.5065	3.0294	4.2305
345.0984	24	16	1	150	2	10	1	0	0	0	1	0	0	0.7433	0	1	0	0	0	345.0984	348.1035	348.1035	363.9606	352.8533	363.9579	369.0984	7	150	0	0.7053	0.5028	3.2296	5.8319
