onset	duration	Trials	Runs	Cond_1_200_2_150_HasBeenChangedTo200_150	order_1_first_2_lastForThisIdPerson_	ProbR	ID_1_PlayerA_2_playerB_	AnsTimePAS1_rtStage1_playerA___3Seconds	AnsTimePBS1	PAChoS1_1Left_2Right_	PBChoS1	MissingPAS1_0None_	MissingPBS1	AnsTimePAS2	AnsTimePBS2	PAChoS2	PBChoS2	MissingPAS2	MissingPBS2	TriOn	DecEndS1	IsiOnS1	FbOnS1	DecEndS2	FbOffS2	TriEnd	Jitter	rwPA_rewardToPa_	rwPB	randa	randb	Unknown1	Unknown2
0.0002	20.0007	57	3	200	1	40	2	0	0	1	0	0	0	0	0.3742	0	1	0	0	0.0002	3.0217	3.0217	17.0745	7.4131	17.0632	20.0009	3	0	0	0.0498	0.8698	1.6396	1.4394
20.0229	23.0007	58	3	150	1	65	2	0	0	2	0	0	0	0	0.7307	0	1	0	0	20.0229	23.0383	23.0384	37.093	27.7879	37.0811	43.0236	6	150	0	0.8838	0.9579	1.6528	1.4393
43.0431	23.0008	59	3	200	2	10	2	0	0.7837	0	1	0	0	0	0	1	0	0	0	43.0431	43.8607	43.8766	60.1235	53.0898	60.1116	66.0439	6	100	100	0.7252	0.4259	1.6526	1.4396
66.0635	23.0008	60	3	150	2	90	2	0	0.9362	0	2	0	0	0	0	2	0	0	0	66.0635	67.0305	67.0403	83.1407	76.1071	83.129	89.0643	6	150	0	0.0151	0.743	1.4394	1.4264
89.0867	22.0034	61	3	200	1	40	2	0	0	1	0	0	0	0	0.5999	0	1	0	0	89.0867	92.1059	92.1059	106.1716	96.7359	106.1604	111.0901	5	100	100	0.1432	0.0607	1.866	1.4526
111.1194	24.0006	62	3	150	1	70	2	0	0	2	0	0	0	0	0.6597	0	1	0	0	111.1194	114.1267	114.1268	128.1754	118.8127	128.1635	135.12	7	150	0	0.354	0.8262	1.4398	1.2261
135.1375	26.0001	63	3	200	2	25	2	0	0.9538	0	1	0	0	0	0	1	0	0	0	135.1375	136.1264	136.1319	152.2056	145.1715	152.1935	161.1376	9	100	100	0.1016	0.1	1.2395	1.2266
161.155	22.0001	64	3	150	2	65	2	0	1.0917	0	1	0	0	0	0	1	0	0	0	161.155	162.2801	162.2945	178.2349	171.2008	178.2229	183.1551	5	0	150	0.7802	0.0369	2.0525	1.4264
183.1723	21.0001	65	3	200	1	35	2	0	0	1	0	0	0	0	0.9067	0	1	0	0	183.1723	186.1901	186.1903	200.2525	191.1368	200.2405	204.1724	4	0	0	0.9028	0.7488	1.4395	1.2262
204.1917	25.0001	66	3	150	1	80	2	0	0	1	0	0	0	0	1.1082	0	1	0	0	204.1917	207.206	207.206	221.2572	212.3295	221.2452	229.1918	8	150	0	0.4646	0.2712	1.4395	1.6394
229.2093	21.0001	67	3	200	2	90	2	0	0.99	0	2	0	0	0	0	2	0	0	0	229.2093	230.2439	230.2533	246.2869	239.253	246.2749	250.2094	4	100	100	0.7846	0.7926	1.2395	1.4264
250.2274	24.0001	68	3	150	2	85	2	0	0.5522	0	1	0	0	0	0	2	0	0	0	250.2274	250.8107	250.858	267.3049	260.2709	267.2929	274.2275	7	0	150	0.5947	0.8741	2.0523	1.8263
274.2471	24.0001	69	3	200	1	15	2	0	0	1	0	0	0	0	0.5186	0	1	0	0	274.2471	277.2636	277.2636	291.3217	281.8175	291.3097	298.2472	7	100	100	0.2241	0.1368	2.4526	1.8388
298.2656	21.0001	70	3	150	1	60	2	0	0	1	0	0	0	0	0.3321	0	1	0	0	298.2656	301.2813	301.2813	315.3384	305.6613	315.3265	319.2657	4	150	0	0.8541	0.2953	1.2398	1.4261
319.2866	24.0001	71	3	200	2	75	2	0	0.6747	0	1	0	0	0	0	1	0	0	0	319.2866	319.9986	320.0029	336.3565	329.3225	336.3446	343.2867	7	0	0	0.1024	0.5099	1.2395	1.2265
343.3049	22.0001	72	3	150	2	20	2	0	1.1505	0	1	0	0	0	0	1	0	0	0	343.3049	344.4912	344.4996	360.3734	353.3393	360.3613	365.305	5	0	150	0.125	0.952	1.2395	1.4264
365.3229	22.0001	73	3	200	1	75	2	0	0	2	0	0	0	0	0.5735	0	2	0	0	365.3229	368.3392	368.3392	382.3909	372.9287	382.3789	387.323	5	0	0	0.5358	0.8588	2.2527	1.4261
387.3437	24.0001	74	3	150	1	25	2	0	0	2	0	0	0	0	0.6716	0	1	0	0	387.3437	390.3557	390.3557	404.4085	395.0443	404.3965	411.3438	7	0	150	0.9712	0.3404	1.2398	1.2262
411.3616	21.0001	75	3	200	2	30	2	0	0.9389	0	1	0	0	0	0	1	0	0	0	411.3616	412.3311	412.3383	428.4253	421.3913	428.4133	432.3617	4	100	100	0.8086	0.5485	1.6524	2.2394
